数据库：分省年度数据
指标：农村用电量(亿千瓦小时)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,69.34,67.77,65.14,61.51,54.71,51.67,50.56,48.53,47.31,45.40,44.38,43.91,42.74,41.12,41.65,42.17,38.40,36.29,35.77
天津市,,41.01,39.24,36.91,40.32,92.19,102.44,109.04,69.22,51.62,51.30,50.99,51.39,45.79,52.52,53.89,55.25,48.42,42.32,40.28
河北省,,509.80,501.57,505.16,615.16,600.78,611.82,631.33,616.37,593.94,559.22,511.81,486.05,418.90,430.14,388.22,337.05,310.77,216.77,201.73
山西省,,109.23,104.90,101.42,99.26,97.52,96.83,97.08,99.78,94.95,86.60,81.18,81.20,78.99,75.94,71.44,66.94,63.22,58.12,57.61
内蒙古自治区,,93.21,91.16,85.51,78.90,71.09,72.26,63.12,59.56,55.15,52.30,48.41,41.15,36.50,34.10,31.70,29.31,26.73,24.63,23.60
辽宁省,,184.56,176.97,306.22,528.01,489.80,457.76,433.07,394.78,373.44,366.33,359.50,283.86,281.29,265.36,183.00,183.00,158.00,136.00,119.17
吉林省,,56.56,54.88,54.85,52.96,51.13,49.60,48.75,48.23,46.12,42.51,39.50,37.49,34.68,32.63,30.20,28.02,23.72,23.11,23.88
黑龙江省,,89.72,85.64,82.80,79.77,77.47,72.58,69.56,66.95,64.33,58.24,55.73,48.44,44.25,41.03,38.01,36.35,33.54,30.74,29.14
上海市,,1087.15,1102.04,1053.42,1013.20,983.22,919.19,885.64,874.38,208.98,204.28,195.48,191.80,178.05,171.68,143.54,124.53,114.35,89.70,81.79
江苏省,,2010.96,1949.11,1933.14,1887.99,1869.27,1836.19,1834.93,1801.86,1696.41,1606.83,1472.89,1316.62,1234.14,1159.03,1011.79,825.10,679.83,529.50,423.61
浙江省,,1038.14,1026.73,1008.31,976.65,926.09,905.56,905.34,904.91,869.87,848.00,765.15,709.41,675.41,649.97,579.58,520.57,441.20,409.04,341.10
安徽省,,205.31,189.15,180.79,171.31,161.62,156.75,147.53,138.39,128.80,117.28,107.41,98.01,89.91,81.96,73.80,63.96,59.40,57.52,51.83
福建省,,445.07,417.92,403.87,388.38,384.45,381.06,367.67,346.68,312.85,270.58,257.49,230.09,209.68,183.44,172.01,160.58,137.57,118.46,106.50
江西省,,130.19,119.24,112.47,108.50,104.58,99.92,97.62,90.90,84.62,77.26,71.57,65.41,58.52,63.13,48.31,45.13,42.30,39.73,36.27
山东省,,445.62,435.92,416.24,488.45,488.84,482.30,480.04,471.38,465.79,456.52,439.03,415.23,400.01,408.18,376.17,346.54,304.14,272.24,238.28
河南省,,373.17,353.83,330.59,328.82,317.23,321.01,313.23,305.42,290.03,281.82,269.41,257.76,227.36,223.43,188.82,172.15,157.69,144.59,141.36
湖北省,,186.87,178.55,165.21,156.57,152.86,149.10,142.23,130.14,112.26,112.26,109.78,104.09,98.06,87.79,75.86,70.09,64.79,63.11,60.74
湖南省,,134.69,132.98,130.82,128.56,126.70,123.91,123.83,118.58,110.23,106.03,98.63,86.71,81.46,76.38,70.81,65.24,57.53,53.84,49.83
广东省,,1467.46,1448.04,1443.10,1414.77,1334.78,1326.20,1314.00,1234.84,1187.50,1134.92,1044.26,995.07,951.16,937.25,851.84,766.43,748.23,714.25,586.36
广西壮族自治区,,141.30,126.47,108.25,103.53,95.37,83.91,76.21,68.38,63.31,56.18,50.22,48.48,44.11,40.31,36.63,34.31,32.36,31.17,31.20
海南省,,20.96,18.68,17.41,15.52,13.89,13.02,10.89,9.63,8.59,7.07,5.95,5.64,5.10,4.69,4.27,3.85,3.31,2.99,2.27
重庆市,,82.51,80.90,79.53,80.18,78.69,78.14,78.31,76.12,73.80,70.37,64.77,61.48,55.09,48.45,46.03,42.89,38.46,36.65,33.87
四川省,,205.91,205.80,198.62,188.44,183.08,174.81,169.57,163.51,155.96,148.57,141.66,133.77,128.18,123.31,117.74,112.92,107.85,99.94,93.01
贵州省,,117.13,104.94,98.41,95.11,85.25,80.12,71.27,61.89,54.46,47.99,41.73,33.01,31.44,30.23,30.23,30.23,30.29,16.02,14.34
云南省,,123.99,120.42,104.94,102.34,95.26,91.45,87.12,82.37,73.78,66.78,61.67,54.41,50.44,48.47,45.08,41.69,40.34,37.13,34.78
西藏自治区,,2.92,2.48,1.59,1.34,1.21,1.28,1.18,1.08,1.02,0.87,0.76,0.75,0.61,0.64,0.64,0.64,0.59,0.43,0.36
陕西省,,126.76,137.82,133.60,130.85,118.68,110.24,109.02,113.01,142.49,131.32,121.04,110.03,104.20,101.96,95.09,88.23,84.03,75.50,67.00
甘肃省,,65.78,61.69,59.08,55.85,54.22,54.04,51.26,50.36,47.85,45.05,42.85,40.57,38.56,36.88,35.04,33.85,41.40,31.71,28.99
青海省,,7.50,7.14,6.55,6.42,5.94,5.91,4.96,4.50,4.46,4.07,3.83,3.78,3.69,3.45,3.18,2.99,2.95,2.88,2.25
宁夏回族自治区,,16.85,16.12,15.05,14.63,14.16,13.79,13.56,13.84,12.75,12.01,10.96,10.11,10.95,10.63,10.11,9.25,9.00,8.58,8.23
新疆维吾尔自治区,,127.50,124.83,119.54,111.13,108.16,104.07,96.52,83.92,75.81,71.65,64.29,58.72,53.88,45.84,41.16,36.47,32.63,29.95,28.26
注：2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
