数据库：分省年度数据
指标：农村水电建设本年完成投资额(万元)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
北京市,,,,,,,,,,,,,,,,30.00,34.00,86.00
河北省,366.00,345.83,2810.76,4080.00,9833.00,5066.00,17451.00,5731.50,3827.14,8206.00,8402.51,5027.00,2473.00,5776.00,7682.00,11142.00,4927.00,3003.00
山西省,2058.00,3607.48,5580.00,3765.00,8149.00,4268.00,9846.00,8754.00,5954.00,7370.00,4554.88,4078.00,5058.00,5172.00,5845.00,14576.00,4429.00,2350.00
内蒙古自治区,,,,500.00,500.00,,,,,560.00,216.00,296.00,630.00,467.00,850.00,980.00,1200.00,265.00
辽宁省,49.00,112.19,5928.00,6123.00,16401.00,11381.00,6425.00,3837.00,13187.16,8817.00,4506.00,1845.00,6133.00,7768.00,5367.00,5795.00,4750.00,91927.00
吉林省,21685.00,13305.93,22163.34,41673.00,47445.00,60326.00,68833.00,47633.02,47940.12,78589.00,50231.67,46264.00,52943.00,55491.00,50416.00,25764.00,38781.00,70792.00
黑龙江省,,17524.00,9857.58,9524.00,14484.00,18338.00,7510.00,22979.00,21907.00,41124.00,7430.00,7496.00,3296.00,15552.00,12960.00,10082.00,20664.00,10625.00
江苏省,271.00,19.00,142.00,552.00,,,2676.00,,,,,,,,,,,
浙江省,49501.00,13646.65,26214.72,36235.00,43255.00,29266.00,123759.00,25236.63,50451.57,45744.00,109694.49,63956.00,154818.00,226470.00,203378.00,296490.00,248253.00,229973.00
安徽省,3804.00,3634.00,4888.00,20598.00,18238.00,27555.00,39118.00,31193.00,26555.50,26054.00,29472.00,22459.00,17812.00,38942.00,32423.00,52285.00,53193.00,29187.00
福建省,150.00,2804.47,9690.00,44724.00,45744.00,48809.00,43476.00,70527.60,9669.00,19195.00,35853.00,58401.00,145105.00,310237.00,467214.00,644521.00,558120.00,363666.00
江西省,1411.00,11998.40,7829.48,30071.00,16937.00,43531.00,35418.00,39241.26,55636.90,37017.00,46220.43,86515.00,79595.00,94249.00,140061.00,156338.00,132157.00,98030.00
山东省,,,,,314.00,,,,,,3.50,,8079.00,60.00,260.00,110.00,,14.00
河南省,2475.00,,1656.20,7323.00,1571.00,10473.00,28997.00,7865.50,33643.00,13879.00,7173.60,17619.00,12873.00,6545.00,12841.00,10240.00,5776.00,7149.00
湖北省,57140.00,94314.12,88217.79,108359.00,153307.00,264955.00,206894.00,239633.24,326847.31,432459.00,638037.60,428565.00,285633.00,217777.00,214760.00,293381.00,179568.00,172532.00
湖南省,37358.00,49398.79,76529.42,137785.00,155875.00,262108.00,178685.00,211999.31,208601.22,577297.00,265612.11,549433.00,528840.00,420045.00,485233.00,388886.00,306324.00,210693.00
广东省,7130.00,21349.86,27729.32,71299.00,64773.00,73985.00,34296.00,40941.27,42547.75,51567.00,198520.66,231520.00,215775.00,186366.00,171528.00,325388.00,368055.00,380204.00
广西壮族自治区,54926.00,72195.40,78423.14,222336.00,317328.00,275438.00,237036.00,239597.00,303450.09,344018.00,364275.58,251884.00,216107.00,261564.00,344404.00,315282.00,264397.00,305379.00
海南省,5900.00,,,,327.00,6000.00,,800.00,3929.00,5128.00,5380.00,11170.00,5850.00,16096.00,10754.00,5576.00,7217.00,527.00
重庆市,22472.00,33448.64,54990.65,97129.00,108127.00,186751.00,93288.00,156693.92,266820.25,162169.00,249933.45,225736.00,177845.00,284528.00,203574.00,150704.00,188968.00,152251.00
四川省,30482.00,82675.34,116705.36,476292.00,557444.00,513674.00,569782.00,717128.72,766207.85,909637.00,842208.19,771883.00,952445.00,1304820.00,868166.00,508066.00,611446.00,308902.00
贵州省,90876.00,99750.15,128450.93,180494.00,165939.00,315612.00,318372.00,286223.31,254641.85,218231.00,157975.62,188668.00,222413.00,230544.00,203879.00,173357.00,114613.00,53660.00
云南省,28037.00,118261.01,182573.60,263793.00,331383.00,451539.00,572985.00,654338.12,669746.02,714274.00,892457.45,1063268.00,882585.00,819629.00,754864.00,552364.00,332202.00,247475.00
西藏自治区,,8276.00,18970.00,40647.00,59284.00,83875.00,85505.00,47908.00,25168.71,17556.00,,,,4000.00,,,28000.00,
陕西省,153451.00,53136.00,114373.26,114534.00,93141.00,105766.00,109824.00,103499.67,96813.19,115629.00,84695.78,71640.00,92689.00,56213.00,70977.00,73686.00,76027.00,60211.00
甘肃省,482.00,330.00,11824.00,26036.00,63285.00,115334.00,216878.00,291502.13,226030.54,323957.00,276258.00,336487.00,340704.00,379237.00,265864.00,230471.00,165801.00,166309.00
青海省,,,230.00,11107.00,58094.00,85093.00,60695.00,31334.00,67392.85,15754.00,56181.00,71048.00,55166.00,30760.00,22133.00,25975.00,21146.00,16053.00
宁夏回族自治区,,,,,,1051.00,,,,,,,,,,,,
新疆维吾尔自治区,15661.00,9619.74,5128.96,44955.00,142754.00,82543.00,103556.00,172449.61,80233.49,3491.00,13352.35,5472.00,11006.00,23679.00,10788.00,54577.00,22358.00,16747.00
注：农村水电建设数据由水利部农村水电及电气化发展局提供。农村水电是以小水电为主体，直接为农村经济社会发展服务的水电站及其供电网络。2008年起，对农村水电统计范围进行了调整，有关数据作了相应调整。
数据来源：国家统计局
