数据库：分省年度数据
指标：农村发电设备容量(千瓦)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,22219.00,22219.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,42920.00,
天津市,,5800.00,5800.00,5800.00,5800.00,5800.00,5800.00,5800.00,5000.00,5800.00,5800.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,
河北省,,404703.00,407408.00,403748.00,396073.00,395833.00,395658.00,388728.00,385308.00,381693.00,379373.00,370983.00,370178.00,365458.00,358263.00,349292.00,339262.00,331910.00,323934.00,
山西省,,208801.00,207521.00,206626.00,198871.00,196341.00,193911.00,191296.00,185891.00,179166.00,178398.00,173245.00,172600.00,162160.00,157350.00,157100.00,151730.00,150930.00,150930.00,
内蒙古自治区,,94770.00,95020.00,95020.00,95245.00,95245.00,95145.00,93475.00,93475.00,87525.00,80025.00,63960.00,53460.00,53460.00,53460.00,53360.00,52730.00,52730.00,49530.00,
辽宁省,,471090.00,471090.00,454299.00,443529.00,443529.00,442554.00,435243.00,427373.00,387573.00,313348.00,311488.00,307333.00,294984.00,287459.00,274999.00,350879.00,343549.00,340180.00,
吉林省,,620475.00,614675.00,603410.00,588740.00,586365.00,581285.00,572280.00,514520.00,498565.00,452065.00,399310.00,390980.00,374519.00,410102.00,385783.00,374973.00,364248.00,325708.00,
黑龙江省,,402780.00,402780.00,384460.00,373280.00,358280.00,348555.00,294425.00,294425.00,294425.00,259585.00,241605.00,241605.00,235105.00,234615.00,230585.00,230585.00,210095.00,183835.00,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,38355.00,40191.00,40191.00,39871.00,39671.00,39631.00,36512.00,41107.00,61090.00,51416.00,52396.00,52656.00,68739.00,59486.00,59486.00,59786.00,59786.00,34451.00,
浙江省,,4114718.00,4103672.00,4099507.00,4054524.00,3978018.00,3959191.00,3924061.00,3900471.00,3829931.00,3768133.00,3698568.00,3610103.00,3423712.00,3285404.00,3037119.00,2803274.00,2550304.00,2297783.00,
安徽省,,1149378.00,1129566.00,1112456.00,1113915.00,1114395.00,1107925.00,1076280.00,1031035.00,974653.00,919345.00,840484.00,828404.00,716514.00,728454.00,699122.00,632092.00,591058.00,504097.00,
福建省,,7298777.00,7349542.00,7390664.00,7417445.00,7406086.00,7381901.00,7341376.00,7315815.00,7261407.00,7038769.00,6994576.00,6846790.00,6695774.00,6681382.00,6147238.00,5337924.00,4682908.00,4150808.00,
江西省,,3510103.00,3501529.00,3449893.00,3402721.00,3359287.00,3255002.00,3103986.00,3065626.00,2905410.00,2753900.00,2635634.00,2588517.00,2392454.00,2275961.00,2047437.00,1776889.00,1629506.00,1380076.00,
山东省,,86322.00,87897.00,88899.00,89499.00,89689.00,89014.00,83887.00,83972.00,83790.00,79223.00,73052.00,69733.00,72543.00,71713.00,71713.00,68228.00,68228.00,66449.00,
河南省,,512037.00,509490.00,509490.00,504342.00,492742.00,492742.00,490987.00,479492.00,461217.00,382256.00,368356.00,354291.00,342137.00,338269.00,336516.00,334583.00,330638.00,326598.00,
湖北省,,3919450.00,3931192.00,3861738.00,3806649.00,3684555.00,3600722.00,3416222.00,3373583.00,3226864.00,2960954.00,2900244.00,2697835.00,2524722.00,2707546.00,2516456.00,2286676.00,2443425.00,2172317.00,
湖南省,,6315352.00,6496887.00,6379772.00,6358228.00,6284934.00,6108835.00,5921007.00,5860837.00,5572159.00,5401186.00,5127968.00,4883357.00,4687920.00,4526246.00,3886716.00,3578768.00,3221418.00,2812594.00,
广东省,,7732510.00,7675840.00,7602484.00,7596750.00,7548805.00,7400257.00,7272926.00,7258195.00,7157124.00,7055838.00,6997224.00,6526256.00,6145803.00,6049555.00,5787168.00,5507352.00,5190862.00,4741531.00,
广西壮族自治区,,4647481.00,4618436.00,4579711.00,4593586.00,4532701.00,4412031.00,4292311.00,4184546.00,4055129.00,3952628.00,3676328.00,3453354.00,3311718.00,3718273.00,3112396.00,2817420.00,2457987.00,2164700.00,
海南省,,498870.00,492205.00,493725.00,457140.00,437045.00,416945.00,403120.00,396200.00,367795.00,356895.00,347531.00,297036.00,284679.00,270304.00,266804.00,252024.00,240243.00,229443.00,
重庆市,,3019753.00,2971108.00,2874133.00,2672353.00,2547104.00,2435364.00,2255419.00,2204009.00,2007619.00,1778214.00,1671691.10,1381190.00,1253678.00,1376361.00,1203796.00,1281367.00,1196524.00,1058002.00,
