数据库：分省年度数据
指标：农村在建电站规模(千瓦)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,33490.00,,,,,
河北省,,20360.00,17970.00,18410.00,27710.00,27710.00,28195.00,34000.00,34840.00,29930.00,34510.00,40500.00,26010.00,14570.00,66475.00,23075.00,17695.00,27305.00,55670.00,
山西省,,60945.00,60945.00,60945.00,61945.00,63445.00,64700.00,66090.00,65610.00,66890.00,66250.00,72085.00,71100.00,86625.00,16110.00,66550.00,62930.00,39970.00,22130.00,
内蒙古自治区,,,,,,,,,9900.00,9900.00,9900.00,9900.00,,12000.00,14255.00,11130.00,11130.00,10000.00,11000.00,
辽宁省,,108565.00,122665.00,122665.00,133155.00,129705.00,114645.00,26515.00,24165.00,48195.00,49675.00,43525.00,41110.00,9195.00,196810.00,8055.00,8055.00,6600.00,3360.00,
吉林省,,216480.00,182480.00,191740.00,218265.00,212265.00,211840.00,202290.00,259170.00,257845.00,250785.00,291860.00,274245.00,216995.00,36820.00,189885.00,160515.00,63040.00,109360.00,
黑龙江省,,60500.00,60500.00,74820.00,71220.00,86220.00,86220.00,119220.00,113220.00,113220.00,98900.00,57880.00,44680.00,35520.00,,42820.00,8600.00,34660.00,34000.00,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,640.00,,,,,,,,,,,,
浙江省,,71240.00,58440.00,90540.00,90540.00,135510.00,104790.00,67095.00,102075.00,105910.00,78520.00,245325.00,319100.00,287000.00,354035.00,376110.00,604400.00,850000.00,433355.00,
安徽省,,64640.00,10000.00,13000.00,16000.00,7780.00,12520.00,25640.00,31570.00,52040.00,47550.00,17900.00,123290.00,106760.00,138635.00,174950.00,140830.00,165260.00,64000.00,
福建省,,12000.00,,,30000.00,30000.00,30000.00,36570.00,36570.00,33850.00,39400.00,96250.00,309470.00,515760.00,685245.00,1301850.00,1307796.00,1227010.00,883980.00,
江西省,,46080.00,28020.00,52305.00,74590.00,92490.00,143235.00,206210.00,180650.00,207310.00,162250.00,244575.00,217115.00,285600.00,364166.00,414166.00,260000.00,573425.00,310000.00,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,2000.00,2000.00,3600.00,2960.00,3360.00,3360.00,2235.00,12600.00,11630.00,11800.00,12720.00,11650.00,30105.00,14340.00,11280.00,39945.00,13665.00,11610.00,
湖北省,,204340.00,242850.00,247350.00,235980.00,359310.00,370330.00,360390.00,378210.00,507110.00,556320.00,1043600.00,395089.00,1202740.00,953370.00,1029320.00,1202940.00,825290.00,773436.00,
湖南省,,80240.00,98310.00,165660.00,249590.00,247240.00,223200.00,254080.00,278805.00,389670.00,351120.00,851740.00,852105.00,1517390.00,1893183.00,1667454.00,1828545.00,1148240.00,1149482.00,
广东省,,47960.00,92715.00,81255.00,76260.00,61130.00,71570.00,137960.00,122765.00,168960.00,212935.00,531045.00,360960.00,332830.00,428645.00,300000.00,400000.00,383260.00,450000.00,
广西壮族自治区,,50620.00,83190.00,94130.00,99890.00,234500.00,334185.00,429785.00,423265.00,501978.00,688196.00,1306900.00,950341.00,1562183.00,1223841.00,1670254.00,2116735.00,1511901.00,1212255.00,
海南省,,,,7030.00,25430.00,34800.00,47830.00,41990.00,57590.00,31010.00,39870.00,83160.00,74330.00,65675.00,52920.00,28820.00,28820.00,6600.00,13800.00,
重庆市,,246890.00,281780.00,304140.00,360540.00,332630.00,443470.00,531830.00,584630.00,390152.00,640305.00,671430.00,698165.00,844805.00,443690.00,865870.00,434681.00,443690.00,112375.00,
四川省,,,1403160.00,1529915.00,1530061.00,1828061.00,2167216.00,2383215.00,2614459.00,2752062.00,2534119.00,2821025.00,2900000.00,3605000.00,2060700.00,4410845.00,2249625.00,2530000.00,2000000.00,
贵州省,,529150.00,560820.00,569320.00,607050.00,541465.00,566975.00,821736.00,765666.00,779316.00,752506.00,1185610.00,1181805.00,555135.00,1920425.00,1560000.00,1191185.00,1124135.00,357290.00,
云南省,,907530.00,1108060.00,1343900.00,1525500.00,1819450.00,1797190.00,2085970.00,1975970.00,1956160.00,2071500.00,2142620.00,2585170.00,6084450.00,7010000.00,4270000.00,3750000.00,4210000.00,2004700.00,
西藏自治区,,42000.00,47310.00,53310.00,56440.00,56640.00,53910.00,54600.00,14400.00,2500.00,6600.00,7960.00,9945.00,,1425.00,,,,,
陕西省,,232910.00,327480.00,287010.00,350040.00,384760.00,351575.00,430340.00,402955.00,204270.00,237665.00,586020.00,412430.00,619690.00,200000.00,270000.00,220000.00,230000.00,210000.00,
甘肃省,,294400.00,301800.00,439260.00,556180.00,464870.00,488140.00,830220.00,409470.00,863580.00,930210.00,1048240.00,739190.00,1786710.00,1799000.00,1160000.00,1291800.00,780485.00,484450.00,
青海省,,4500.00,75000.00,75000.00,139800.00,140260.00,184960.00,239660.00,232020.00,254680.00,277520.00,186410.00,200520.00,277180.00,231855.00,244890.00,224700.00,116660.00,138000.00,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,178200.00,33600.00,188500.00,89150.00,142790.00,138790.00,298670.00,346470.00,189240.00,145650.00,71260.00,81260.00,1152150.00,764600.00,496100.00,166750.00,326400.00,2630.00,
注：农村水电建设数据由水利部农村水电及电气化发展局提供。农村水电是以小水电为主体，直接为农村经济社会发展服务的水电站及其供电网络。2008年起，对农村水电统计范围进行了调整，有关数据作了相应调整。
数据来源：国家统计局
