数据库：分省年度数据
指标：农村居民家庭拥有生产性固定资产原值(元/户)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,12767.09,12635.05,7208.84,15705.04,9503.71,7679.74,7824.15,7726.96,6529.10,5146.29,6258.09
天津市,17508.57,14785.40,15090.97,14696.57,12987.53,11723.67,10837.08,10149.88,8732.56,7050.93,7227.96
河北省,17904.83,17437.51,11455.36,11135.23,10986.53,10561.71,10294.68,9335.54,7879.61,7273.40,6671.58
山西省,9808.38,9517.30,6364.49,6397.57,5563.11,5086.89,4682.14,4329.27,4248.81,4172.69,4049.37
内蒙古自治区,29389.59,29621.79,18269.24,16914.80,16117.65,15359.90,14334.54,13603.24,12909.54,12319.41,10936.85
辽宁省,24997.92,24862.94,13206.71,12077.17,10124.65,9246.99,8669.16,7514.68,5425.17,5488.40,4989.95
吉林省,24937.86,22867.39,17849.21,16180.78,15027.27,13244.25,11520.80,11322.78,9252.12,8528.88,6470.76
黑龙江省,31507.91,29612.16,18341.81,16813.17,16452.55,14017.69,11822.61,10358.83,9117.21,8536.23,7543.35
上海市,4146.13,3204.94,1143.91,1129.78,1087.38,1436.08,1883.75,1887.00,2406.62,2479.10,2624.32
江苏省,14541.03,13919.30,11782.11,10298.14,9027.00,8225.77,7734.20,7134.61,5975.63,5623.79,5044.82
浙江省,22767.83,20709.01,18446.21,17349.54,15143.64,14066.93,13351.12,12428.10,10078.13,9222.73,8418.75
安徽省,15134.35,13597.27,9296.89,8759.08,8620.77,8229.86,6767.43,5857.13,5069.57,4621.83,4948.81
福建省,11821.39,11208.90,10267.78,9215.63,8370.60,7422.99,8596.23,6465.01,6512.44,4832.47,4615.74
江西省,9999.31,9412.80,6257.12,6112.82,5334.10,5020.47,4696.67,4613.47,3283.12,3115.30,2873.95
山东省,19168.14,18526.49,13154.41,12091.22,11461.91,11396.77,9383.12,9262.74,6535.76,6255.04,6029.81
河南省,12980.72,12213.73,9896.66,9178.61,8154.13,7756.52,7048.55,6547.33,5832.83,5487.30,5406.91
湖北省,10813.13,11623.94,7078.46,6368.83,5434.99,4996.00,4297.19,4121.20,3046.47,2989.82,2953.37
湖南省,8904.32,8652.44,4888.63,4751.60,4196.93,4063.25,3888.32,3718.29,3312.44,3165.65,3192.01
广东省,8516.72,7628.46,5132.93,4931.72,4276.67,4130.06,3958.21,3842.26,3702.12,4030.46,4129.87
广西壮族自治区,11851.56,10908.64,7300.81,6671.44,5661.58,5186.47,4849.21,4483.33,3298.80,3139.39,3057.75
海南省,11387.06,10091.46,11261.65,9017.22,7566.11,7512.19,7469.41,7492.18,5471.84,5334.57,4463.49
重庆市,12295.74,11386.80,5586.54,4614.26,4331.44,3862.17,3351.89,3103.72,2610.77,2531.71,2375.64
四川省,13759.17,13463.50,7508.31,7022.83,6183.73,5820.32,5589.86,5119.03,4043.70,3840.19,3592.28
贵州省,11957.34,10775.10,6135.87,5968.84,5467.19,4738.91,4446.74,4175.40,3696.28,3443.99,3288.31
云南省,19020.92,17812.99,9854.00,9358.08,8851.98,7927.74,7093.60,6605.73,5382.83,5389.67,4762.47
西藏自治区,52935.07,51894.46,35788.06,36237.14,34332.42,30261.60,26620.99,31409.38,20060.54,18058.70,17765.63
陕西省,12273.06,10998.96,9692.98,8242.74,7585.52,7240.02,5951.36,5664.80,4642.04,4254.10,3960.25
甘肃省,19486.44,18789.31,9655.08,8915.33,8408.13,7995.61,7418.06,7025.89,5561.37,5355.20,4780.36
青海省,21919.34,20217.13,13771.75,13342.46,12160.40,11223.91,9923.97,9440.80,8576.04,8604.52,7487.33
宁夏回族自治区,24266.19,21417.95,23405.21,21310.13,18244.68,16917.74,15368.15,14811.19,13735.07,13058.17,12024.13
新疆维吾尔自治区,35070.37,30377.17,23394.41,18849.44,16883.07,14676.67,12509.73,11978.32,10737.17,9756.94,8724.90
注：数据来源于农村住户抽样调查资料。
数据来源：国家统计局
