数据库：分省年度数据
指标：农村居民家庭拥有汽车数量(辆/百户)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,6.13,6.53,3.73,4.53,5.20,4.67,6.80,7.47,5.33,5.33,5.07
天津市,9.14,9.29,9.50,7.33,7.00,6.50,6.50,6.67,5.50,5.83,6.50
河北省,6.49,6.68,3.82,3.77,3.62,3.39,3.15,3.32,2.61,2.51,2.27
山西省,5.05,4.76,3.10,3.57,4.00,4.05,3.76,3.00,2.74,2.60,2.45
内蒙古自治区,5.05,4.81,1.80,1.89,1.60,1.75,1.77,1.67,2.06,2.06,1.58
辽宁省,5.28,4.54,2.49,2.70,1.90,1.85,2.22,1.96,1.16,1.75,1.48
吉林省,4.13,3.88,3.81,2.63,3.31,2.31,1.75,1.25,0.94,0.81,1.06
黑龙江省,2.90,2.72,2.32,1.52,0.89,1.07,1.43,1.47,0.54,0.45,0.49
上海市,0.42,0.50,0.17,0.17,0.17,0.50,0.67,0.67,0.67,0.67,0.50
江苏省,3.68,2.96,1.82,2.28,2.13,2.10,2.04,2.02,1.26,1.32,1.07
浙江省,4.78,4.04,2.41,2.33,2.19,2.63,2.22,2.41,2.18,2.21,1.97
安徽省,2.87,2.61,1.72,1.33,1.45,1.54,0.82,1.00,0.74,0.63,0.56
福建省,3.74,3.62,2.69,2.69,3.13,1.24,1.48,1.70,1.59,1.26,1.32
江西省,2.69,2.67,2.02,1.75,1.39,1.12,0.81,0.97,0.71,0.82,0.64
山东省,4.83,4.36,3.73,3.61,3.07,3.12,2.95,2.86,1.57,1.63,1.71
河南省,3.40,3.38,2.05,2.43,1.73,1.44,1.72,1.41,0.74,0.95,0.62
湖北省,2.56,2.41,1.12,1.30,1.21,1.05,1.03,1.02,0.55,0.68,0.55
湖南省,2.81,2.57,1.71,1.36,0.86,0.96,0.89,0.84,1.15,0.80,1.00
广东省,2.22,2.41,1.89,1.84,1.38,1.24,1.08,1.00,1.21,1.31,1.33
广西壮族自治区,1.90,1.82,1.30,1.19,1.02,0.87,0.61,0.74,0.52,0.40,0.48
海南省,0.50,1.25,1.39,1.25,0.63,0.49,0.63,0.49,0.83,0.56,0.56
重庆市,3.33,2.44,0.75,0.53,0.56,0.75,0.50,0.44,0.33,0.67,0.44
四川省,3.00,2.70,1.53,1.73,1.23,1.18,1.38,1.20,0.90,0.90,1.13
贵州省,3.84,3.48,2.05,1.83,1.76,1.23,1.34,1.38,1.07,0.76,0.76
云南省,4.38,4.21,2.71,2.83,2.33,2.33,2.13,1.79,1.29,1.29,1.00
西藏自治区,12.50,10.88,7.94,8.33,7.29,7.29,7.29,5.63,5.42,2.50,1.67
陕西省,4.37,4.10,3.06,1.89,1.71,1.76,1.85,1.53,1.95,1.62,1.40
甘肃省,3.61,3.44,1.50,0.89,0.72,1.11,1.00,0.78,1.22,1.33,0.67
青海省,6.94,6.92,3.50,4.33,3.17,2.50,2.17,3.83,4.00,3.67,3.50
宁夏回族自治区,5.75,6.50,6.00,5.00,4.33,4.50,3.33,2.50,3.67,4.17,4.08
新疆维吾尔自治区,4.61,3.97,2.84,2.65,2.26,1.87,1.55,1.48,1.74,1.74,1.61
注：数据来源于农村住户抽样调查资料。
数据来源：国家统计局
