数据库：分省年度数据
指标：农作物总播种面积(千公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,98.18,88.55,103.79,120.94,145.55,172.14,194.64,237.29,278.03,298.62,313.62,316.76,319.01,292.91,319.53,318.00,312.48,308.83,342.00
天津市,419.17,410.27,429.27,439.52,443.66,433.28,443.01,441.34,448.98,442.45,438.78,440.31,436.93,429.67,429.79,499.42,504.30,501.46,522.75
河北省,8089.44,8132.69,8197.13,8381.65,8467.51,8457.76,8454.90,8416.01,8361.89,8278.32,8260.75,8416.08,8422.27,8158.13,8713.93,8785.48,8695.35,8638.50,8935.11
山西省,3541.51,3524.42,3555.16,3577.62,3591.54,3612.65,3664.57,3667.89,3696.23,3694.41,3638.11,3561.48,3530.31,3482.17,3471.30,3795.35,3741.48,3707.95,3900.53
内蒙古自治区,8882.81,8885.02,8824.07,9014.22,8957.21,8423.68,8079.08,7823.05,7670.84,7539.51,7362.07,6895.77,6750.57,6534.52,6590.03,6215.73,5923.95,5752.75,5887.01
辽宁省,4287.78,4217.10,4207.11,4172.32,4242.73,4335.47,4219.80,4154.41,4095.55,3997.53,3950.14,3810.64,3725.86,3736.40,3627.21,3796.70,3723.34,3719.13,3809.20
吉林省,6150.99,6117.05,6080.89,6086.20,6063.25,5997.91,5890.50,5632.95,5431.98,5297.23,5258.93,5091.09,5077.82,5035.99,4815.21,4954.12,4903.98,4716.75,4687.67
黑龙江省,14910.13,14770.08,14673.33,14767.59,14829.46,14811.88,14497.68,14211.99,13929.68,13749.58,13347.65,12840.66,12389.77,12270.97,11678.34,10083.66,9888.40,9802.67,9858.35
上海市,255.16,261.39,282.27,284.95,303.78,350.64,369.91,391.30,401.64,420.03,415.58,415.40,396.06,399.22,401.44,403.62,404.39,419.19,476.65
江苏省,7478.40,7442.63,7520.23,7556.40,7639.90,7693.70,7615.79,7597.93,7569.22,7508.44,7462.35,7407.98,7351.62,7256.01,7385.15,7641.20,7668.98,7681.49,7797.85
浙江省,2014.50,1999.62,1978.68,1981.11,1946.46,1977.80,1986.77,2062.45,2095.67,2267.84,2322.55,2444.08,2471.34,2514.32,2511.37,2837.94,2778.41,2834.39,3064.53
安徽省,8817.99,8781.96,8771.11,8726.68,8790.10,9598.29,9500.18,9364.90,9336.30,9392.44,9386.19,9344.68,9117.26,8959.10,8790.01,9172.45,9200.35,9124.69,8997.61
福建省,1631.27,1599.29,1577.31,1549.34,1548.80,1617.17,1670.17,1740.96,1761.23,1878.97,1945.91,2075.31,2132.84,2202.87,2236.35,2481.27,2519.32,2518.92,2661.27
江西省,5644.37,5521.18,5555.81,5638.46,5668.88,5688.41,5667.34,5636.98,5596.83,5546.41,5505.00,5488.36,5430.07,5343.79,5280.92,5251.42,5182.78,4997.35,5355.10
山东省,10889.06,10933.09,11076.80,11107.79,11278.61,11381.01,11316.65,11136.63,10862.27,10782.86,10677.40,10909.98,10989.98,10838.37,10754.12,10736.06,10638.57,10885.28,11047.83
河南省,14687.99,14713.98,14783.35,14732.53,14902.72,14879.73,14731.54,14586.50,14386.89,14373.32,14320.79,14235.70,14403.71,14308.50,13995.53,13922.73,13789.66,13684.36,13359.76
湖北省,7974.39,7815.89,7952.90,7956.14,7908.50,7983.43,7791.42,7731.26,7684.40,7454.98,7377.94,7328.50,7131.55,6993.07,6900.59,7279.42,7155.88,7138.26,7354.96
湖南省,8400.13,8122.79,8111.09,8321.97,8341.50,8355.22,8398.63,8352.67,8299.62,8178.06,8057.99,7852.21,7613.50,7397.01,7289.73,7977.64,7886.22,7731.24,7789.90
广东省,4451.81,4357.38,4279.36,4227.51,4181.56,4194.55,4225.19,4178.17,4248.43,4244.73,4262.77,4277.45,4273.85,4296.34,4382.52,4815.37,4807.97,4883.39,4932.39
广西壮族自治区,6107.32,5989.21,5972.38,5969.88,5966.74,6078.81,5855.03,6076.46,6036.16,5899.88,5896.37,5964.99,5850.33,5727.94,5557.26,6489.24,6368.15,6279.07,6299.92
海南省,676.86,676.24,712.94,709.44,731.90,757.50,779.40,772.48,786.57,782.40,786.75,800.44,793.61,757.71,699.41,778.06,826.94,906.74,863.34
重庆市,3372.54,3345.74,3348.49,3339.56,3333.10,3311.32,3288.58,3318.49,3320.31,3225.78,3129.85,3110.74,3109.13,3104.94,3073.88,3444.73,3435.28,3365.81,3467.05
四川省,9849.89,9692.98,9615.32,9575.05,9493.82,9451.06,9377.70,9371.69,9319.58,9215.40,9158.73,9157.82,9294.65,9252.44,9341.91,9480.20,9387.53,9384.46,9564.55
贵州省,5475.35,5481.56,5477.16,5659.37,5604.80,5532.90,5510.50,5388.73,5201.03,4998.10,4896.93,4802.59,4665.46,4535.35,4449.43,4804.10,4695.00,4634.23,4645.42
云南省,6989.67,6938.86,6890.77,6790.80,6786.62,6818.64,6842.84,6848.56,6674.13,6484.91,6257.06,6381.56,6194.88,5968.10,5776.18,6053.79,5890.01,5756.00,5813.12
西藏自治区,272.08,271.53,270.38,254.05,263.15,229.69,227.10,225.77,220.24,219.04,218.86,214.62,215.07,213.14,233.01,234.96,231.24,233.66,232.89
陕西省,4160.85,4132.09,4091.01,4063.88,4160.15,4050.00,4053.87,4108.22,4182.84,4193.60,4237.57,4207.83,4214.55,4164.06,3983.47,4201.83,4099.83,4055.78,4198.28
甘肃省,3931.82,3831.57,3773.55,3752.03,3749.20,3768.38,3775.83,3779.84,3770.70,3774.33,3723.47,3693.94,3676.63,3672.25,3658.74,3726.01,3668.89,3620.92,3649.93
青海省,571.42,553.54,557.25,555.31,557.75,558.39,553.70,555.77,554.21,540.05,526.75,514.06,500.30,483.37,517.22,476.73,473.30,466.80,494.32
宁夏回族自治区,1174.23,1152.96,1164.57,1132.63,1118.85,1132.43,1126.76,1147.08,1176.46,1205.76,1205.86,1205.32,1198.95,1193.77,1109.30,1099.33,1158.31,1129.48,1147.90
新疆维吾尔自治区,6280.01,6169.99,6068.89,5886.96,5921.27,5175.47,5074.23,4744.47,4673.34,4475.41,4236.75,4036.09,3887.63,3487.64,4176.59,3731.16,3592.26,3535.02,3478.33
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
