数据库：分省年度数据
指标：秋收粮食播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,38.30,45.50,55.40,69.58,83.67,96.59,122.70,141.67,151.24,161.88,165.72,162.43,156.14,156.51,138.80,115.33,105.46,121.50
天津市,,,238.10,239.37,242.63,254.71,246.18,238.66,226.12,212.03,200.25,202.07,197.66,186.73,187.61,180.93,188.80,184.58,179.80,215.36
河北省,,,4122.50,4153.61,4257.99,4383.11,4358.62,4256.90,4156.98,4076.69,4033.35,3968.55,3898.91,3749.25,3760.42,3736.10,3824.87,3802.97,3711.05,3991.22
山西省,,,2571.40,2567.87,2610.79,2653.76,2671.34,2662.35,2635.26,2630.27,2590.98,2511.15,2406.83,2365.19,2267.75,2145.92,2287.14,2251.04,2084.57,2181.68
内蒙古自治区,,,6827.50,6789.85,6780.92,6803.41,6579.96,6388.81,6253.09,6124.10,5979.03,5846.11,5644.25,5295.41,5033.78,4936.78,4373.58,4181.10,4051.47,4343.46
辽宁省,,,3488.70,3484.03,3467.48,3514.97,3605.24,3480.26,3412.42,3359.51,3269.15,3242.87,3147.25,3046.15,3135.45,3017.52,2974.50,2827.20,2636.20,2707.20
吉林省,,,5644.90,5599.72,5543.97,5542.39,5534.09,5411.75,5132.05,4891.25,4766.41,4676.76,4560.86,4555.28,4472.84,4236.60,4294.50,4312.08,4013.75,4037.60
黑龙江省,,,14338.10,14214.54,14154.28,14201.81,14283.08,13968.18,13575.56,13212.23,12830.87,12445.10,12121.85,11474.05,11180.26,10525.73,8650.80,8458.00,8114.70,8291.20
上海市,,,106.50,106.66,108.58,112.50,118.35,119.95,123.81,126.23,128.41,131.09,131.12,124.94,126.63,121.58,124.89,122.17,116.86,143.29
江苏省,,,2930.40,2974.44,3013.11,3031.90,3033.49,3012.75,2976.57,2978.09,2977.04,2968.06,2973.22,2969.06,2920.75,2905.23,2914.15,2852.58,2705.28,2833.67
浙江省,,,751.20,748.88,728.48,719.50,738.65,757.13,775.66,802.64,818.58,860.41,915.07,949.65,967.04,1020.15,1223.31,1174.25,1145.96,1253.24
安徽省,,,4286.00,4257.32,4290.96,4245.43,4184.11,4164.48,4016.59,4018.55,4081.92,4084.12,4109.31,3981.55,3898.61,3781.07,3848.70,3801.97,3707.60,3582.47
福建省,,,671.80,677.56,665.49,644.73,672.08,693.00,716.35,737.91,783.58,814.70,839.67,858.85,873.04,895.93,1057.59,1078.27,1068.05,1164.00
