数据库：分省年度数据
指标：中稻和一季晚稻播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.17,0.12,0.20,0.20,0.18,0.19,0.20,0.23,0.30,0.38,0.44,0.52,0.69,0.80,0.82,1.61,4.50
天津市,,,,39.90,30.49,26.51,22.15,22.25,22.33,18.62,17.44,17.90,18.10,16.29,14.94,14.07,16.70,13.69,7.00,14.93
河北省,,,,78.43,75.02,76.32,79.91,80.49,82.91,82.59,80.33,77.62,83.43,80.46,83.97,88.73,87.66,83.53,75.58,111.04
山西省,,,,0.80,0.76,0.79,0.78,0.99,1.06,1.08,1.08,1.09,1.18,1.17,1.50,1.47,2.68,2.64,3.11,3.54
内蒙古自治区,,,,150.45,122.19,108.84,88.03,85.96,82.37,97.35,94.97,95.05,104.56,99.39,104.51,72.02,84.46,80.90,66.97,89.75
辽宁省,,,,488.36,492.67,476.39,469.23,492.12,577.90,598.99,607.01,633.93,624.76,637.17,649.71,624.90,568.40,544.20,500.63,556.40
吉林省,,,,839.71,820.83,800.19,778.82,757.01,739.37,711.57,697.69,680.19,667.56,665.46,671.56,656.30,654.00,600.10,540.95,666.10
黑龙江省,,,,3783.10,3948.89,3925.33,3918.35,3968.48,3860.81,3630.70,3437.31,3139.44,2695.35,2629.15,2287.78,1992.20,1650.30,1587.80,1290.90,1564.40
上海市,,,,103.58,104.11,106.29,110.16,111.25,114.83,117.61,118.57,120.47,120.48,114.98,115.00,110.62,108.21,107.64,99.33,127.07
江苏省,,,,2214.72,2237.72,2256.26,2250.32,2236.70,2229.87,2228.94,2227.73,2224.86,2223.75,2222.62,2220.84,2212.49,2206.78,2109.97,1833.49,1977.74
浙江省,,,,454.94,439.58,433.94,450.47,466.48,484.47,504.72,554.05,577.20,611.05,652.45,668.79,693.83,699.98,677.98,671.92,684.18
安徽省,,,,2172.80,2190.11,2096.27,2015.90,1912.77,1793.51,1789.78,1773.92,1764.28,1737.36,1706.49,1642.38,1635.70,1557.90,1547.97,1461.80,1473.00
福建省,,,,262.71,256.70,247.41,254.75,261.57,265.90,272.31,281.17,286.37,295.36,300.08,299.95,411.75,300.26,414.34,411.67,442.30
江西省,,,,909.80,858.65,845.23,738.29,680.01,629.81,577.94,530.70,525.16,474.41,450.21,435.28,407.67,414.60,437.47,479.74,410.47
山东省,,,,113.83,108.86,106.67,117.18,123.24,123.87,124.50,125.07,128.66,134.96,130.92,130.61,127.27,119.80,124.43,112.62,155.32
河南省,,,,620.41,615.03,614.09,616.35,614.65,610.97,621.77,616.28,610.84,598.73,596.35,595.86,571.33,511.07,508.53,503.00,469.40
湖北省,,,,2034.30,1991.65,1920.49,1812.60,1650.30,1655.88,1547.20,1552.79,1420.10,1426.65,1295.40,1281.67,1230.88,1282.25,1215.37,1132.51,1214.70
湖南省,,,,1472.50,1291.28,1262.98,1228.29,1217.62,1210.11,1216.50,1245.61,1251.20,1225.29,1258.32,1232.05,1156.30,1068.60,1061.84,834.52,812.54
广东省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
广西壮族自治区,,,,135.54,141.04,136.76,139.42,141.37,144.58,142.93,146.16,146.09,142.41,148.95,147.54,146.00,120.70,132.10,127.60,140.30
海南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,,,
重庆市,,,,656.45,658.94,660.91,647.09,650.78,652.37,654.77,656.82,658.08,661.21,658.85,644.26,672.30,747.31,748.30,748.20,754.10
四川省,,,,1874.00,1874.93,1874.00,1878.71,1892.36,1905.41,1929.76,1943.17,1966.92,1990.90,2011.59,2023.97,2077.85,2083.14,2059.10,2036.00,2070.70
贵州省,,,,671.78,700.50,714.25,711.07,714.13,712.62,706.97,701.41,712.03,710.41,699.16,680.13,679.48,721.54,715.93,720.00,733.07
云南省,,,,780.48,802.15,813.07,838.93,871.32,910.28,880.92,902.32,870.55,911.38,909.55,906.39,972.75,970.18,1010.42,962.69,998.79
西藏自治区,,,,0.94,0.89,1.14,0.94,0.99,0.95,0.97,1.00,0.98,1.00,0.98,1.00,0.98,1.02,1.05,1.01,1.65
陕西省,,,,105.39,105.64,107.42,107.45,108.68,114.30,113.86,113.14,115.29,121.76,121.35,113.77,120.87,147.10,145.80,139.50,130.50
甘肃省,,,,3.82,4.04,4.19,4.07,4.72,4.89,5.18,5.32,5.59,5.49,5.41,5.22,5.31,5.10,4.91,4.79,6.34
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,78.01,81.09,80.86,74.34,78.05,82.14,84.34,83.94,83.16,78.25,80.29,77.00,88.27,71.25,64.38,46.71,76.40
新疆维吾尔自治区,,,,78.39,74.24,83.09,74.84,82.58,88.42,84.46,77.92,70.65,76.10,71.62,68.51,68.00,69.27,66.77,67.16,74.96
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
