数据库：分省年度数据
指标：谷子播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,1.31,1.45,1.55,1.36,1.32,1.29,1.41,1.48,1.54,1.58,1.54,1.61,1.83,1.80,1.17,2.63,3.00
天津市,,,,0.27,1.10,0.81,2.44,0.91,0.42,0.92,0.12,0.08,0.08,0.05,0.03,0.08,0.13,0.15,0.40,0.42
河北省,,,,118.37,127.20,130.03,158.43,157.31,153.22,159.54,171.46,161.56,149.87,176.38,177.83,194.15,194.76,222.72,226.75,262.26
山西省,,,,197.80,199.18,195.87,203.56,196.24,192.90,192.29,193.84,195.24,192.53,219.67,228.01,192.93,216.54,223.10,234.15,249.75
内蒙古自治区,,,,181.93,234.44,230.30,214.30,185.18,137.41,160.64,146.77,182.07,159.77,146.06,135.61,158.85,124.52,126.00,141.98,177.20
辽宁省,,,,55.34,54.03,38.24,38.24,40.82,36.01,38.06,48.93,62.35,74.75,68.57,78.01,82.84,90.50,103.80,113.13,107.20
吉林省,,,,29.13,46.24,43.74,38.16,35.75,30.58,34.31,32.24,27.19,24.92,26.22,33.05,13.36,12.20,10.20,22.60,17.20
黑龙江省,,,,21.21,18.37,24.19,7.38,7.69,5.95,7.32,12.31,15.85,19.51,23.72,10.00,34.49,38.10,43.50,66.10,79.50
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,0.10,0.14,0.15,0.31,0.14,0.14,2.04,0.04,0.05,0.05,0.04,0.00,0.06,0.02,0.02,0.04,
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,6.48,8.79,22.13,22.28,18.82,19.27,16.45,19.53,11.39,11.43,15.92,1.09,0.08,0.30,0.20,0.82,0.22
福建省,,,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.05,0.09,0.11,0.16,0.27,0.27,0.30,0.40
江西省,,,,,0.00,0.00,0.34,0.34,0.29,0.47,0.00,0.00,0.00,0.05,0.10,0.07,0.10,0.13,0.07,0.11
山东省,,,,31.43,30.61,27.33,24.63,26.32,24.97,24.11,21.99,20.77,14.71,15.17,15.39,15.54,28.71,31.60,39.22,43.87
河南省,,,,36.36,36.00,38.67,33.83,34.03,34.09,34.14,34.82,35.52,37.29,34.09,33.13,34.85,41.31,39.33,58.00,58.50
湖北省,,,,0.00,0.10,0.12,0.10,0.09,0.11,0.07,0.12,0.10,0.15,0.08,0.32,0.28,0.55,0.92,2.42,1.60
湖南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
广东省,,,,0.06,0.10,0.17,0.18,0.25,0.28,0.20,0.21,0.23,0.24,0.37,0.40,0.43,0.50,0.50,0.50,0.53
广西壮族自治区,,,,4.64,5.42,4.73,4.33,3.35,2.78,2.96,3.96,3.68,3.37,2.86,2.69,2.53,2.80,2.70,2.90,3.50
海南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
四川省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
贵州省,,,,3.78,4.21,4.56,0.89,0.89,0.90,0.86,1.21,1.13,1.37,1.68,2.02,2.54,2.46,2.74,3.20,3.30
云南省,,,,0.41,0.42,0.43,0.41,0.31,0.20,0.29,0.28,0.31,0.25,0.24,0.19,0.07,0.12,0.06,0.11,0.21
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,68.37,67.01,65.72,65.76,63.17,61.55,63.98,58.05,74.65,80.16,76.55,76.60,77.70,51.70,62.60,63.10,78.20
甘肃省,,,,10.31,9.72,9.96,10.65,9.64,10.40,10.29,11.51,11.32,17.18,18.92,26.20,31.21,32.05,33.10,33.79,34.04
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,9.53,14.67,15.33,8.05,7.84,7.03,7.41,7.91,6.11,5.47,4.40,12.71,12.76,8.59,9.75,11.22,16.80
新疆维吾尔自治区,,,,1.35,1.80,3.18,6.75,1.10,0.94,1.46,1.17,3.22,1.18,1.56,0.21,0.94,1.11,1.05,1.04,1.91
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
