数据库：分省年度数据
指标：高粱播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.37,0.23,0.19,0.21,0.22,0.26,0.29,0.27,0.32,0.32,0.32,0.44,0.55,0.60,0.69,0.93,1.40
天津市,,,,4.57,2.56,1.59,0.24,4.62,4.18,1.20,0.85,0.71,0.35,0.25,0.25,1.40,3.84,4.77,13.40,14.76
河北省,,,,9.78,2.41,2.02,12.24,13.72,14.40,14.65,14.82,16.83,18.88,23.47,24.32,28.95,30.43,43.52,45.58,46.15
山西省,,,,32.93,22.48,20.49,20.61,27.54,26.43,26.68,27.71,32.47,26.81,32.85,35.08,31.41,38.55,40.57,59.56,73.05
内蒙古自治区,,,,171.12,90.16,90.66,81.41,89.61,104.63,115.20,106.27,135.42,109.05,107.63,73.46,102.99,57.28,57.20,84.42,109.30
辽宁省,,,,37.57,36.05,36.90,33.35,36.64,32.68,37.40,45.39,57.31,81.42,65.50,80.76,95.69,112.60,117.00,127.40,178.00
吉林省,,,,107.12,117.77,105.70,95.31,118.94,117.78,130.16,98.36,99.26,95.23,136.39,155.96,257.80,85.20,53.60,95.20,90.00
黑龙江省,,,,57.79,53.89,45.17,26.29,34.58,25.12,29.27,33.22,40.61,33.82,34.16,24.56,72.62,71.80,64.70,102.80,124.20
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,0.26,0.18,0.22,0.21,0.36,0.07,0.04,0.03,0.03,0.06,0.03,0.00,0.10,0.06,0.05,1.05,0.11
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.30,0.31,0.27,0.26,2.00,1.37,1.21,1.17,1.17,1.17,1.17,1.03,1.40,2.00,2.20,3.26,5.13
福建省,,,,0.09,0.09,0.09,0.13,0.18,0.24,0.32,0.45,0.58,0.77,0.98,1.14,1.61,2.67,2.93,3.06,3.60
江西省,,,,2.40,2.48,2.53,2.97,2.95,3.44,2.18,1.02,0.81,0.73,1.39,1.59,1.29,1.11,1.19,1.40,1.57
山东省,,,,3.26,3.33,2.67,2.90,3.44,3.41,3.80,3.67,4.23,5.72,6.00,6.63,9.18,13.89,15.26,20.87,20.59
河南省,,,,21.34,21.33,14.67,10.25,5.45,2.41,2.42,2.99,3.69,3.85,3.65,3.28,3.91,6.41,8.27,9.10,9.20
湖北省,,,,4.25,5.03,5.33,4.40,4.50,4.68,5.15,5.71,4.60,4.66,3.93,3.29,3.50,3.13,2.22,4.73,5.00
湖南省,,,,9.60,6.30,6.10,6.37,6.45,4.41,2.83,2.53,2.45,3.44,3.36,3.68,5.70,11.00,11.10,12.24,12.59
广东省,,,,0.04,0.02,0.03,0.03,0.02,0.05,0.06,0.06,0.06,0.06,0.15,0.16,0.17,0.10,0.10,0.10,0.24
广西壮族自治区,,,,5.55,5.84,6.25,6.44,6.15,6.36,4.05,3.38,3.11,3.12,2.90,2.79,2.62,2.70,2.90,3.20,3.80
海南省,,,,,0.00,0.00,0.01,0.02,0.02,0.02,0.01,0.04,0.06,0.08,0.07,,0.50,0.02,0.01,0.05
重庆市,,,,16.05,15.97,15.53,16.04,16.71,15.52,13.23,12.89,12.07,11.37,9.72,8.70,8.36,26.78,37.50,26.97,23.10
四川省,,,,36.00,33.00,30.43,29.95,31.70,31.62,31.21,30.89,30.57,30.25,29.59,32.64,36.15,39.23,42.60,46.26,48.40
贵州省,,,,61.48,45.06,46.93,42.61,48.13,50.20,41.95,35.57,36.20,27.84,21.79,27.86,30.45,24.16,21.10,20.10,18.37
云南省,,,,3.30,3.41,3.44,3.18,3.07,2.55,2.75,2.71,2.75,2.32,2.34,2.64,2.06,2.61,2.56,3.02,2.09
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,17.07,16.33,16.04,15.63,16.43,17.65,8.52,9.49,9.91,9.43,12.95,11.72,8.26,5.00,5.10,6.90,16.60
甘肃省,,,,8.16,14.14,12.35,8.42,9.63,8.78,6.41,8.69,9.40,12.33,14.05,15.15,18.68,18.05,19.40,18.43,18.81
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,3.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.11,0.12,0.94,0.50
新疆维吾尔自治区,,,,8.33,4.94,7.22,5.49,7.93,8.31,7.49,5.46,5.12,5.05,2.62,5.53,7.56,9.91,10.68,11.40,16.62
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
