数据库：分省年度数据
指标：大麦播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,,,,0.01,0.15,0.24,0.38,0.13,0.19,0.04,0.04,0.08,0.08,0.00,0.00,,,,,
山西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
内蒙古自治区,,,,25.82,42.74,52.24,41.47,34.86,49.53,68.31,74.05,64.82,83.49,130.10,85.19,61.40,9.50,6.00,5.42,5.10
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
吉林省,,,,0.00,0.00,0.00,0.03,0.00,0.00,0.11,0.11,0.10,0.20,0.00,0.02,0.02,,,,
黑龙江省,,,,0.53,0.59,0.02,0.00,0.00,0.00,0.00,0.00,0.00,11.59,50.13,43.75,98.09,68.20,39.00,74.90,95.00
上海市,,,,1.87,3.09,8.91,13.28,15.64,18.00,19.97,13.58,13.24,17.33,10.16,9.80,8.80,7.78,7.18,6.52,9.82
江苏省,,,,45.02,53.10,67.21,81.20,86.92,95.02,105.45,110.66,122.66,132.01,128.15,154.68,194.69,189.70,196.99,206.12,202.72
浙江省,,,,0.38,5.12,5.76,10.81,14.71,16.68,17.61,18.69,20.73,22.47,20.82,22.29,24.05,24.42,21.53,26.31,38.30
安徽省,,,,0.45,0.10,0.11,0.32,4.98,22.21,26.03,26.36,44.78,45.71,43.58,60.13,69.20,104.70,106.90,137.45,128.93
福建省,,,,0.04,0.04,0.04,0.05,0.09,0.12,0.17,0.21,0.39,0.47,0.54,0.70,0.92,1.59,1.43,2.20,8.30
江西省,,,,0.25,0.30,0.30,0.18,0.17,0.20,0.13,0.16,0.18,0.22,0.20,0.79,0.60,0.96,1.04,1.13,1.83
山东省,,,,0.61,0.69,0.67,0.71,0.62,0.38,0.99,1.33,1.44,0.40,0.89,0.17,0.24,0.18,0.02,0.08,0.12
河南省,,,,30.26,26.67,25.33,25.46,25.59,25.73,25.86,29.24,26.13,24.81,18.01,33.15,34.24,54.03,70.01,75.59,82.50
湖北省,,,,8.29,8.16,7.58,9.50,9.30,9.10,10.46,12.66,16.72,19.25,22.85,36.93,43.91,49.05,49.66,61.03,64.40
湖南省,,,,1.40,1.40,1.50,0.76,0.80,0.91,0.96,1.16,1.63,1.89,2.07,2.19,3.30,4.40,7.28,8.27,10.10
广东省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.10,0.08
广西壮族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4.90,,,
海南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
重庆市,,,,0.47,0.53,0.66,0.71,0.78,0.90,1.06,1.31,1.49,1.84,2.02,1.85,1.81,6.65,6.60,7.84,8.03
四川省,,,,11.47,11.67,12.20,13.29,14.83,15.39,17.30,20.21,23.44,27.60,29.79,32.71,38.16,44.77,47.20,46.62,57.40
贵州省,,,,2.49,2.50,1.81,1.89,2.14,1.69,1.97,2.27,2.31,3.03,3.49,4.32,5.11,5.93,6.10,6.80,8.29
云南省,,,,99.09,95.80,93.95,77.60,79.33,84.65,83.85,83.38,81.38,88.66,86.54,94.19,96.32,144.93,121.42,130.65,84.69
西藏自治区,,,,0.06,0.87,0.07,0.07,0.06,0.05,0.08,0.08,0.11,0.11,0.13,0.10,0.13,0.11,0.11,0.21,
陕西省,,,,3.35,3.62,3.64,3.67,3.97,4.20,4.26,4.22,1.25,1.44,2.29,5.36,3.80,2.30,3.70,4.50,11.90
甘肃省,,,,24.89,20.95,20.77,25.19,25.63,33.87,38.78,48.97,55.44,70.28,107.00,95.26,93.19,78.43,67.87,70.71,60.47
青海省,,,,0.00,49.77,53.51,47.08,46.94,42.05,47.97,45.66,37.31,35.03,39.72,41.26,,,0.07,,
宁夏回族自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,0.92,0.75,2.06,
新疆维吾尔自治区,,,,5.73,2.13,4.38,20.86,13.89,19.83,28.01,38.67,37.53,34.63,61.32,66.75,50.96,27.42,24.53,38.30,36.45
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
