数据库：分省年度数据
指标：豆类播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.68,1.94,2.63,2.87,2.38,4.06,4.82,4.89,5.50,6.28,7.41,9.48,10.59,10.11,13.37,12.30,15.16,19.16,18.40
天津市,,4.40,5.47,6.52,3.78,3.84,5.10,6.78,6.36,10.68,11.45,13.21,12.09,9.46,9.39,13.61,28.05,30.06,32.30,36.93
河北省,,122.13,125.08,115.97,90.12,89.06,98.49,110.09,117.94,127.83,140.51,160.38,189.50,236.60,236.58,269.96,333.11,359.72,383.96,452.10
山西省,,183.84,225.67,250.73,238.29,240.56,242.22,254.80,261.74,271.76,273.73,298.69,306.32,330.90,336.73,353.06,346.25,348.82,355.00,423.89
内蒙古自治区,,1380.72,1394.40,1307.38,1171.36,1087.44,948.98,888.73,979.74,1032.17,1156.28,1220.14,1211.81,1101.51,1128.84,1295.26,1077.48,1069.60,1081.76,1045.70
辽宁省,,116.17,93.40,82.82,85.26,79.19,64.32,70.09,85.65,95.22,104.07,116.76,151.62,179.52,142.34,149.90,294.50,333.50,343.87,317.70
吉林省,,393.67,403.82,343.52,328.97,287.90,303.69,364.14,367.23,395.43,503.11,556.09,612.86,632.33,593.64,282.20,632.90,633.20,607.70,582.90
黑龙江省,,4930.47,4419.07,3741.87,3982.13,3411.50,2763.48,2915.49,2754.51,2979.08,3596.79,3948.62,4419.50,4417.68,4346.76,4547.45,4032.00,3913.60,3813.00,3381.20
上海市,,0.54,0.73,0.64,1.52,3.25,5.77,7.58,6.16,7.43,7.61,8.96,9.83,8.58,9.66,9.59,9.33,8.73,8.46,7.35
江苏省,,271.25,265.99,257.05,249.71,251.24,250.50,255.10,275.35,297.66,312.58,317.63,321.39,326.31,311.33,322.85,345.27,349.61,389.74,384.85
浙江省,,115.81,118.73,113.14,108.25,114.38,114.92,114.78,108.88,111.11,94.55,94.28,109.97,114.19,108.36,120.39,209.14,184.90,193.32,192.80
安徽省,,641.98,672.95,687.63,658.70,637.14,637.75,736.56,743.13,796.05,830.89,905.10,960.52,1005.16,983.32,1053.80,1008.60,977.00,1011.52,806.40
福建省,,42.40,39.93,37.92,36.03,35.69,38.63,41.17,44.54,47.46,51.13,54.10,57.36,61.03,62.04,69.72,113.15,115.13,120.52,126.40
江西省,,142.65,130.43,127.64,123.33,122.36,126.62,126.51,124.78,126.14,126.18,128.75,133.16,139.89,143.86,165.81,154.23,158.81,184.43,203.33
山东省,,193.04,187.84,158.02,124.98,131.33,138.82,162.17,158.51,159.44,162.70,164.51,172.86,172.06,175.25,190.13,251.71,256.56,323.86,344.16
河南省,,406.13,428.00,424.00,389.85,366.40,370.35,413.25,460.80,487.79,475.39,487.56,511.34,539.19,514.16,584.00,616.53,625.87,612.51,626.60
湖北省,,247.72,240.10,247.09,238.47,227.79,173.66,185.55,155.52,167.58,174.59,179.39,184.49,199.50,199.37,209.93,290.01,304.14,324.86,353.00
湖南省,,150.78,149.19,148.19,141.01,137.63,134.75,144.37,142.05,146.21,151.82,154.33,154.45,148.22,150.36,145.50,276.80,279.70,293.46,290.58
广东省,,41.87,41.51,41.05,40.52,40.91,43.66,46.16,49.78,53.24,54.89,60.10,64.75,70.33,74.47,84.00,108.30,107.90,106.30,109.87
广西壮族自治区,,160.87,149.76,155.40,149.35,145.33,144.37,154.65,148.10,148.70,163.79,164.27,155.53,142.93,144.87,150.00,280.30,283.40,287.10,304.30
海南省,,5.31,5.22,5.96,5.51,6.17,6.25,8.03,7.55,8.12,8.29,7.82,7.64,7.59,2.13,2.13,11.59,13.68,15.54,16.49
重庆市,,201.97,200.29,201.44,200.20,197.80,195.65,191.62,198.24,195.31,190.13,189.96,183.42,184.53,187.72,186.23,234.54,224.28,209.00,219.00
四川省,,599.45,559.80,524.90,518.40,496.00,466.05,457.97,453.52,444.45,437.79,430.16,429.63,454.08,457.52,478.40,585.63,565.50,521.63,505.70
贵州省,,336.47,317.71,325.06,298.17,311.77,301.83,289.20,288.26,281.53,286.19,294.55,289.95,302.11,295.73,307.07,324.78,324.87,321.10,326.65
云南省,,484.60,482.00,469.41,468.44,466.20,457.09,463.00,480.13,504.40,514.80,507.83,530.01,551.60,503.48,535.60,478.56,493.10,463.40,605.55
西藏自治区,,5.22,5.00,4.55,4.67,5.67,5.06,5.71,5.84,6.31,6.45,6.62,6.66,7.08,7.79,8.05,8.97,9.00,9.93,11.08
陕西省,,188.27,188.04,188.42,189.11,189.63,181.95,184.81,225.34,235.58,237.10,236.63,237.74,241.06,215.19,210.90,382.30,370.40,379.90,357.30
甘肃省,,163.81,141.55,137.51,127.89,127.12,127.26,131.08,146.24,153.85,164.59,172.63,183.67,216.36,224.07,224.85,245.05,234.47,230.74,233.97
青海省,,14.91,14.00,12.76,13.25,11.41,12.63,13.85,15.12,20.05,21.27,25.89,32.94,33.09,37.29,45.96,40.87,40.10,39.70,48.20
宁夏回族自治区,,12.66,17.25,22.60,18.70,19.83,28.14,28.41,29.29,35.95,38.88,48.73,48.15,59.79,23.48,23.54,70.94,84.60,110.32,103.50
新疆维吾尔自治区,,32.68,49.79,44.51,42.43,40.29,40.67,47.45,47.67,53.13,63.41,92.06,86.01,84.36,72.45,96.14,98.29,83.44,104.41,107.15
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
