数据库：分省年度数据
指标：大豆播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.24,1.40,1.85,2.20,1.96,3.48,4.14,4.11,4.72,5.37,6.41,8.35,9.35,8.82,11.87,10.90,13.63,16.44,15.50
天津市,,4.11,5.15,6.21,3.37,3.54,4.75,6.39,6.08,10.11,10.84,12.68,11.59,8.98,8.96,13.20,27.42,29.25,30.90,35.19
河北省,,89.48,93.46,87.57,70.10,68.73,78.62,86.65,92.10,98.54,109.72,124.46,145.71,180.40,180.52,210.93,254.85,274.29,280.52,331.29
山西省,,119.61,129.14,150.53,130.79,134.13,137.40,149.51,158.74,166.53,169.03,172.47,178.81,190.63,204.78,221.13,217.93,210.91,207.26,245.56
内蒙古自治区,,1201.68,1189.80,1094.24,988.96,923.40,812.85,744.56,796.25,800.10,846.23,942.72,931.22,729.43,729.90,940.72,796.96,752.90,697.29,596.10
辽宁省,,103.16,83.89,73.46,74.30,69.45,59.94,63.49,73.16,78.59,87.05,95.33,135.22,159.08,122.22,128.90,253.50,295.90,305.13,285.40
吉林省,,321.13,345.00,279.24,220.22,187.54,181.90,242.78,240.63,257.21,328.73,399.20,462.63,461.39,429.54,242.20,504.80,525.90,430.00,415.00
黑龙江省,,4832.09,4279.47,3567.74,3735.49,3223.10,2661.49,2792.89,2637.09,2860.05,3402.10,3727.19,4165.16,4148.40,3978.88,4246.13,3548.40,3555.50,3389.30,2930.10
上海市,,0.54,0.73,0.64,1.07,1.82,3.35,3.24,4.02,3.51,4.23,4.87,5.22,5.33,6.44,5.87,5.84,5.28,5.33,4.54
江苏省,,196.39,191.79,193.75,194.40,196.89,195.82,201.70,206.69,216.64,223.04,224.23,230.91,230.10,220.73,213.00,214.80,216.42,241.68,243.44
浙江省,,82.75,90.16,85.21,80.41,83.82,86.27,85.10,84.55,85.24,49.51,51.32,54.52,53.76,50.23,50.58,129.74,116.58,116.48,114.42
安徽省,,605.06,636.24,649.89,620.55,599.49,601.12,679.71,687.49,731.15,759.53,834.96,891.10,933.44,907.96,975.33,917.00,888.10,855.20,747.40
福建省,,34.36,32.74,31.06,28.98,28.70,30.99,32.90,35.41,37.60,40.27,42.99,45.37,46.84,47.65,52.83,85.75,88.43,90.34,93.80
江西省,,113.50,108.80,106.23,102.11,101.91,101.97,100.50,97.14,96.29,94.09,95.11,95.64,97.88,98.38,88.83,98.91,101.46,117.43,131.79
山东省,,188.67,183.53,153.52,119.55,124.67,129.67,147.53,144.04,146.36,154.71,156.41,164.70,164.97,167.49,182.85,238.69,241.18,285.67,321.97
河南省,,375.17,394.67,385.55,345.17,341.06,343.56,381.90,424.01,448.04,434.15,444.78,462.12,484.72,464.95,539.07,533.58,522.53,503.40,528.00
湖北省,,219.72,211.72,219.77,212.34,202.25,144.40,136.79,103.27,105.67,108.12,109.94,111.36,115.60,117.20,118.40,178.65,183.78,194.98,215.30
湖南省,,114.66,113.30,106.50,99.71,98.53,96.75,101.07,95.59,94.39,95.59,92.35,91.19,89.45,87.41,73.60,187.10,188.12,198.21,198.21
广东省,,32.61,32.57,31.79,31.16,32.31,34.47,36.35,38.81,41.25,42.51,48.44,48.79,54.12,57.30,64.60,83.80,80.40,78.80,85.00
广西壮族自治区,,96.42,93.89,97.71,94.25,91.33,90.67,94.67,92.77,90.89,108.37,106.06,99.20,88.18,89.14,92.13,217.30,219.60,258.10,237.50
海南省,,2.90,1.92,2.01,2.10,2.33,2.58,3.03,3.08,3.27,3.46,3.03,3.33,3.13,2.13,2.13,5.42,6.68,7.83,8.83
重庆市,,98.12,96.92,97.08,96.68,95.28,94.93,94.96,94.16,93.72,90.42,86.72,82.52,78.27,72.15,68.10,99.11,95.09,81.71,80.64
四川省,,432.67,402.00,377.00,369.33,350.67,329.32,312.41,295.42,285.56,276.38,260.65,243.59,229.82,218.68,205.27,212.71,200.90,201.50,193.70
贵州省,,211.77,191.82,198.90,194.65,209.66,194.85,180.87,170.40,170.82,160.93,155.10,148.97,136.40,126.30,121.87,130.66,131.08,128.70,136.37
云南省,,186.60,185.20,176.32,173.05,170.87,161.24,159.36,155.32,153.28,146.46,145.48,143.69,137.25,83.66,83.60,123.95,149.67,113.13,122.72
西藏自治区,,0.01,0.05,0.09,0.04,1.91,0.08,0.11,0.12,0.20,0.17,0.14,0.13,0.31,0.61,1.04,0.54,0.28,1.00,1.75
陕西省,,151.34,151.11,151.61,151.90,151.18,142.87,143.47,189.52,198.24,201.09,201.74,205.26,206.76,164.49,182.27,321.20,308.10,306.60,224.40
甘肃省,,46.95,41.40,44.99,64.42,64.07,61.04,67.64,71.76,74.31,79.21,79.11,82.59,96.34,95.73,89.04,94.17,86.66,80.81,81.81
青海省,,,,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,3.45,4.89,6.90,8.04,8.50,11.25,11.36,11.72,14.38,15.55,19.49,19.26,23.92,9.39,8.00,18.72,20.48,20.29,25.60
新疆维吾尔自治区,,16.35,38.96,35.41,29.46,29.24,29.73,32.46,36.50,38.58,55.79,56.79,70.47,61.14,49.20,70.93,78.35,79.65,68.88,68.22
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
