数据库：分省年度数据
指标：绿豆播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.09,0.11,0.07,0.14,0.17,0.22,0.19,0.22,0.22,0.25,0.22,0.27,0.29,0.30,0.27,0.48,0.40
天津市,,,,0.12,0.13,0.07,0.21,0.24,0.13,0.45,0.40,0.32,0.26,0.15,0.13,0.17,0.34,0.49,1.00,1.21
河北省,,,,10.46,6.88,6.64,6.68,7.68,8.56,9.33,10.74,12.66,12.64,17.80,17.73,17.61,20.08,21.48,26.77,32.31
山西省,,,,41.00,47.18,48.09,48.08,44.88,38.51,38.33,37.39,45.00,41.67,43.49,41.14,32.35,28.72,46.47,50.65,63.03
内蒙古自治区,,,,176.65,139.71,116.56,93.49,84.30,139.40,172.16,193.22,170.33,173.44,222.95,242.67,179.78,178.58,185.20,255.37,285.10
辽宁省,,,,4.87,4.10,4.69,2.17,2.69,3.75,4.57,5.00,5.13,7.47,9.82,14.25,9.89,16.70,15.60,16.07,11.90
吉林省,,,,55.98,100.40,93.76,113.20,109.10,114.07,121.17,164.06,146.50,140.78,140.66,127.23,24.05,96.80,81.10,151.50,139.40
黑龙江省,,,,33.53,47.22,26.78,11.98,18.09,14.94,14.76,23.78,32.16,36.45,43.69,44.17,48.22,43.10,47.40,45.30,82.80
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,3.98,2.04,2.07,3.77,3.88,3.58,4.48,3.88,4.04,4.23,4.11,4.26,5.27,5.03,5.28,15.10,4.68
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,4.54,4.11,3.86,2.50
安徽省,,,,31.32,31.62,31.10,30.31,40.90,41.67,61.19,59.02,58.84,57.92,58.00,57.94,30.64,54.10,46.00,95.91,47.80
福建省,,,,0.70,0.57,0.56,0.65,0.77,0.90,1.03,1.23,1.42,1.64,1.97,2.10,2.44,29.39,3.50,3.25,3.60
江西省,,,,3.20,3.25,3.17,3.90,4.15,4.30,4.93,4.90,5.70,6.13,6.55,6.85,8.79,9.23,9.13,10.02,10.26
山东省,,,,2.01,2.05,2.00,3.24,6.21,6.07,6.14,5.11,4.97,4.56,4.30,5.24,5.07,9.11,12.05,12.47,12.77
河南省,,,,38.45,40.00,25.33,26.78,31.36,36.79,39.75,41.24,42.78,49.22,54.47,49.22,40.28,66.16,70.63,80.67,82.30
湖北省,,,,6.88,4.51,4.37,8.65,8.45,11.06,16.30,18.90,19.27,17.98,18.24,17.00,18.79,23.15,24.50,28.64,27.50
湖南省,,,,11.60,10.70,10.10,10.88,11.23,11.70,14.19,15.91,18.63,19.30,21.63,22.23,24.90,23.60,23.71,25.96,24.60
广东省,,,,1.21,1.48,1.44,1.55,1.67,1.77,1.99,2.06,2.15,2.35,2.17,2.25,2.17,3.00,3.10,3.60,3.86
广西壮族自治区,,,,17.72,17.21,16.67,17.20,16.54,16.29,16.01,21.04,13.71,13.14,12.33,11.95,12.14,13.10,13.10,13.60,15.10
海南省,,,,0.18,0.19,0.16,0.17,0.34,0.30,0.27,0.23,0.40,0.36,0.32,0.00,,0.80,0.78,0.97,1.38
重庆市,,,,11.25,11.23,11.07,11.51,12.19,13.13,13.88,14.35,15.82,15.92,17.96,18.62,18.90,23.04,21.40,19.13,19.22
四川省,,,,11.80,11.87,12.00,12.38,12.98,13.71,14.35,14.95,15.51,16.03,16.87,17.42,29.60,26.63,24.00,22.58,22.00
贵州省,,,,3.32,4.06,4.43,4.59,3.28,3.48,4.51,3.89,5.06,4.27,3.04,4.12,3.58,3.33,3.58,3.70,4.20
云南省,,,,3.80,3.95,4.00,4.41,4.60,4.31,4.77,5.24,6.04,3.47,3.68,3.13,3.27,2.79,3.60,2.88,3.28
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,9.25,9.36,9.64,9.59,11.21,20.44,23.14,26.40,24.81,24.83,29.66,26.96,21.80,23.80,29.20,39.50,64.61
甘肃省,,,,0.67,0.35,0.19,0.21,0.24,0.28,0.32,0.37,0.42,0.48,0.54,0.62,0.71,0.25,0.36,0.25,0.43
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.15,
新疆维吾尔自治区,,,,5.04,1.60,1.82,2.31,0.00,2.72,0.74,0.04,12.43,3.33,6.68,4.87,2.29,2.49,2.87,3.18,4.31
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
