数据库：分省年度数据
指标：薯类播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.40,1.16,1.18,1.09,1.01,1.40,1.31,1.44,2.13,2.35,2.42,2.75,3.08,4.30,4.00,3.30,3.70,5.44,6.20
天津市,,1.45,1.48,1.30,2.92,2.06,0.54,0.49,0.40,0.70,0.82,0.74,0.80,0.69,0.68,0.67,1.24,1.15,1.80,1.87
河北省,,230.70,222.43,226.19,211.65,211.76,210.24,206.67,216.75,227.96,232.65,225.03,234.39,250.28,249.56,249.53,295.85,320.82,376.50,406.55
山西省,,183.30,183.95,174.53,184.75,179.29,168.25,171.45,173.90,176.01,180.27,180.78,185.70,168.36,209.08,173.40,353.97,360.30,364.68,366.66
内蒙古自治区,,280.49,299.50,351.57,432.19,449.57,452.79,484.21,569.87,636.59,669.50,672.27,656.87,597.94,594.32,592.75,561.72,528.10,536.13,580.30
辽宁省,,66.88,92.09,89.98,90.45,78.99,63.15,67.44,63.89,68.35,71.43,70.87,83.93,87.37,93.38,103.47,128.00,138.50,148.47,155.40
吉林省,,44.40,47.01,46.34,62.10,61.24,65.34,68.19,68.90,70.54,77.71,82.56,105.35,92.36,98.94,133.50,107.20,84.80,87.60,69.20
黑龙江省,,69.59,115.46,160.18,165.74,154.91,135.11,188.56,225.32,252.46,268.90,259.63,281.22,221.48,157.79,205.67,301.10,346.40,434.60,444.00
上海市,,0.36,0.56,0.63,0.36,0.42,0.50,0.60,0.60,0.64,0.80,0.83,0.92,0.87,1.19,1.18,0.99,0.93,0.59,0.80
江苏省,,39.07,35.98,35.66,25.80,26.73,34.50,40.53,58.31,60.74,60.55,62.31,68.02,67.21,68.72,76.27,100.16,114.17,134.20,143.75
浙江省,,73.35,67.44,72.68,84.08,78.99,73.88,74.81,75.90,77.43,73.19,77.83,83.12,81.92,85.32,38.81,110.28,98.70,98.21,102.23
安徽省,,63.55,62.98,60.15,65.29,70.64,79.02,97.10,91.17,106.14,134.77,158.90,149.43,171.10,160.28,176.00,351.00,357.70,437.70,393.73
福建省,,152.86,148.50,142.37,137.00,135.17,142.58,148.64,154.45,160.10,181.52,194.03,201.07,201.61,206.69,224.22,324.61,330.94,333.69,345.10
江西省,,119.70,121.53,102.02,101.92,101.50,97.89,99.75,104.75,103.19,102.00,109.59,128.85,119.42,118.05,111.94,121.21,123.46,137.66,145.40
山东省,,134.04,123.20,103.86,102.60,120.67,143.15,207.20,200.93,200.17,226.70,234.22,226.36,246.47,241.30,253.39,281.94,319.28,399.77,412.56
河南省,,164.40,112.67,114.90,112.67,245.03,257.02,261.34,221.85,229.09,257.18,265.19,283.34,299.22,270.19,267.47,443.03,437.60,470.00,552.30
湖北省,,319.23,322.47,308.13,282.72,276.35,276.08,274.15,272.53,275.94,283.93,260.83,230.05,212.20,217.51,218.67,398.17,404.16,412.43,432.40
湖南省,,183.45,181.70,188.56,187.38,183.49,212.05,230.94,236.93,209.67,221.37,228.65,232.90,209.69,214.61,225.70,383.30,360.25,400.45,396.85
广东省,,202.89,202.49,199.81,200.02,202.71,213.19,222.56,226.42,237.27,248.03,261.77,269.89,283.40,299.05,312.27,386.40,387.70,378.90,397.47
广西壮族自治区,,267.27,263.38,267.65,267.24,269.33,274.42,254.02,251.99,242.78,245.09,244.60,234.41,205.07,206.76,213.93,256.50,260.50,268.10,289.00
海南省,,37.89,37.70,34.05,30.29,32.29,37.30,42.13,45.75,51.62,56.54,63.46,69.74,74.88,74.74,61.20,98.16,109.34,159.79,126.97
重庆市,,663.64,664.27,672.55,673.73,671.87,663.90,667.54,671.67,681.11,679.11,674.29,670.92,666.60,672.73,676.00,729.63,725.66,682.00,721.82
四川省,,1268.87,1260.40,1261.20,1265.86,1257.16,1260.39,1223.40,1220.75,1186.40,1105.83,1083.81,1077.04,1215.02,1164.00,1135.07,1200.69,1182.60,1102.07,1142.50
贵州省,,988.08,948.56,901.97,815.81,805.25,796.70,808.25,813.20,812.06,820.32,818.76,819.26,804.43,772.14,792.10,820.65,789.09,748.20,740.78
云南省,,543.85,532.02,531.64,527.65,528.00,539.70,552.99,549.52,560.59,552.71,566.45,572.90,557.82,547.51,557.30,687.53,624.67,605.25,513.11
西藏自治区,,1.71,1.27,0.94,0.97,1.02,1.04,1.01,0.82,0.79,0.62,0.54,0.53,0.53,0.62,0.61,0.55,1.87,0.43,0.55
陕西省,,344.51,343.11,344.88,346.57,309.75,310.84,310.87,312.28,297.83,311.78,310.28,306.81,303.61,302.15,292.56,313.67,300.80,304.70,351.70
甘肃省,,574.65,558.72,570.73,565.31,553.97,557.39,583.49,609.09,608.93,613.98,596.77,606.80,594.73,591.73,579.99,531.03,549.14,496.55,484.90
青海省,,73.48,77.10,88.27,86.83,85.55,85.59,88.74,90.00,80.87,85.56,84.75,85.17,71.29,52.27,35.53,75.33,67.80,65.70,60.70
宁夏回族自治区,,95.11,92.71,109.93,118.67,123.33,128.50,137.90,172.80,178.60,191.80,195.60,198.00,217.37,194.50,141.20,117.27,103.57,87.69,75.90
新疆维吾尔自治区,,20.31,20.06,16.58,23.55,23.08,22.32,28.19,24.94,24.02,40.83,33.19,21.04,31.43,32.03,22.79,18.51,23.11,22.45,20.65
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
