数据库：分省年度数据
指标：油菜籽播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.06,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
天津市,,0.08,0.02,0.03,0.25,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
河北省,,31.81,19.85,19.42,24.52,19.48,18.19,20.59,20.67,19.64,21.27,22.51,22.76,23.94,12.35,13.40,35.42,47.78,28.26,26.00
山西省,,17.67,22.90,25.27,18.80,12.77,12.61,4.26,4.85,4.09,4.69,5.71,6.08,5.82,6.27,3.27,10.12,12.08,10.68,10.10
内蒙古自治区,,246.07,259.13,246.24,309.64,302.25,342.53,340.07,310.68,288.05,236.39,233.60,119.01,226.25,177.00,293.39,255.68,278.46,279.73,224.80
辽宁省,,0.69,0.81,0.82,0.78,0.73,1.17,0.99,0.53,0.45,0.20,0.15,0.28,0.41,0.45,0.47,0.90,1.31,1.73,1.40
吉林省,,0.20,0.21,0.22,0.48,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
黑龙江省,,0.20,1.96,1.82,0.27,0.05,0.00,0.02,0.09,0.41,0.51,0.82,1.70,0.40,0.60,1.07,1.86,2.75,2.48,4.10
上海市,,2.10,2.20,2.09,2.22,3.85,4.75,5.31,6.53,7.85,8.12,9.76,14.85,14.67,15.21,22.63,30.79,30.17,37.86,51.80
江苏省,,172.91,173.54,159.08,175.27,188.84,223.62,251.03,276.47,298.14,330.80,365.35,400.65,405.01,410.03,525.47,660.50,689.86,683.03,668.10
浙江省,,113.73,116.76,104.87,96.15,99.33,109.31,114.93,146.84,158.68,171.31,192.32,201.83,188.67,176.08,153.48,227.19,215.79,229.49,268.00
安徽省,,350.43,363.88,357.02,354.14,375.33,532.45,550.99,568.13,609.59,640.41,691.00,721.79,670.43,619.58,655.55,953.64,1003.34,1014.51,1002.30
福建省,,5.72,5.61,5.29,4.90,4.91,5.33,5.73,6.20,6.65,7.16,7.63,8.16,8.07,8.65,10.32,13.76,13.85,13.79,14.60
江西省,,475.43,482.29,483.00,509.06,510.64,545.02,547.90,547.98,551.85,542.64,546.95,538.49,486.27,414.73,414.73,409.70,400.46,428.05,482.90
山东省,,8.58,8.87,8.60,8.05,8.48,8.89,8.60,8.54,8.01,8.80,9.56,10.93,9.54,8.86,10.66,12.41,16.78,19.61,25.60
河南省,,176.99,171.51,145.02,155.69,162.19,186.58,207.70,228.58,250.98,271.14,298.04,310.25,327.86,332.57,346.87,407.79,373.77,384.57,337.00
湖北省,,1034.36,938.31,932.97,971.17,983.62,1070.11,1101.62,1098.94,1062.61,1055.39,1089.43,1112.36,1056.00,912.69,1001.20,1178.65,1186.10,1174.63,1155.30
湖南省,,1326.45,1240.98,1222.22,1188.91,1176.16,1188.61,1208.32,1205.91,1182.69,1139.66,1119.03,1018.91,994.91,854.93,607.78,752.24,728.15,711.13,734.60
广东省,,4.36,4.39,4.69,8.74,10.01,3.68,3.57,3.67,4.04,4.16,4.36,4.90,5.46,5.70,6.54,6.99,6.56,6.99,8.00
广西壮族自治区,,32.50,28.45,24.43,20.77,20.68,19.68,19.70,15.69,14.63,13.63,14.06,11.45,10.15,11.09,11.80,60.58,60.65,61.11,67.60
海南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
重庆市,,258.26,254.99,250.15,244.28,236.86,229.33,221.35,219.80,197.10,190.22,187.16,170.45,148.32,134.53,133.68,187.33,173.82,176.89,173.90
四川省,,1292.17,1222.61,1218.49,1206.18,1166.82,1159.62,1144.05,1119.59,1098.36,1077.50,1059.55,1043.70,988.56,898.61,747.41,817.17,814.36,805.61,773.40
贵州省,,430.88,445.69,497.68,516.12,520.01,532.25,539.97,538.79,542.76,548.55,552.15,552.57,501.80,499.62,399.91,504.77,482.43,451.36,451.60
云南省,,257.74,260.87,256.14,232.14,237.33,242.53,255.55,254.47,247.79,250.84,247.94,238.06,143.75,82.54,106.98,169.12,147.88,132.98,122.60
西藏自治区,,20.12,21.45,22.43,19.51,22.48,23.69,24.36,24.33,23.89,23.92,23.92,24.42,24.66,23.06,24.05,26.05,24.33,21.61,18.70
陕西省,,175.72,175.50,175.89,179.55,179.81,184.48,184.19,188.80,187.43,192.29,191.90,187.44,173.89,161.35,149.07,178.71,173.21,165.82,166.10
甘肃省,,148.84,164.18,174.91,198.53,194.85,190.56,194.21,193.27,195.38,202.46,196.83,199.51,168.13,155.31,151.10,157.34,162.03,154.21,136.50
青海省,,142.46,140.43,145.76,153.64,147.07,148.54,154.09,159.98,165.14,185.14,175.92,172.71,171.49,170.37,144.43,159.74,157.70,149.20,148.20
宁夏回族自治区,,4.47,3.25,2.57,1.94,1.68,0.42,0.50,0.45,0.80,0.30,0.17,0.11,0.12,0.36,0.08,0.08,0.24,1.12,0.70
新疆维吾尔自治区,,33.73,52.43,63.45,51.29,36.15,43.68,48.52,43.71,59.64,64.47,70.15,76.95,83.67,47.15,48.43,59.92,67.52,74.48,70.00
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
