数据库：分省年度数据
指标：芝麻播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.02,0.02,0.03,0.03,0.02,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.07,0.10,0.16,0.18,0.20
天津市,,,,0.03,0.03,0.04,0.06,0.07,0.10,0.13,0.13,0.13,0.16,0.10,0.09,0.12,0.33,0.45,0.90,0.96
河北省,,,,1.62,1.41,1.49,2.10,2.10,2.52,3.07,3.75,4.41,5.75,7.43,9.68,12.95,15.22,16.20,19.22,21.31
山西省,,,,2.15,1.73,1.75,1.96,2.23,2.42,2.61,4.13,4.01,4.37,4.56,4.35,5.80,5.96,9.14,8.62,12.12
内蒙古自治区,,,,1.12,1.96,1.56,1.07,1.08,1.24,1.02,2.42,2.67,3.45,2.86,5.52,8.72,7.72,13.86,8.72,9.67
辽宁省,,,,0.23,0.30,0.10,0.16,0.16,0.33,0.54,0.89,0.97,1.00,1.01,1.14,2.63,6.40,9.73,13.13,16.40
吉林省,,,,0.94,0.27,0.35,0.54,0.89,1.29,1.95,3.30,3.48,4.16,5.17,7.08,21.46,32.05,34.70,55.65,15.93
黑龙江省,,,,0.39,0.05,0.51,0.35,1.04,0.62,0.64,0.47,0.53,1.68,1.43,5.67,6.20,7.70,6.94,7.99,5.70
上海市,,,,0.09,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.06,0.08,0.10,0.15,0.15,,,,0.10
江苏省,,,,5.14,4.00,4.33,4.89,5.39,6.19,6.85,7.57,8.18,9.29,9.80,9.89,11.38,11.92,11.91,12.70,15.00
浙江省,,,,5.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.98,3.93,3.92,3.88,4.08
安徽省,,,,7.33,4.52,5.04,48.22,46.68,46.06,45.67,48.04,52.30,59.36,67.66,69.63,100.12,108.98,121.25,124.68,166.05
福建省,,,,0.24,0.29,0.30,0.35,0.39,0.43,0.52,0.60,0.70,0.81,0.98,1.09,1.25,1.25,1.20,1.25,1.22
江西省,,,,29.83,27.47,27.06,30.74,31.00,31.45,31.23,31.81,31.58,30.78,29.79,31.72,31.72,30.60,29.06,36.06,42.38
山东省,,,,0.49,0.39,0.49,0.58,0.50,0.57,0.62,0.62,0.62,0.87,1.41,1.46,1.54,1.77,2.23,2.69,3.38
河南省,,,,108.67,84.07,83.15,92.17,99.12,108.22,119.20,125.51,133.35,144.14,154.95,172.89,215.58,210.53,204.67,216.15,249.95
湖北省,,,,67.87,62.69,64.31,66.75,71.50,69.06,74.28,77.28,82.46,91.45,87.79,88.14,97.24,102.52,111.20,124.00,138.88
湖南省,,,,10.86,10.49,11.66,11.65,10.94,10.53,9.86,9.81,9.30,8.42,8.25,6.69,9.71,7.58,8.18,8.81,9.36
广东省,,,,3.33,3.12,3.09,2.93,2.57,2.30,2.07,1.96,1.81,2.03,1.74,1.75,1.29,1.56,1.52,1.77,2.07
广西壮族自治区,,,,2.96,2.81,2.82,2.99,3.12,3.25,3.38,3.64,4.04,4.05,4.31,4.87,5.00,4.94,5.31,5.27,6.57
海南省,,,,0.98,0.89,0.92,0.97,1.07,1.01,1.57,1.57,2.40,2.42,2.53,2.42,,3.30,3.53,4.28,4.28
重庆市,,,,4.08,9.70,9.73,9.56,9.65,9.37,5.74,8.46,9.08,8.78,8.03,7.53,7.09,7.04,6.86,6.94,7.25
四川省,,,,1.56,1.44,1.44,1.44,1.55,1.57,1.64,1.74,1.85,2.02,2.16,2.39,4.18,4.54,4.09,4.03,3.77
贵州省,,,,0.38,0.47,0.46,0.41,0.43,0.38,0.36,0.31,1.65,0.36,0.21,0.27,0.23,0.29,0.25,0.29,0.37
云南省,,,,0.13,0.22,0.23,0.22,0.21,0.14,0.15,0.19,0.23,0.27,0.23,0.24,0.26,0.29,0.32,0.30,0.38
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,6.44,9.23,9.11,9.35,0.00,0.00,0.00,0.00,0.00,14.85,13.91,13.61,15.12,16.60,17.09,19.38,20.94
甘肃省,,,,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,0.00,0.00,0.00,0.06,0.00,0.00,0.04,0.06,0.21,0.52,0.47,0.97,,,,,
新疆维吾尔自治区,,,,0.26,0.11,0.22,11.38,10.86,0.80,10.42,0.61,1.23,12.21,10.74,0.71,0.33,0.20,0.22,0.30,0.32
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
