数据库：分省年度数据
指标：棉花播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.01,0.01,0.01,0.00,0.04,0.10,0.10,0.14,0.24,0.44,0.40,0.60,1.20,1.68,2.10,1.80,6.54,3.17,3.10
天津市,,7.80,14.11,17.10,20.67,12.93,17.32,27.99,36.71,52.39,57.28,49.90,54.05,67.91,66.85,68.93,61.23,86.87,70.60,44.80
河北省,,189.20,203.89,210.39,220.60,230.86,298.05,398.33,423.33,446.67,459.80,467.61,585.99,685.49,445.54,664.07,573.47,669.13,581.40,407.40
山西省,,1.13,2.26,2.58,2.87,3.53,8.29,15.47,20.97,28.55,35.85,38.08,40.47,50.81,75.51,119.87,97.45,114.62,91.45,72.30
内蒙古自治区,,0.06,0.07,0.08,0.00,0.22,0.10,1.03,1.08,1.04,1.61,0.89,0.83,1.98,2.61,1.98,1.58,6.67,5.00,0.70
辽宁省,,0.00,0.01,0.01,0.00,0.07,0.00,0.06,0.18,0.22,0.29,0.30,0.61,0.83,0.81,1.53,2.80,5.30,4.20,3.00
吉林省,,,,0.00,0.00,0.00,0.00,0.48,3.11,4.16,6.67,3.29,1.59,2.37,0.53,0.26,1.03,0.20,0.60,0.20
黑龙江省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
上海市,,0.01,0.06,0.09,0.40,0.34,0.43,0.84,2.11,2.05,2.57,2.57,1.35,1.51,1.41,1.20,1.09,1.10,0.77,0.80
江苏省,,8.35,11.60,16.60,21.00,31.70,50.23,75.34,92.14,88.47,101.26,81.06,117.69,157.24,220.15,330.40,368.27,409.62,369.50,311.80
浙江省,,4.81,5.62,5.71,4.53,5.62,5.87,6.02,7.91,10.67,13.45,13.41,13.02,15.43,15.31,18.25,17.91,18.77,17.63,18.70
安徽省,,51.20,60.30,86.30,88.13,110.06,232.50,265.20,285.13,304.93,350.40,344.40,327.67,381.41,376.15,360.00,375.73,398.93,390.00,321.20
福建省,,0.04,0.05,0.09,,0.11,0.10,0.11,0.10,0.10,0.10,0.14,0.34,0.47,0.79,0.72,0.05,0.07,0.13,0.10
江西省,,35.00,42.70,46.69,69.00,67.04,81.10,84.92,84.67,85.01,81.96,79.74,75.51,66.56,78.80,78.80,63.90,62.50,65.51,55.00
山东省,,142.88,169.28,183.27,174.67,279.13,451.01,495.96,551.68,562.08,601.94,633.71,756.67,792.96,801.96,890.17,846.26,1059.21,881.69,664.90
河南省,,16.20,33.80,36.68,40.00,50.03,64.34,88.11,114.96,169.40,280.57,354.23,436.53,527.62,653.16,748.20,781.57,951.80,926.67,793.00
湖北省,,129.73,162.83,159.26,204.80,204.96,264.74,344.80,415.59,472.87,488.66,480.05,460.08,543.00,514.22,496.40,390.31,408.27,355.02,293.00
湖南省,,59.47,63.00,63.90,95.67,106.50,103.60,130.10,159.60,172.70,192.40,175.00,152.60,183.00,172.00,158.58,150.93,167.72,138.99,129.20
广东省,,,,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,,,,
广西壮族自治区,,1.12,1.11,1.21,1.27,1.54,2.29,2.31,2.27,2.19,2.33,2.23,2.24,2.27,2.46,2.40,1.66,1.70,1.42,1.60
海南省,,,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
重庆市,,,,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.23,0.35,0.39,0.60
四川省,,2.28,2.85,4.03,4.40,4.53,4.93,6.39,6.65,7.07,7.85,8.18,8.27,9.45,10.84,24.46,27.84,35.82,31.21,33.00
贵州省,,0.37,0.44,0.65,1.40,1.84,1.85,1.82,1.80,1.86,1.73,1.62,1.59,1.45,1.46,1.34,1.43,1.56,1.62,1.70
云南省,,0.01,0.01,0.02,0.00,0.08,0.10,0.13,0.19,0.29,0.27,0.32,0.39,0.40,0.41,0.30,0.56,0.64,0.83,1.00
西藏自治区,,,,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,,0.72,5.46,6.92,8.47,12.04,14.66,17.79,22.55,31.81,35.50,38.51,50.19,74.08,83.14,85.30,70.23,80.09,65.06,42.80
甘肃省,,16.59,19.33,21.53,19.40,15.22,29.11,42.55,44.86,52.35,51.35,50.64,58.04,74.77,80.36,76.01,63.95,68.33,52.16,40.40
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
宁夏回族自治区,,,,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.01,0.20,,
新疆维吾尔自治区,,2501.92,2540.50,2491.30,2217.47,2059.60,2144.26,2170.62,1884.42,1862.51,1749.70,1539.71,1338.39,1635.89,1592.50,1684.07,1160.51,1136.86,1055.50,943.90
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
