数据库：分省年度数据
指标：大麻播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.73,0.11,0.14
山西省,,,,0.05,0.00,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.04,0.05,0.05,0.86,0.62
内蒙古自治区,,,,0.10,1.25,0.24,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.22,0.11,1.15,1.00,0.57
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,0.07,0.10
吉林省,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.23,0.29,0.47,0.65,0.11,0.19,0.08,,,0.34
黑龙江省,,,,15.72,18.00,10.69,1.62,1.92,0.35,0.24,0.01,0.13,0.27,4.93,9.27,6.70,2.06,9.00,0.92,1.33
上海市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,0.00,0.02,0.00,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,,0.01,0.02,0.12,0.10
浙江省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.58,0.60,0.59,1.93,2.16,2.08,2.11,1.90,2.18,1.79,1.70,2.00,1.88,1.70,2.45,1.78,2.05
福建省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山东省,,,,0.04,0.04,0.15,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.07,,0.07,0.20
河南省,,,,0.00,0.00,0.01,0.34,0.02,0.00,0.02,0.01,0.04,0.15,0.02,0.02,0.21,0.22,0.72,0.74,0.43
湖北省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
广东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
广西壮族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
海南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
重庆市,,,,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,,,,,
四川省,,,,0.08,0.01,0.01,0.01,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,,,,,
贵州省,,,,0.03,0.08,0.08,0.09,0.07,0.07,0.07,0.08,0.09,0.10,0.13,0.14,0.16,0.22,0.25,0.31,0.30
云南省,,,,0.07,0.00,0.00,0.00,0.78,1.30,0.42,0.60,0.10,0.43,1.50,2.11,5.83,1.90,0.25,0.23,0.48
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,0.30,0.22,0.23,0.20,0.23,0.23,0.24,0.00,0.00,0.13,0.29,0.00,0.43,,0.47,0.24,0.37
甘肃省,,,,1.58,1.67,1.65,1.56,1.69,1.90,1.57,1.53,1.52,2.06,2.21,3.09,3.43,4.37,3.83,3.37,4.33
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.02,,0.09,3.53
宁夏回族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,0.02,
新疆维吾尔自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
