数据库：分省年度数据
指标：苎麻播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
内蒙古自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
吉林省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
黑龙江省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
上海市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,0.24,0.26,0.30,0.35,0.46,0.67,0.71,0.76,0.88,1.02,1.12,1.20,1.36,1.29,1.16,1.41,1.29
浙江省,,,,0.01,0.01,0.01,0.02,0.03,0.06,0.03,0.03,0.04,0.05,0.07,0.09,0.10,0.13,0.14,0.19,0.21
安徽省,,,,0.11,0.01,0.01,1.12,1.28,1.52,2.19,2.47,2.78,3.49,3.74,4.24,4.30,4.41,4.67,4.26,2.64
福建省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.04,0.06,0.09
江西省,,,,3.60,3.63,3.67,3.90,4.61,5.17,5.53,5.99,6.18,7.22,7.83,7.26,7.26,7.31,7.36,8.31,8.86
山东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.01
河南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖北省,,,,1.68,0.51,0.52,0.75,1.13,1.64,2.33,3.68,5.42,8.10,13.22,19.07,23.97,22.56,21.75,22.87,22.83
湖南省,,,,1.66,1.50,1.73,1.95,2.47,3.14,3.59,5.57,10.83,17.94,24.58,36.39,54.63,51.44,49.30,53.97,54.30
广东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.01,0.07
广西壮族自治区,,,,0.43,0.27,0.28,0.30,0.29,0.30,0.30,0.33,0.36,0.41,0.43,0.47,0.53,0.45,0.43,0.50,0.47
海南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
重庆市,,,,3.80,4.12,4.43,5.28,5.59,5.73,6.76,8.94,10.27,10.98,11.12,11.09,10.27,8.00,7.05,6.57,6.46
四川省,,,,16.75,16.58,16.73,16.98,17.28,17.81,18.05,19.34,20.37,21.50,22.12,22.48,37.96,34.87,32.61,27.98,25.79
贵州省,,,,0.11,0.19,0.29,0.28,0.32,0.34,0.37,0.39,0.38,0.43,0.50,0.63,0.77,0.84,0.94,1.16,1.39
云南省,,,,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.10,0.13,0.10,0.08,0.38
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,0.14,0.01,0.01,0.11,0.10,0.11,0.12,0.00,0.00,0.15,0.17,0.00,0.41,0.50,0.27,0.21,0.28
甘肃省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
新疆维吾尔自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
