数据库：分省年度数据
指标：甜菜播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
河北省,,12.62,12.42,18.13,12.20,12.14,11.64,11.05,12.49,12.18,11.49,14.07,12.52,15.69,15.68,13.93,10.48,8.64,11.53,11.64
山西省,,0.04,0.02,0.03,0.13,0.53,1.19,1.76,4.62,8.54,7.44,5.59,4.64,6.53,5.25,3.40,1.22,1.84,2.89,6.71
内蒙古自治区,,125.82,127.41,122.04,82.72,67.30,43.00,34.43,40.75,38.73,35.85,33.33,31.15,46.95,40.70,29.53,38.06,36.29,37.41,70.50
辽宁省,,1.49,2.42,2.00,2.03,1.83,1.73,2.03,3.17,1.87,1.73,1.07,1.81,1.98,1.31,0.80,2.10,1.20,1.13,14.00
吉林省,,1.09,0.87,0.64,0.68,0.18,0.36,1.27,1.63,5.01,3.95,2.73,2.04,6.45,2.67,1.53,2.79,1.30,2.60,27.39
黑龙江省,,3.08,8.90,12.04,9.35,3.26,2.05,10.24,38.57,72.95,82.02,77.86,63.87,90.40,90.00,58.00,80.46,75.53,118.76,198.90
上海市,,,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,2.61,2.73,0.02,0.02,0.02,0.04,0.01,0.03,0.04,0.00,0.09,0.02,0.00,0.00,0.01,0.02,0.12,0.29,0.38
浙江省,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.00,1.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.05,0.13
福建省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山东省,,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.01,0.01,,,0.11,0.42
河南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
湖北省,,,,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
湖南省,,,,0.00,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
广东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
广西壮族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
海南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
四川省,,0.02,0.02,0.11,0.28,0.29,0.26,0.24,0.22,0.20,0.19,0.21,0.16,0.12,0.07,0.19,0.18,0.15,0.13,0.20
贵州省,,0.24,0.01,0.02,0.40,0.59,0.79,0.40,0.47,0.74,0.43,0.23,0.17,0.10,0.11,0.07,0.07,0.06,0.06,0.05
云南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.10,0.21,0.23,0.21,0.23,0.22
西藏自治区,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,,0.03,0.05,0.05,0.04,0.07,0.05,0.03,0.00,0.01,0.00,0.00,0.01,0.02,0.02,0.42,0.04,0.16,0.25,1.00
甘肃省,,3.45,4.14,3.77,4.29,3.35,3.28,5.60,5.43,5.45,5.20,5.35,4.67,4.72,5.97,5.07,4.45,4.61,5.26,7.19
青海省,,,0.02,0.02,0.01,0.03,0.01,0.04,0.01,0.00,0.01,0.03,0.03,0.00,0.21,0.08,0.02,,,
宁夏回族自治区,,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.09,0.27,0.01,,,
新疆维吾尔自治区,,62.32,59.91,57.26,61.06,63.94,32.04,31.84,32.94,45.28,42.44,44.84,40.26,44.40,62.98,75.27,69.90,59.88,67.31,85.32
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
