数据库：分省年度数据
指标：药材播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,2.07,2.16,2.52,2.25,2.74,2.26,2.47,2.55,2.93,2.81,2.49,1.92,1.40,1.50,1.17,1.78,2.20
天津市,,,,1.09,3.37,3.53,1.61,0.35,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.08,0.20,0.22
河北省,,,,85.50,74.87,66.75,62.13,47.60,46.00,39.77,33.69,28.39,27.20,19.85,10.17,10.09,31.43,35.31,32.94,29.97
山西省,,,,74.67,67.54,45.05,30.18,30.66,28.18,25.63,25.75,21.05,20.32,22.10,21.92,9.73,31.56,31.94,36.92,35.95
内蒙古自治区,,,,141.62,118.83,89.69,58.64,45.12,27.15,26.35,23.71,25.43,19.39,23.58,18.71,18.38,26.30,33.60,32.02,27.74
辽宁省,,,,26.33,24.33,20.32,20.73,26.46,25.75,19.66,23.61,22.96,19.77,22.02,16.30,1.40,18.30,23.70,15.27,13.40
吉林省,,,,23.03,14.29,13.19,14.72,18.68,20.03,19.96,22.05,22.96,25.86,27.24,15.72,15.80,29.83,28.10,26.00,20.37
黑龙江省,,,,41.57,32.89,28.70,21.48,29.87,38.51,47.35,51.13,36.66,30.87,51.73,55.33,26.00,48.10,35.33,33.33,24.37
上海市,,,,0.30,0.45,0.63,0.69,0.64,0.61,0.63,0.65,0.60,0.57,0.54,0.52,0.50,0.45,0.46,0.68,0.55
江苏省,,,,13.99,13.67,14.83,16.61,16.55,14.61,11.46,12.63,11.49,12.55,12.11,4.07,4.07,14.53,15.78,19.97,18.00
浙江省,,,,50.32,48.60,43.01,38.61,36.57,45.87,31.19,31.56,30.58,28.76,29.94,27.09,25.99,26.47,27.22,26.16,22.55
安徽省,,,,85.22,70.95,68.75,90.76,87.52,84.92,81.65,74.43,64.03,55.07,54.27,54.56,52.07,61.37,71.97,76.75,71.11
福建省,,,,21.25,19.14,17.67,17.37,17.18,16.71,12.33,10.67,10.38,10.30,10.36,10.14,10.26,15.25,15.22,15.81,13.63
江西省,,,,54.92,35.50,24.24,20.50,20.37,20.08,20.01,19.90,20.13,21.35,24.39,23.93,23.93,24.26,26.94,29.38,26.33
山东省,,,,35.02,30.45,27.34,29.75,29.75,28.92,27.32,26.43,26.79,26.22,28.27,30.16,32.05,32.32,35.41,31.03,24.81
河南省,,,,132.44,112.19,99.81,113.58,118.80,121.20,122.73,123.10,121.87,117.77,111.05,96.60,92.00,174.20,163.10,149.19,95.58
湖北省,,,,191.99,155.39,139.51,141.38,126.21,122.54,120.49,106.96,92.77,80.57,69.78,62.27,19.90,61.46,106.40,124.10,79.37
湖南省,,,,80.83,73.68,68.43,70.14,69.70,67.15,58.80,55.51,55.61,50.70,51.36,49.12,36.95,85.35,83.52,80.77,64.44
广东省,,,,42.33,34.89,28.49,24.17,21.72,19.00,15.91,13.72,11.28,9.67,8.33,7.15,7.12,24.93,22.08,23.43,22.68
广西壮族自治区,,,,83.61,74.13,70.87,66.11,63.04,59.53,56.95,53.53,51.18,47.98,46.91,42.85,44.47,45.35,37.80,30.91,23.66
海南省,,,,14.46,12.75,10.25,9.18,8.15,6.21,5.78,4.17,3.67,3.48,3.71,3.16,1.60,3.63,3.99,3.34,4.89
重庆市,,,,113.73,109.38,108.27,100.92,102.46,98.13,93.42,77.18,67.66,60.69,53.49,45.81,47.82,37.22,31.18,25.71,20.24
四川省,,,,124.11,108.17,93.95,90.21,88.53,85.95,83.87,80.86,77.34,74.95,73.57,77.80,93.83,93.30,92.40,87.16,72.96
贵州省,,,,174.60,185.32,163.62,151.91,143.33,115.24,73.43,43.73,27.80,25.38,24.72,24.65,23.76,23.69,30.26,22.99,18.26
云南省,,,,187.59,172.64,152.33,169.51,139.11,107.14,92.41,70.71,58.39,49.55,42.63,36.80,30.02,26.64,25.01,22.71,19.02
西藏自治区,,,,1.48,0.00,0.00,0.10,0.51,0.00,0.00,0.00,0.00,0.01,0.01,0.00,,,,0.02,
陕西省,,,,188.22,174.38,160.55,165.22,160.49,157.09,156.37,156.03,155.42,155.19,211.43,219.46,54.15,99.94,131.19,123.03,40.70
甘肃省,,,,234.24,226.47,218.52,207.98,203.70,191.39,177.99,161.01,152.27,151.67,151.65,145.16,124.16,142.83,140.07,139.57,132.75
青海省,,,,44.06,37.92,34.76,32.13,24.01,22.93,21.08,19.04,10.72,8.58,4.24,1.87,0.60,3.63,4.20,3.60,2.79
宁夏回族自治区,,,,58.24,52.70,48.70,48.45,48.41,46.94,43.78,41.77,37.80,39.54,41.11,40.18,15.62,13.13,11.68,10.92,12.53
新疆维吾尔自治区,,,,63.59,74.02,68.17,43.95,30.66,28.15,30.20,16.40,14.13,33.28,12.07,15.25,7.53,16.28,19.62,22.47,22.84
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
