数据库：分省年度数据
指标：青饲料播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,2.42,2.53,2.53,2.25,3.36,2.25,3.39,4.52,5.02,3.61,3.74,4.05,2.78,10.20,19.18,8.15,7.60
天津市,,,,1.80,1.62,2.49,0.68,0.42,0.29,0.61,0.68,0.70,0.89,0.85,0.60,1.38,1.12,1.35,2.10,1.68
河北省,,,,71.03,115.02,98.14,55.80,58.58,59.72,60.01,63.15,64.27,66.85,63.99,62.90,68.00,84.38,115.75,154.27,123.11
山西省,,,,27.88,22.00,19.42,18.71,14.69,15.64,14.11,12.40,14.57,17.13,19.96,22.73,37.40,63.04,61.98,75.91,65.25
内蒙古自治区,,,,383.67,352.64,325.63,249.51,226.12,238.15,229.33,223.67,291.85,190.10,255.38,478.57,633.67,721.94,655.01,564.72,437.67
辽宁省,,,,26.49,25.92,26.72,20.22,16.61,12.63,10.39,9.74,7.97,7.90,7.12,7.52,6.69,11.80,16.60,28.00,15.90
吉林省,,,,5.40,1.33,0.86,0.94,1.08,0.77,1.16,1.18,1.28,1.21,1.71,3.92,4.45,11.32,7.40,10.00,5.77
黑龙江省,,,,39.89,43.29,71.16,25.26,31.84,45.84,53.44,275.72,149.07,67.19,65.57,68.42,180.22,170.37,135.43,257.06,103.05
上海市,,,,3.86,2.67,2.98,3.45,3.29,4.56,7.50,6.71,5.18,5.05,5.63,7.04,6.79,6.10,6.53,5.34,7.93
江苏省,,,,27.27,29.97,28.11,29.34,29.78,30.00,29.07,28.45,29.88,27.71,34.47,40.14,41.72,44.70,50.73,64.32,64.55
浙江省,,,,4.69,4.83,4.98,6.31,7.15,7.41,7.67,8.28,8.55,9.36,10.22,10.79,12.00,12.23,12.18,15.32,15.38
安徽省,,,,9.20,4.63,4.64,40.38,39.44,40.01,36.31,33.15,31.19,35.79,32.92,30.96,31.89,32.56,36.65,42.54,38.88
福建省,,,,2.97,3.17,3.18,4.28,5.73,7.58,10.11,13.51,17.74,23.62,31.32,42.29,59.31,62.18,62.41,65.22,60.79
江西省,,,,76.00,71.75,76.67,76.31,76.03,80.16,75.30,81.86,68.91,74.49,64.52,55.71,55.71,59.74,56.30,63.18,79.88
山东省,,,,3.57,3.68,2.16,1.91,3.21,3.96,2.40,0.55,0.65,0.63,2.67,4.89,3.90,5.25,12.99,30.92,16.04
河南省,,,,6.87,6.30,3.40,4.66,5.69,5.67,5.42,7.20,8.93,11.29,20.27,26.90,25.82,41.01,35.79,35.08,15.62
湖北省,,,,71.93,65.96,64.72,65.67,61.39,56.92,63.26,60.99,55.34,60.63,56.36,55.14,104.20,94.71,92.56,109.28,110.64
湖南省,,,,139.99,142.20,148.36,152.33,152.36,156.54,161.64,164.12,161.45,185.05,199.25,241.69,252.22,265.33,271.88,266.27,241.16
广东省,,,,46.91,46.78,47.27,50.98,52.20,53.47,55.94,53.54,55.63,56.80,59.68,73.65,79.08,83.11,81.32,87.72,87.25
广西壮族自治区,,,,44.71,40.29,38.07,36.24,34.80,32.44,29.91,27.59,24.04,19.21,13.34,10.96,11.05,235.83,225.00,234.27,235.21
海南省,,,,0.48,0.60,0.43,0.42,0.41,0.41,0.54,0.43,0.36,0.31,0.45,0.57,0.45,0.51,0.70,0.58,0.61
重庆市,,,,55.09,56.14,52.85,77.71,66.61,67.80,70.33,72.40,78.14,83.22,82.86,87.22,87.65,89.17,86.30,87.83,89.74
四川省,,,,148.87,149.82,149.19,141.71,145.54,146.64,153.56,160.13,171.24,174.51,187.87,205.54,307.32,314.29,328.46,360.57,344.13
贵州省,,,,185.00,154.76,141.65,140.23,138.50,138.82,133.04,131.16,118.22,109.04,101.97,102.54,102.36,91.08,85.11,72.81,65.11
云南省,,,,184.48,177.84,168.73,174.76,167.76,168.08,177.24,181.32,160.14,174.98,160.83,164.90,152.45,160.51,156.20,149.08,133.11
西藏自治区,,,,36.78,24.81,28.58,26.77,25.55,24.10,24.00,23.86,19.21,19.83,18.90,17.59,17.37,13.11,10.50,10.02,6.49
陕西省,,,,6.39,4.05,3.42,4.77,5.76,6.81,6.40,9.18,13.07,19.33,28.72,36.90,50.26,63.32,81.19,95.03,81.25
甘肃省,,,,67.85,58.39,64.19,62.32,61.49,65.30,74.37,73.60,85.34,102.44,112.93,135.78,156.94,177.53,190.22,197.54,167.44
青海省,,,,35.34,31.96,40.64,44.39,41.31,38.19,37.38,13.06,24.60,21.30,29.66,36.21,39.05,37.96,37.69,35.97,27.89
宁夏回族自治区,,,,89.86,88.89,82.20,76.34,74.34,71.93,69.08,50.09,57.33,65.48,69.10,62.04,33.03,51.82,50.40,40.32,73.30
新疆维吾尔自治区,,,,164.00,140.30,110.10,38.86,32.69,35.33,35.97,35.38,37.59,41.10,24.15,29.56,332.35,360.27,365.36,378.56,291.09
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
