数据库：分省年度数据
指标：粮食产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,37.75,30.53,28.76,34.14,41.12,52.76,62.64,63.94,96.13,113.77,121.77,115.69,124.77,125.45,102.07,109.17,94.93,70.18,58.03,82.30
天津市,249.87,228.18,223.25,209.69,212.27,200.40,184.48,178.19,177.44,163.56,163.16,160.56,157.13,149.46,147.41,141.90,137.50,122.77,119.29,137.82
河北省,3825.09,3795.89,3739.24,3700.86,3829.25,3782.99,3602.19,3568.98,3584.87,3442.62,3344.98,3120.99,3017.43,2994.99,2897.31,2780.60,2598.58,2480.07,2387.80,2435.76
山西省,1421.25,1424.27,1361.80,1380.40,1355.10,1380.33,1314.02,1387.25,1362.01,1309.40,1225.40,1107.54,954.90,1034.40,1009.33,1024.50,978.00,1062.00,958.87,925.54
内蒙古自治区,3840.30,3664.10,3652.54,3553.28,3254.54,3263.28,3292.58,3112.36,3070.48,2739.83,2573.41,2344.28,2128.91,2100.94,1764.40,1806.84,1662.15,1505.30,1360.73,1406.08
辽宁省,2538.74,2338.83,2429.95,2192.45,2330.74,2315.60,2186.61,1873.17,2353.31,2175.04,2103.86,1803.97,1612.97,1879.37,1843.95,1797.00,1745.80,1720.00,1498.30,1510.40
吉林省,4039.24,3803.17,3877.93,3632.74,4154.00,4150.70,3974.10,3800.06,3763.30,3450.21,3231.79,2790.72,2479.35,2896.41,2437.99,2725.80,2581.21,2510.00,2259.60,2214.80
黑龙江省,7867.72,7540.78,7503.01,7506.80,7410.34,7416.13,7615.78,7403.80,7055.11,6598.60,6212.57,5632.86,4788.87,4627.26,3880.98,3843.50,3092.00,3001.00,2512.30,2941.20
上海市,93.96,91.44,95.89,103.74,99.78,111.78,125.41,127.16,128.65,135.98,136.16,132.12,135.39,122.27,115.33,111.30,105.36,106.29,98.75,130.46
江苏省,3746.10,3729.06,3706.20,3660.28,3610.80,3542.44,3594.71,3523.04,3440.82,3431.55,3357.10,3284.99,3260.87,3192.23,3122.27,3096.03,2834.59,2829.06,2471.85,2907.05
浙江省,620.90,605.70,592.15,599.14,580.14,564.84,583.97,603.61,601.17,648.22,676.41,686.24,723.09,731.54,723.48,769.51,814.70,834.90,793.38,942.27
