数据库：分省年度数据
指标：秋粮产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,24.30,28.79,34.88,44.20,51.51,51.73,77.40,86.33,93.38,87.30,93.77,92.71,81.68,79.16,68.17,49.92,39.60,58.00
天津市,,,162.80,152.56,149.87,141.50,126.42,120.97,121.48,108.90,109.85,107.95,103.64,97.34,96.98,92.00,90.08,84.96,83.38,93.71
河北省,,,2262.70,2234.39,2308.49,2291.20,2109.58,2115.83,2156.34,2069.14,2039.48,1865.89,1768.49,1757.14,1691.97,1577.21,1432.61,1411.07,1352.44,1321.60
山西省,,,1134.10,1150.51,1121.35,1149.91,1081.50,1161.68,1157.40,1074.55,1003.46,889.03,753.65,788.67,791.23,780.77,772.46,821.70,699.58,680.21
内蒙古自治区,,,3652.50,3553.28,3254.54,3263.28,3292.58,3112.36,3070.48,2739.83,2573.41,2344.28,2128.91,2100.94,1764.40,1806.84,1662.15,1505.30,1360.73,1406.08
辽宁省,,,2430.00,2192.45,2330.74,2315.60,2186.61,1873.17,2353.31,2175.04,2103.86,1803.97,1612.97,1879.37,1843.95,1757.69,1707.00,1684.90,1454.00,1465.80
吉林省,,,3877.90,3632.74,4154.00,4150.70,3974.10,3800.06,3763.30,3450.21,3231.79,2790.72,2479.35,2896.41,2437.99,2725.80,2581.21,2510.00,2259.60,2214.80
黑龙江省,,,7503.00,7506.80,7410.34,7416.13,7615.78,7403.80,7055.11,6598.60,6212.57,5632.86,4788.87,4627.26,3880.98,3843.50,3092.00,3001.00,2512.30,2941.20
上海市,,,89.60,89.78,88.13,94.65,98.57,99.78,102.41,104.17,104.24,105.61,103.93,98.11,94.95,95.20,91.46,94.58,88.45,115.65
江苏省,,,2349.60,2333.86,2274.98,2249.24,2290.68,2242.01,2216.18,2228.51,2193.09,2141.47,2137.42,2089.96,2056.91,2078.91,1990.17,2021.82,1742.56,2148.87
浙江省,,,484.30,485.92,462.87,460.91,469.20,488.23,486.98,536.77,559.22,575.71,607.17,625.47,609.51,663.06,692.20,711.70,683.49,780.01
安徽省,,,2296.00,2287.13,2248.66,2200.81,2279.39,2128.20,1960.57,1995.96,1906.52,1845.73,1863.45,1764.25,1671.76,1645.05,1587.00,1750.66,1387.20,1877.50
福建省,,,409.30,409.91,393.79,373.26,387.60,401.49,409.83,416.62,440.47,449.10,463.36,471.05,468.88,473.54,528.38,535.31,516.30,559.10
江西省,,,1504.90,1470.20,1479.63,1463.65,1436.16,1415.53,1368.13,1336.19,1303.84,1272.18,1229.65,1189.29,1150.61,1159.72,1081.90,1015.70,905.50,1003.80
山东省,,,2803.70,2847.28,2878.35,2841.31,2760.64,2712.08,2618.48,2595.71,2552.38,2392.69,2357.74,2314.55,2104.89,2079.67,2116.32,1931.70,1870.24,1745.40
河南省,,,2950.00,3035.21,2808.27,2869.69,2932.52,2738.39,2748.72,2666.65,2580.52,2452.34,2407.29,2363.24,2281.04,2162.05,1972.79,1739.02,1233.07,1920.69
湖北省,,,2183.70,2274.32,2257.02,2180.89,2266.17,2018.66,1951.89,1901.14,1854.50,1722.56,1721.38,1587.42,1534.74,1538.02,1668.02,1630.36,1503.02,1655.05
湖南省,,,2272.10,2216.01,2178.54,2134.52,2146.08,2136.82,2047.36,2168.26,2105.21,2046.49,2060.42,2007.04,1914.49,1869.20,1880.80,1861.20,1759.05,1810.36
广东省,,,688.90,629.64,635.28,630.16,633.71,647.14,616.96,691.29,675.48,660.34,662.95,653.00,679.28,675.21,762.93,711.10,766.40,800.73
广西壮族自治区,,,859.40,881.02,878.65,900.05,906.70,907.97,889.17,876.18,845.15,831.76,876.48,846.68,839.95,855.25,898.40,808.80,851.70,861.70
海南省,,,65.90,60.44,59.14,63.56,67.52,71.77,70.63,81.53,75.19,73.72,84.30,88.45,89.77,84.28,88.33,101.51,117.11,117.07
重庆市,,,955.00,957.24,957.00,955.17,923.61,917.08,922.63,925.07,926.48,941.14,940.34,963.55,909.64,654.60,995.08,977.10,917.80,907.60
四川省,,,3075.60,3074.20,3066.27,3044.65,2952.75,2872.54,2876.22,2799.65,2767.09,2689.11,2620.84,2576.87,2466.60,2279.93,2643.90,2596.30,2518.20,2556.20
贵州省,,,817.40,843.97,1020.23,1049.18,938.62,903.53,828.64,926.36,699.79,913.84,878.26,872.74,839.64,830.58,937.31,936.58,903.80,821.40
云南省,,,1604.70,1596.66,1580.08,1555.68,1533.88,1536.79,1518.16,1459.98,1378.97,1358.12,1295.37,1268.65,1219.08,1210.68,1257.32,1235.76,1187.19,1149.10
西藏自治区,,,103.90,104.40,106.53,103.87,100.63,97.97,96.13,94.89,93.73,91.20,82.22,95.03,93.86,92.37,93.40,96.00,96.60,98.28
陕西省,,,810.80,787.69,752.07,826.67,748.07,763.99,813.01,802.13,777.62,749.21,731.83,689.22,682.16,612.51,606.20,591.00,527.80,565.50
甘肃省,,,835.10,830.45,803.98,814.40,832.65,838.50,841.61,785.73,704.64,640.72,578.19,530.05,494.25,468.93,498.88,468.86,456.03,413.50
青海省,,,105.50,103.06,102.55,104.78,104.04,105.80,103.55,101.71,103.44,102.21,102.88,102.15,89.18,99.70,93.26,88.47,86.80,91.30
宁夏回族自治区,,,337.00,349.23,331.23,331.65,332.14,335.10,325.97,311.83,294.67,284.58,265.56,263.16,260.53,234.79,215.21,202.79,186.47,195.60
新疆维吾尔自治区,,,947.80,930.03,871.64,869.49,1198.67,1115.30,1092.01,943.80,820.03,755.77,671.77,622.38,497.50,482.28,470.14,436.00,417.05,439.64
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
