数据库：分省年度数据
指标：早稻产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
内蒙古自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
吉林省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
黑龙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
浙江省,,,60.30,62.13,52.77,55.29,52.21,56.75,58.59,56.19,59.12,56.52,62.24,56.03,65.81,74.36,79.30,86.90,69.90,114.00
安徽省,,,101.00,112.61,126.37,125.30,136.74,150.99,152.10,153.35,151.89,155.05,169.43,139.19,145.79,148.43,153.10,144.30,120.00,130.00
福建省,,,61.60,67.06,72.75,83.80,91.28,97.18,102.31,107.47,111.17,111.11,118.26,117.23,121.29,128.55,148.49,163.51,157.57,159.50
江西省,,,626.20,693.90,717.07,746.19,778.23,785.90,795.68,784.87,781.32,705.25,786.85,771.41,748.12,729.00,666.00,638.20,533.70,535.00
山东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖北省,,,84.30,97.55,100.87,117.87,155.49,145.78,144.24,146.25,137.28,169.79,177.58,175.77,194.48,192.00,206.87,198.52,162.35,159.68
湖南省,,,661.40,755.50,846.50,873.50,895.17,886.77,888.53,841.59,824.51,779.48,820.96,774.13,743.04,747.60,734.40,716.40,621.25,627.80
广东省,,,488.30,499.99,509.02,510.03,502.01,504.81,505.01,520.31,515.70,502.04,512.48,471.45,497.36,473.96,537.98,586.50,570.40,584.98
广西壮族自治区,,,452.60,470.48,470.15,496.49,498.90,515.89,530.62,524.15,513.53,517.92,542.66,515.68,533.34,554.23,572.00,573.30,598.80,608.50
海南省,,,69.20,77.90,69.99,73.10,76.15,77.75,77.21,74.22,72.57,70.11,69.11,64.39,60.33,63.52,51.36,74.00,72.21,71.52
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.20,0.30,0.30
四川省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,2.20,2.20,2.40,2.50
贵州省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.20,0.10,0.40
云南省,,,21.70,21.90,21.68,21.00,21.07,21.22,21.53,21.49,22.67,22.82,33.68,33.74,32.20,26.31,35.30,37.42,39.27,34.79
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
甘肃省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
新疆维吾尔自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
