数据库：分省年度数据
指标：双季晚稻产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
内蒙古自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
吉林省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
黑龙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.30,3.14,5.11,6.61
江苏省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,1.80,2.02,5.35,2.74
浙江省,,,,62.43,58.50,58.89,57.45,59.21,56.09,65.77,78.14,87.85,92.35,86.10,81.07,105.14,111.89,123.50,111.57,167.56
安徽省,,,,99.22,106.45,110.86,118.28,132.02,132.66,140.42,138.59,139.51,153.17,141.11,141.51,140.53,142.80,147.87,120.10,161.67
福建省,,,,159.27,157.15,148.51,155.15,161.26,166.12,168.64,176.53,179.92,180.61,185.00,187.49,128.93,202.40,145.86,137.60,153.20
江西省,,,,803.90,844.69,842.43,886.77,893.72,892.80,894.56,898.23,915.80,867.53,852.34,822.72,806.30,734.74,675.80,548.67,654.00
山东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖北省,,,,134.21,137.56,147.40,211.80,204.56,198.21,192.61,175.82,222.04,218.34,215.86,235.18,233.90,253.05,251.03,235.56,249.40
湖南省,,,,831.81,961.30,979.76,1003.93,998.81,961.16,981.32,925.93,905.21,931.34,886.26,858.75,884.90,838.00,849.11,811.06,900.55
广东省,,,,532.08,537.33,529.51,538.81,548.48,507.80,576.68,556.95,539.76,531.52,523.52,544.02,541.94,579.01,536.63,600.10,617.78
广西壮族自治区,,,,451.40,452.80,479.05,484.08,498.81,485.54,490.29,456.91,496.39,498.14,491.10,487.14,513.58,528.40,477.60,532.90,532.10
海南省,,,,52.80,53.25,57.57,60.89,64.95,60.46,70.30,64.08,61.91,71.44,75.85,75.31,70.68,56.67,73.16,71.19,67.76
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.30,1.07,0.20
四川省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.50,0.60,0.41,0.70
贵州省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,,0.16,0.10,0.40
云南省,,,,14.40,14.12,14.00,14.06,13.70,12.82,14.52,14.68,14.42,7.49,7.55,6.99,9.01,8.71,9.11,9.78,9.48
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
甘肃省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
新疆维吾尔自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
