数据库：分省年度数据
指标：小麦产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,4.62,4.41,5.26,6.19,8.54,11.12,12.21,18.73,27.45,28.39,28.39,31.00,32.74,20.39,30.01,26.74,20.26,18.41,24.30
天津市,,62.86,60.47,57.13,62.41,58.90,58.06,57.21,55.96,54.66,53.31,52.62,53.49,52.12,50.42,49.90,47.42,37.81,35.91,44.11
河北省,,1439.30,1462.57,1450.73,1504.12,1480.23,1482.79,1444.28,1418.99,1363.88,1296.86,1246.60,1241.80,1229.85,1197.56,1189.70,1150.33,1053.20,1018.83,1099.54
山西省,,236.50,226.21,228.59,232.40,229.15,231.54,224.71,203.89,233.36,220.45,216.89,199.77,244.22,216.30,227.10,202.28,237.12,255.98,243.15
内蒙古自治区,,170.78,182.67,202.29,189.05,187.72,179.15,174.83,184.33,186.26,171.88,174.28,188.39,150.85,171.08,172.20,143.56,110.50,78.96,121.49
辽宁省,,1.66,1.38,1.37,1.26,1.10,1.38,1.61,1.67,2.11,2.62,2.80,3.66,4.27,4.96,3.10,7.90,8.90,6.20,11.50
吉林省,,1.67,1.11,0.04,0.15,0.15,0.14,1.56,0.00,1.26,1.64,1.46,1.13,1.94,1.61,0.30,2.68,3.37,6.00,7.94
黑龙江省,,18.71,20.39,36.18,38.09,28.60,21.50,46.06,38.49,69.41,103.05,91.96,115.81,89.24,68.69,93.00,94.00,83.00,39.70,89.40
上海市,,5.26,5.80,12.98,10.18,13.22,20.71,19.83,18.51,23.11,25.36,20.55,23.98,18.90,15.42,11.34,9.92,7.95,7.39,10.37
江苏省,,1333.87,1317.51,1289.12,1295.47,1245.81,1248.96,1225.47,1162.56,1133.25,1087.77,1059.70,1037.07,1019.33,973.90,901.62,728.52,687.70,608.71,644.45
浙江省,,40.79,32.38,35.79,41.92,28.28,38.68,33.74,30.01,28.91,28.52,25.77,24.00,21.67,18.58,15.73,21.81,19.04,20.84,25.43
安徽省,,1671.73,1656.89,1607.45,1644.47,1635.50,1661.05,1581.11,1460.59,1423.28,1294.50,1242.37,1187.75,1259.17,1179.78,1039.00,808.10,790.10,642.80,683.70
福建省,,0.02,0.03,0.05,0.06,0.06,0.08,0.11,0.14,0.19,0.26,0.41,0.57,0.93,1.19,1.60,1.95,1.92,2.77,6.70
江西省,,3.30,3.04,3.17,3.10,3.04,2.57,2.61,2.58,2.45,2.30,1.99,1.88,1.83,1.94,2.04,2.73,2.93,2.89,4.31
山东省,,2568.85,2552.92,2471.68,2495.11,2490.11,2391.69,2325.57,2264.32,2219.68,2148.23,2108.79,2084.62,2038.84,2007.62,2012.96,1800.53,1584.50,1565.03,1547.06
河南省,,3753.13,3741.77,3602.85,3705.21,3618.62,3526.90,3385.20,3266.33,3223.07,3144.90,3121.00,3092.20,3036.20,2958.31,2936.50,2577.69,2480.93,2292.50,2248.39
湖北省,,400.66,390.68,410.37,426.90,440.74,431.99,431.43,425.29,377.25,349.78,347.05,334.55,331.09,354.23,311.10,208.85,176.30,165.42,151.17
湖南省,,7.77,7.54,8.01,9.61,7.00,10.84,11.78,12.29,9.45,11.05,10.55,6.71,3.31,3.26,2.90,13.40,14.56,16.49,18.34
广东省,,0.14,0.15,0.15,0.15,0.30,0.30,0.30,0.32,0.30,0.30,0.25,0.24,0.24,0.30,0.30,1.85,1.71,1.63,3.20
广西壮族自治区,,0.63,0.48,0.50,0.51,0.53,0.45,0.11,0.15,0.13,0.14,0.42,0.48,0.43,0.56,0.61,1.80,1.90,1.74,1.80
海南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
重庆市,,6.09,6.91,8.15,9.78,11.28,13.25,15.96,20.06,23.89,27.27,31.24,37.74,46.23,52.90,47.60,78.64,78.40,83.80,93.20
四川省,,246.74,246.18,247.30,251.60,259.58,284.55,298.01,311.02,331.45,346.40,355.91,366.16,398.72,432.53,443.60,427.40,415.70,426.20,459.10
贵州省,,33.37,32.98,33.18,41.20,41.82,65.39,65.21,54.62,55.55,53.42,49.09,72.16,70.55,67.95,45.13,73.00,76.80,74.60,87.00
云南省,,69.70,71.90,74.28,73.68,71.52,74.67,71.08,72.13,80.51,94.22,44.69,90.42,82.11,90.39,93.00,106.86,121.67,124.35,134.11
西藏自治区,,17.65,19.19,19.46,21.94,26.88,23.39,23.73,24.07,24.57,24.91,24.28,24.56,25.76,26.48,26.53,25.55,26.06,27.23,27.83
陕西省,,413.25,382.04,401.34,406.41,403.18,423.07,385.54,363.76,416.62,393.75,393.55,374.14,383.84,355.57,390.09,401.20,410.30,395.50,405.30
甘肃省,,268.88,281.10,280.51,269.72,272.11,285.10,278.12,239.57,270.20,251.50,253.52,262.36,261.96,237.78,260.70,264.84,272.32,272.46,312.14
青海省,,37.57,40.29,42.64,33.06,35.04,35.05,34.65,36.30,34.87,34.87,36.77,38.54,41.31,39.54,59.40,39.32,37.11,36.80,45.20
宁夏回族自治区,,27.79,34.61,41.58,37.82,38.00,39.64,40.55,46.32,62.04,62.98,70.33,73.56,64.07,61.60,83.30,79.41,80.42,75.61,96.10
新疆维吾尔自治区,,582.09,576.03,571.89,612.58,681.84,691.52,630.95,630.94,568.31,596.32,596.11,610.86,378.40,338.30,396.23,396.23,352.70,344.10,382.67
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
