数据库：分省年度数据
指标：春小麦产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.02,0.03,0.00,0.04,0.01,0.01,0.01,0.02,0.01,0.05,0.00,0.01,,,,,
天津市,,,,7.28,6.77,5.76,5.57,5.12,4.70,3.42,3.49,3.07,3.44,2.17,2.08,1.04,2.11,1.61,,0.81
河北省,,,,4.64,4.74,4.91,5.09,2.93,2.17,1.09,1.94,1.86,1.53,1.49,1.58,1.06,2.08,1.20,0.47,4.95
山西省,,,,0.00,0.00,0.00,0.15,0.15,0.16,0.22,0.21,0.20,0.20,0.17,0.19,0.18,0.28,0.32,0.55,0.37
内蒙古自治区,,,,202.29,189.05,187.72,179.15,174.83,184.33,186.26,171.88,174.28,188.39,150.85,171.08,172.20,143.56,110.50,78.96,121.49
辽宁省,,,,1.37,1.26,1.10,1.38,1.61,1.67,2.11,2.62,2.80,3.66,4.27,4.96,3.10,7.40,7.90,5.40,10.40
吉林省,,,,0.04,0.15,0.15,0.14,1.56,0.00,1.26,1.64,1.46,1.13,1.94,1.61,0.30,2.68,3.37,6.00,7.94
黑龙江省,,,,36.18,38.09,28.60,21.50,46.06,38.49,69.41,103.05,91.96,115.81,89.24,68.69,93.00,94.00,83.00,39.70,89.40
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
福建省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江西省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,2.13,9.30,0.23,0.14
河南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖北省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
湖南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
广东省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.63,3.20
广西壮族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.80,1.90,1.74,1.80
海南省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
四川省,,,,2.60,2.80,2.89,2.97,3.01,3.05,3.17,3.25,3.29,3.40,3.71,4.15,1.30,,,,
贵州省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.60
云南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,,0.03,0.03,
西藏自治区,,,,5.07,6.36,5.60,4.82,5.16,5.31,6.14,5.74,4.50,5.09,6.46,5.79,5.61,8.43,5.65,5.99,6.98
陕西省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
甘肃省,,,,108.54,95.44,98.84,110.39,100.65,89.00,94.86,112.90,103.46,114.85,106.97,115.29,114.67,122.44,121.90,120.57,135.58
青海省,,,,42.64,33.06,35.04,35.05,34.65,36.30,34.87,34.87,36.77,38.54,41.31,39.54,59.40,39.32,37.11,36.80,45.20
宁夏回族自治区,,,,29.16,28.54,27.40,29.33,30.00,34.27,45.91,46.60,52.05,54.44,47.41,45.58,57.34,65.70,65.71,56.95,38.90
新疆维吾尔自治区,,,,203.69,223.77,260.00,235.14,186.79,200.80,169.65,138.29,157.86,205.82,126.26,86.67,111.38,111.38,124.72,73.56,118.25
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
