数据库：分省年度数据
指标：玉米产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,24.19,22.83,27.14,33.21,42.55,49.45,50.04,75.18,83.58,90.34,84.17,89.76,87.97,76.54,72.91,62.58,43.51,32.20,46.10
天津市,,109.70,115.18,110.55,119.29,118.69,107.82,101.80,102.50,92.73,94.62,92.93,88.87,84.37,85.12,79.70,73.16,68.21,64.81,71.05
河北省,,2051.82,1986.64,1941.15,2035.48,2031.21,1897.74,1898.84,1922.79,1856.20,1823.04,1663.79,1579.40,1532.65,1478.20,1348.80,1193.83,1157.58,1073.57,1034.96
山西省,,979.95,939.37,981.62,977.87,1017.96,974.71,1045.48,1049.45,980.34,914.59,809.45,682.43,701.57,649.10,666.00,616.13,631.87,476.95,435.29
内蒙古自治区,,2742.71,2722.32,2699.95,2497.44,2563.09,2652.23,2503.25,2397.63,2015.97,1858.46,1643.66,1488.28,1442.25,1175.19,1130.00,1066.20,948.00,888.70,821.52
辽宁省,,1793.85,1884.43,1662.79,1789.44,1810.07,1697.12,1385.81,1812.07,1615.66,1511.71,1251.85,1026.06,1240.27,1192.70,1211.51,1135.50,1079.70,907.20,858.00
吉林省,,2973.44,3045.30,2799.88,3250.78,3286.28,3138.77,3004.17,2980.93,2714.99,2392.76,1994.67,1804.22,2129.39,1779.98,2037.10,1800.72,1810.00,1615.30,1540.00
黑龙江省,,3646.61,3939.82,3982.16,3703.11,3912.81,4280.19,3929.14,3734.84,3283.83,2927.62,2513.71,2012.60,1915.51,1590.13,1517.00,1042.90,939.50,830.90,1070.50
上海市,,0.85,1.06,1.25,2.10,2.72,2.66,3.23,3.05,2.95,3.17,3.28,2.60,2.21,2.57,2.68,2.83,2.56,3.15,2.98
江苏省,,308.30,311.07,299.95,318.07,284.44,302.04,284.79,237.31,249.45,244.67,237.90,234.54,220.38,198.21,196.97,174.79,216.56,197.25,261.68
浙江省,,25.91,32.32,20.64,23.04,21.88,23.10,23.10,21.23,23.89,12.37,10.65,10.55,10.41,9.67,9.39,25.93,22.48,21.50,22.32
安徽省,,663.25,642.79,595.61,610.66,634.49,679.04,599.86,526.89,506.74,421.98,355.01,335.13,297.25,258.06,267.70,264.90,320.79,260.60,356.80
福建省,,14.76,13.44,12.56,11.40,10.96,11.57,11.74,11.91,11.93,11.80,11.56,11.86,11.87,11.04,11.10,13.18,12.65,11.62,11.20
江西省,,20.66,19.80,15.65,15.40,15.28,12.44,11.14,10.60,10.32,9.87,8.87,8.32,5.89,5.35,6.09,6.25,4.80,6.27,5.53
山东省,,2595.40,2536.53,2607.16,2662.15,2613.81,2505.40,2400.95,2320.02,2297.50,2226.16,2072.34,2028.25,1978.51,1767.37,1749.32,1735.41,1499.21,1411.02,1316.03
河南省,,2342.37,2247.37,2351.38,2170.14,2216.29,2288.50,2088.89,2116.47,2011.38,1907.22,1795.31,1752.91,1692.43,1620.02,1541.80,1298.00,1049.95,766.31,1189.76
湖北省,,311.54,307.22,323.38,356.75,357.41,393.71,340.89,308.50,316.01,303.19,281.23,258.16,235.02,208.94,203.80,194.91,179.13,167.50,187.41
湖南省,,223.25,220.30,202.82,199.17,200.02,198.87,197.49,192.59,204.43,193.90,172.69,162.67,129.61,116.94,100.20,134.00,126.63,128.55,119.17
广东省,,58.15,55.59,54.54,54.64,55.40,55.33,56.74,62.58,63.47,65.30,61.94,66.66,58.82,56.96,53.67,61.52,56.06,53.13,53.45
广西壮族自治区,,273.33,261.21,273.40,271.64,275.78,277.45,263.68,263.52,248.68,243.15,207.63,224.33,206.67,203.94,198.50,212.00,176.10,159.70,161.00
海南省,,,,,0.00,0.00,0.00,0.00,12.09,11.34,10.30,9.08,7.95,6.96,6.98,6.10,5.39,4.67,6.14,5.07
重庆市,,251.13,249.54,251.33,252.62,252.78,248.86,246.02,249.32,249.61,250.36,246.07,240.32,243.00,232.38,200.50,233.13,227.80,207.00,197.40
四川省,,1064.99,1062.14,1066.30,1068.00,1058.02,992.30,946.75,920.07,833.60,810.28,750.70,701.03,674.77,651.23,553.10,580.80,557.40,517.30,525.10
贵州省,,220.34,232.30,258.96,441.18,456.40,343.62,332.73,316.00,362.88,258.40,366.59,355.75,355.12,343.38,336.71,344.29,333.90,319.90,343.20
云南省,,938.00,920.00,926.00,912.93,892.29,868.11,850.54,788.15,736.10,620.42,622.01,541.86,517.81,509.33,478.00,449.31,425.66,399.93,461.50
西藏自治区,,2.75,2.59,3.36,3.00,2.86,0.84,2.39,2.49,2.62,2.75,2.76,2.55,2.24,1.66,1.70,1.65,1.64,1.62,1.68
陕西省,,620.16,609.58,584.15,551.15,636.21,567.70,567.21,616.79,602.93,585.70,566.02,550.98,498.73,501.57,456.13,459.70,407.00,373.20,374.50
甘肃省,,616.83,594.14,589.99,576.67,591.88,598.09,589.57,585.67,516.81,448.33,415.98,338.74,268.30,244.02,218.60,248.51,245.03,244.43,219.16
青海省,,14.79,14.18,11.53,12.24,13.63,14.45,14.88,13.48,14.27,13.19,9.58,3.95,1.71,0.70,1.40,0.89,1.17,,1.20
宁夏回族自治区,,249.07,230.47,234.62,214.87,220.47,226.88,224.08,206.24,191.18,172.43,165.80,156.38,149.94,146.60,127.10,121.41,117.69,119.93,104.30
新疆维吾尔自治区,,928.43,858.37,827.57,772.62,765.64,1090.23,1001.25,984.96,844.51,703.54,647.97,558.74,510.32,388.38,376.72,376.72,361.46,317.34,332.90
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
