数据库：分省年度数据
指标：高粱产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.12,0.08,0.06,0.06,0.03,0.08,0.09,0.08,0.09,0.09,0.10,0.10,0.17,0.20,0.24,0.16,0.50
天津市,,,,2.18,1.48,0.64,0.15,1.12,0.77,0.14,0.12,0.13,0.06,0.04,0.01,0.03,0.24,0.35,5.49,4.78
河北省,,,,3.81,0.85,0.71,3.94,4.62,4.77,4.02,5.26,4.72,5.29,4.41,5.32,6.45,7.38,7.25,10.71,8.72
山西省,,,,11.53,6.60,5.65,5.13,6.82,6.42,5.76,5.07,5.07,3.90,1.57,8.33,9.93,11.19,12.80,18.60,25.58
内蒙古自治区,,,,67.51,31.50,33.32,33.17,34.96,46.96,46.60,47.90,40.30,23.88,36.04,33.73,41.82,21.70,18.20,29.75,34.52
辽宁省,,,,28.24,24.60,21.48,18.74,18.42,20.45,22.32,27.97,28.58,19.59,28.74,36.73,40.97,62.80,80.10,60.10,83.20
吉林省,,,,75.25,85.75,76.19,79.55,87.02,87.46,53.64,39.45,29.45,23.16,37.71,32.52,52.00,65.99,28.07,61.30,56.47
黑龙江省,,,,28.86,33.93,27.60,12.04,21.79,11.99,13.19,15.01,26.17,20.37,18.61,7.50,24.50,25.80,24.70,39.80,52.30
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,0.20,0.15,0.16,0.16,0.25,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.02,0.01,0.01,0.12,0.02
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.15,0.15,0.14,0.22,0.00,0.25,0.24,0.23,0.23,0.21,0.21,0.27,0.40,1.50,1.23,0.43,2.00
福建省,,,,0.04,0.04,0.04,0.05,0.07,0.09,0.12,0.18,0.25,0.32,0.38,0.46,0.65,1.09,1.19,1.18,1.40
江西省,,,,0.30,0.35,0.35,0.48,0.48,0.55,0.25,0.24,0.25,0.26,0.33,0.34,0.50,0.46,0.43,0.45,0.41
山东省,,,,1.06,1.09,0.84,1.00,1.14,1.09,1.25,1.24,1.30,1.83,2.02,2.17,3.09,4.91,5.78,6.38,6.45
河南省,,,,7.92,3.32,1.50,1.29,0.67,0.29,0.24,0.30,0.37,0.39,0.39,0.36,0.34,1.93,2.50,1.90,2.49
湖北省,,,,1.50,1.78,1.87,1.78,1.84,1.93,2.44,2.73,2.20,1.90,1.50,1.25,1.39,1.06,0.93,1.95,1.25
湖南省,,,,3.64,2.45,2.34,2.31,2.29,1.50,1.25,1.07,0.98,1.38,1.29,1.29,1.80,3.10,3.25,3.45,4.12
广东省,,,,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.04,0.05,0.04,0.03,0.03,0.02,0.06
广西壮族自治区,,,,1.56,1.67,1.88,1.86,1.80,1.81,1.08,0.96,0.88,0.87,0.81,0.71,0.71,0.60,0.30,0.61,0.70
海南省,,,,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.12,0.03,,0.04,0.01,0.00,0.02
重庆市,,,,6.29,6.12,5.92,6.10,6.20,5.95,3.85,3.76,3.39,3.15,3.23,2.36,1.87,8.02,8.00,6.74,5.40
四川省,,,,19.00,17.82,16.43,15.95,16.91,16.55,15.53,14.17,14.23,13.45,12.54,12.74,12.61,17.70,18.60,17.68,18.80
贵州省,,,,17.50,12.51,12.79,23.30,25.00,18.34,17.03,12.32,22.42,16.22,12.10,14.02,4.51,4.10,3.84,3.30,3.20
云南省,,,,0.97,0.98,1.00,1.01,0.94,0.77,0.77,0.75,0.63,0.61,0.66,0.96,0.41,0.50,0.57,0.45,0.38
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,5.88,5.51,5.45,5.01,6.45,5.71,2.84,3.09,3.17,3.00,3.58,3.33,1.45,1.30,1.40,2.00,4.50
甘肃省,,,,3.78,5.34,4.69,3.61,4.38,4.18,2.77,4.31,4.75,6.26,6.40,7.14,7.80,7.53,7.77,7.75,6.97
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.10,0.38,0.10
新疆维吾尔自治区,,,,3.65,1.64,2.39,3.32,6.75,5.00,3.48,2.92,3.71,4.08,2.04,3.19,4.44,5.38,5.08,5.48,8.35
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
