数据库：分省年度数据
指标：其他谷物产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.01,0.01,0.01,0.04,0.02,0.03,0.02,0.03,0.03,0.10,0.06,0.02,0.04,0.10,0.06,0.05,0.20
天津市,,,,0.01,0.09,0.09,0.00,0.00,0.02,0.01,0.01,0.07,0.01,0.00,0.00,0.01,,,,
河北省,,,,33.07,38.67,36.47,18.47,19.06,23.64,16.05,8.69,9.37,9.41,7.73,7.57,2.35,6.32,9.66,11.39,9.61
山西省,,,,23.65,21.08,19.40,14.71,14.52,14.08,11.72,10.73,10.43,9.71,4.01,14.71,13.90,13.37,16.94,17.13,23.46
内蒙古自治区,,,,44.00,51.01,46.86,39.82,28.81,35.40,48.03,37.87,33.51,38.64,48.03,42.22,37.35,25.13,29.30,28.50,33.94
辽宁省,,,,2.59,4.08,3.42,2.84,3.06,2.68,3.66,7.55,4.38,4.79,7.39,7.59,8.57,10.30,15.00,10.30,10.20
吉林省,,,,0.24,0.45,0.34,0.12,0.11,0.00,4.03,3.51,2.99,2.98,2.71,2.02,3.79,5.74,3.96,6.50,5.55
黑龙江省,,,,7.34,7.92,12.56,0.41,0.54,0.35,1.24,2.86,3.80,7.92,29.73,23.65,48.41,33.70,16.70,25.90,46.10
上海市,,,,0.98,1.37,3.63,5.78,6.59,7.24,7.76,5.81,5.29,6.43,4.63,4.24,3.48,3.08,2.85,3.30,3.90
江苏省,,,,25.22,29.93,37.26,44.58,46.10,48.76,53.65,59.02,65.25,67.19,64.33,72.93,91.15,86.84,88.56,91.50,86.63
浙江省,,,,1.91,3.56,3.92,7.26,8.80,9.28,10.03,10.93,11.50,12.57,12.03,12.60,12.56,12.75,10.80,11.36,14.90
安徽省,,,,2.02,0.20,0.15,0.05,0.96,3.74,4.73,5.66,9.94,9.76,9.51,15.59,19.61,60.30,62.92,78.69,62.24
福建省,,,,1.72,1.62,1.60,1.62,0.87,0.75,0.73,0.50,0.70,0.85,0.84,0.69,0.69,1.16,1.11,1.41,3.30
江西省,,,,0.85,0.94,0.92,0.35,0.34,0.41,0.33,0.47,0.32,0.39,0.23,0.27,0.44,0.89,0.73,0.89,1.02
山东省,,,,0.53,0.57,0.59,0.70,0.81,0.51,0.95,0.98,1.30,0.71,0.82,0.53,0.76,2.81,2.41,2.19,2.46
河南省,,,,10.85,11.40,10.60,11.00,10.17,8.88,8.76,8.59,8.55,7.43,6.40,13.59,13.75,28.92,36.40,45.47,37.47
湖北省,,,,3.17,3.41,3.20,3.69,3.79,3.95,4.68,5.21,6.77,7.54,7.91,12.83,14.89,15.84,14.76,15.63,13.22
湖南省,,,,3.06,3.57,3.78,3.11,3.33,3.40,3.55,3.54,3.58,3.65,4.42,4.60,5.80,6.00,6.93,6.93,7.67
广东省,,,,0.75,0.81,1.17,1.14,1.21,1.27,1.42,1.62,2.14,2.86,3.25,3.81,2.55,4.59,4.68,6.03,8.63
广西壮族自治区,,,,3.12,3.13,2.71,2.99,2.67,2.65,3.86,4.06,0.84,0.87,0.81,0.70,0.83,0.90,0.70,0.78,0.90
海南省,,,,0.00,0.01,0.09,0.12,0.06,0.04,0.03,0.01,0.04,0.03,0.06,1.15,0.70,0.04,0.09,0.86,1.00
重庆市,,,,0.90,0.88,0.91,1.04,1.00,1.03,0.82,0.90,1.39,1.56,1.49,1.40,1.19,4.50,4.50,4.56,4.30
四川省,,,,19.70,20.69,20.77,21.63,22.54,23.28,24.82,26.65,28.12,30.26,31.55,33.23,36.59,49.80,51.60,49.86,50.70
贵州省,,,,7.98,6.07,6.78,17.02,14.24,11.22,7.01,6.13,15.44,18.87,20.18,17.71,5.66,6.74,6.81,6.60,7.30
云南省,,,,52.63,51.13,50.99,47.09,45.89,39.42,41.95,39.96,37.38,37.28,36.10,37.86,22.02,56.11,69.50,52.29,38.00
西藏自治区,,,,78.18,76.57,70.97,73.28,68.63,66.33,64.43,62.76,60.87,51.84,63.36,61.48,59.68,61.84,61.28,63.60,64.51
陕西省,,,,19.19,19.29,18.63,16.69,19.30,14.93,17.91,10.82,10.21,6.56,6.34,7.28,3.82,6.00,5.80,7.50,12.40
甘肃省,,,,39.32,32.81,35.31,46.41,38.46,38.91,53.26,62.27,66.15,68.10,97.29,87.35,86.03,76.10,63.99,67.43,54.09
青海省,,,,9.78,19.62,19.19,18.88,19.02,16.12,16.87,14.88,14.03,14.33,14.16,14.92,15.10,8.85,10.41,12.90,9.60
宁夏回族自治区,,,,9.04,8.56,6.00,6.00,5.55,5.23,5.47,5.21,4.48,3.70,2.52,9.50,7.45,3.75,4.33,5.16,7.30
新疆维吾尔自治区,,,,2.31,1.02,2.18,10.46,6.99,8.39,8.20,14.77,15.60,15.98,18.65,24.37,19.20,10.66,7.80,16.28,14.21
注：1.其他谷物不含谷子、高粱。
　　　2.根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
