数据库：分省年度数据
指标：绿豆产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,0.03,0.04,0.10
天津市,,,,0.02,0.02,0.01,0.04,0.04,0.02,0.05,0.04,0.03,0.02,0.01,0.01,0.02,0.04,0.06,0.08,0.10
河北省,,,,1.79,1.07,1.12,0.89,1.03,0.97,1.19,1.31,1.30,1.18,1.63,1.71,1.71,1.67,2.13,2.48,2.62
山西省,,,,4.52,4.67,4.62,3.85,4.05,3.88,3.75,3.48,3.78,3.25,2.99,3.92,3.42,2.18,5.57,5.95,6.70
内蒙古自治区,,,,21.20,17.90,11.65,7.87,7.20,10.52,15.76,13.82,12.59,12.18,27.03,20.65,18.08,22.57,14.10,23.38,23.13
辽宁省,,,,1.05,0.63,0.71,0.54,0.65,0.93,1.08,1.45,1.39,0.58,1.62,1.43,1.48,1.60,1.10,2.50,1.47
吉林省,,,,6.72,15.14,16.24,17.26,12.31,10.81,11.52,22.22,17.32,16.54,12.25,10.00,6.00,15.62,8.09,32.70,31.68
黑龙江省,,,,4.00,5.25,3.47,1.08,2.00,1.95,1.63,2.63,2.90,3.89,4.03,4.17,4.84,5.80,2.40,2.30,4.30
上海市,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江苏省,,,,1.01,0.48,0.49,0.90,0.92,0.83,1.07,0.92,0.97,0.94,0.98,1.00,1.29,1.17,1.26,3.56,1.22
浙江省,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.86,0.79,0.68,0.65
安徽省,,,,4.40,2.47,2.45,2.91,3.50,3.63,5.54,2.81,2.09,1.88,1.85,4.39,3.74,5.90,5.71,9.14,6.20
福建省,,,,0.17,0.13,0.12,0.14,0.17,0.20,0.23,0.26,0.28,0.32,0.38,0.40,0.45,6.45,0.72,0.64,0.80
江西省,,,,0.46,0.45,0.44,0.52,0.52,0.54,1.34,0.63,0.92,1.02,1.15,1.26,1.32,1.25,1.30,1.19,1.27
山东省,,,,0.49,0.49,0.48,0.74,1.45,1.43,1.51,1.26,1.12,1.04,0.95,1.15,1.06,1.97,2.18,2.19,2.01
河南省,,,,6.13,3.00,2.10,2.09,2.48,3.53,4.16,4.82,5.03,5.33,6.14,5.55,6.53,10.00,8.87,7.06,11.95
湖北省,,,,0.93,0.61,0.57,1.15,1.11,1.43,2.33,2.90,3.28,3.55,3.11,2.88,3.00,3.99,4.17,5.21,5.49
湖南省,,,,2.41,2.17,2.02,2.28,2.32,2.79,3.51,4.06,4.64,4.72,4.44,4.47,4.40,4.30,4.34,4.42,4.68
广东省,,,,0.30,0.37,0.37,0.38,0.41,0.42,0.48,0.49,0.50,0.52,0.44,0.48,0.45,0.62,0.64,0.71,0.75
广西壮族自治区,,,,2.58,2.43,2.53,2.36,2.35,2.04,2.10,3.05,1.93,2.60,2.34,2.23,2.18,1.80,1.80,1.79,2.00
海南省,,,,0.03,0.04,0.03,0.03,0.06,0.06,0.06,0.03,0.07,0.08,0.06,0.00,,0.07,0.15,0.18,0.25
重庆市,,,,2.24,2.20,2.15,2.23,2.31,2.46,2.57,2.56,2.87,2.89,3.10,3.14,2.51,4.04,3.60,3.19,1.30
四川省,,,,2.40,2.37,2.39,2.41,2.47,2.52,2.54,2.51,2.47,2.43,2.43,2.36,3.36,5.40,5.30,4.26,4.30
贵州省,,,,0.35,0.37,0.38,0.91,0.53,0.45,0.89,0.46,2.13,2.49,1.69,2.07,0.37,0.26,0.29,0.30,0.50
云南省,,,,0.75,0.75,0.75,0.81,0.82,0.71,0.72,0.84,0.95,0.60,0.61,0.42,0.49,0.51,0.58,0.43,0.37
西藏自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,,,0.92,0.92,0.92,0.52,1.07,1.97,2.37,2.69,2.57,2.56,2.87,3.28,2.62,1.80,3.20,3.40,4.20
甘肃省,,,,0.12,0.11,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.08,0.09,0.08,0.02,0.06,0.03,0.05
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
宁夏回族自治区,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.06,
新疆维吾尔自治区,,,,3.13,1.02,0.45,0.42,0.00,0.89,0.13,0.01,3.47,0.85,1.44,1.45,0.78,0.66,0.70,0.58,0.91
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
