数据库：分省年度数据
指标：棉花产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.0007,0.0007,0.0008,0.0002,0.0045,0.0101,0.0107,0.0151,0.0272,0.0515,0.0460,0.0767,0.1357,0.1990,0.2239,0.2069,0.7768,0.3414,0.3497
天津市,0.3964,1.0242,1.8134,1.8264,2.4805,2.1000,2.3508,3.5422,4.5417,5.4432,6.8980,6.0412,6.8908,8.1394,9.2235,9.5000,8.3546,12.0330,9.4653,6.2374
河北省,15.9670,20.8593,22.7401,23.9273,24.0380,23.9000,23.9000,36.9900,38.7500,41.2200,45.2000,42.7400,58.4300,73.2600,72.2900,70.0208,57.7000,66.5369,52.2021,40.1882
山西省,0.0937,0.1560,0.2958,0.3610,0.4014,0.5167,0.8300,1.5700,2.1400,3.0400,3.8700,3.9800,4.9500,6.5400,8.8800,12.9000,10.2907,12.0151,9.1666,7.4679
内蒙古自治区,,0.0084,0.0106,0.0106,0.0001,0.0329,0.0347,0.1516,0.1572,0.4032,0.5206,0.3359,0.3103,0.8395,1.0991,0.2247,0.1765,0.7373,0.5276,0.2579
辽宁省,,0.0004,0.0022,0.0022,0.0000,0.0101,0.0094,0.0087,0.0455,0.0464,0.0570,0.0545,0.0594,0.1175,0.1209,0.2000,0.2685,0.4742,0.3481,0.2983
吉林省,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0794,0.5751,0.7983,1.2088,0.5148,0.1958,0.5243,0.0500,0.2802,0.1715,0.0088,0.0699,0.0412
黑龙江省,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,
上海市,,0.0019,0.0080,0.0103,0.0409,0.1000,0.0472,0.1287,0.4118,0.3967,0.4975,0.3613,0.2670,0.3226,0.2527,0.1999,0.1774,0.1773,0.1100,0.0925
江苏省,0.7879,1.0600,1.5660,2.0600,2.5725,3.6924,4.2500,4.8700,5.5500,7.1600,11.4700,9.7900,14.0700,19.3900,26.1500,35.5197,32.2660,50.2834,29.0981,36.2821
浙江省,0.5566,0.6857,0.8136,0.8119,0.6433,0.8262,0.8400,0.8700,1.0900,1.4500,1.8400,1.6600,1.8200,1.9700,1.9500,2.3936,2.1566,2.2768,2.1027,2.2380
安徽省,2.9122,4.1006,5.5536,8.8509,8.5541,11.0779,23.4000,26.3300,25.1125,29.3973,37.6000,31.6000,38.1796,36.8839,37.4652,35.3430,32.4634,41.2000,24.1000,33.7000
福建省,,0.0041,0.0044,0.0072,0.0001,0.0081,0.0081,0.0085,0.0073,0.0071,0.0073,0.0060,0.0258,0.0395,0.0667,0.0595,0.0044,0.0068,0.0111,0.0059
江西省,1.7182,5.2885,6.5724,7.2115,10.4645,9.9636,11.5221,13.3682,13.0880,15.2203,14.2853,13.0773,12.5104,11.1915,11.3945,11.3945,8.7196,8.4812,7.6148,6.6891
山东省,14.0253,18.2965,19.6026,21.7028,20.7199,32.8956,47.7719,59.1815,53.3127,58.1829,61.2727,72.4100,92.1200,104.0600,100.0900,102.3100,84.6302,109.7709,87.6818,72.2045
河南省,1.3973,1.8000,2.7119,3.7903,4.3585,4.8750,6.7736,8.4429,11.6774,16.9491,27.0398,33.8914,42.0341,56.6554,69.9775,81.0000,67.7000,66.6700,37.6700,76.4800
