数据库：分省年度数据
指标：油料产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,0.52,0.33,0.31,0.42,0.53,0.56,0.57,0.67,0.98,1.34,1.39,1.55,1.81,2.17,2.19,2.17,2.49,2.89,3.30,4.65
天津市,0.31,0.31,0.41,0.63,1.26,1.34,0.36,0.45,0.51,0.50,0.60,0.60,0.51,0.46,0.45,0.50,1.29,1.55,3.08,3.40
河北省,118.36,119.52,119.54,121.38,129.40,126.20,126.01,125.92,132.28,127.25,126.36,129.46,134.90,146.59,135.24,133.78,152.73,154.32,163.10,151.26
山西省,15.46,14.31,13.70,15.47,15.04,15.95,12.19,16.45,18.10,18.28,17.69,16.60,15.52,17.53,16.34,14.69,21.26,28.20,36.37,38.40
内蒙古自治区,213.89,217.25,228.68,201.51,240.69,228.82,206.34,180.72,161.81,142.21,148.95,138.07,122.69,135.13,96.34,101.17,122.17,103.68,102.29,108.91
辽宁省,116.18,99.66,97.67,78.13,81.46,79.40,58.73,57.84,68.33,68.21,71.13,63.69,44.67,62.32,44.89,25.71,36.84,45.93,61.40,56.45
吉林省,85.75,81.41,81.78,87.53,128.48,109.30,92.08,101.14,97.12,91.40,77.14,76.53,53.63,54.03,29.30,48.37,54.45,38.10,57.13,46.12
黑龙江省,13.58,12.34,11.54,11.22,14.26,20.75,18.34,17.15,19.02,22.52,23.27,27.53,28.16,28.48,50.07,35.09,60.59,45.99,44.69,52.81
上海市,0.49,0.72,0.81,0.71,0.76,1.06,1.38,1.46,1.69,1.92,2.03,2.45,3.56,3.73,3.67,5.31,6.94,7.39,6.39,9.85
江苏省,97.81,93.01,94.32,86.04,85.36,88.67,98.04,104.12,111.10,113.58,116.44,127.78,142.31,137.72,138.87,176.47,215.99,238.38,199.45,217.03
浙江省,31.71,32.09,31.93,29.43,26.90,25.98,28.41,27.47,34.80,36.58,39.48,40.56,46.18,44.21,42.13,35.60,50.14,48.77,43.77,46.97
安徽省,167.14,162.47,161.38,158.04,154.66,159.45,227.85,228.80,225.43,227.69,213.75,227.60,240.35,228.03,199.10,210.38,270.67,299.66,231.44,282.32
福建省,23.31,22.73,22.03,21.24,19.55,19.41,20.10,20.49,20.75,21.18,21.72,22.08,22.82,23.12,22.23,23.63,27.42,27.82,26.03,25.86
江西省,130.91,122.70,120.78,120.80,120.64,117.74,123.96,121.71,119.29,117.08,113.59,107.57,102.02,91.19,82.29,82.29,76.12,74.53,75.98,82.42
山东省,285.89,290.95,288.95,310.90,318.30,317.14,318.72,329.60,341.65,341.84,343.74,347.65,349.21,374.66,368.76,328.21,363.86,369.71,361.80,340.37
河南省,657.28,672.57,645.45,631.03,586.95,549.82,538.99,531.41,542.13,530.38,501.69,515.66,514.34,493.48,478.27,460.07,449.60,408.75,309.91,420.68
湖北省,354.14,344.45,313.95,302.48,307.69,305.15,316.71,321.18,315.57,305.13,293.13,302.28,306.83,279.20,252.78,254.45,293.90,314.38,272.72,245.29
湖南省,263.00,260.67,239.20,234.45,226.08,221.22,223.31,216.94,210.04,196.49,205.47,178.11,174.29,140.21,152.76,109.56,140.98,139.61,125.70,119.25
广东省,117.30,113.52,110.22,106.25,101.28,99.35,98.02,94.79,91.89,89.03,85.69,83.34,81.12,79.32,76.65,77.57,77.01,77.51,81.93,76.37
广西壮族自治区,75.86,73.88,71.63,66.66,64.93,62.50,59.40,56.81,53.54,50.95,47.81,44.09,40.89,36.82,35.03,33.60,63.18,58.32,55.70,55.99
海南省,7.46,7.69,8.69,8.44,9.03,9.59,9.95,10.42,9.81,9.44,9.39,9.08,8.72,8.42,6.74,6.14,8.53,9.09,9.62,10.04
重庆市,68.48,67.07,65.19,63.70,62.40,60.85,58.12,55.46,52.00,49.16,45.79,43.81,39.97,35.07,30.58,28.94,42.71,41.75,38.27,35.04
四川省,416.60,392.91,367.35,362.54,357.89,346.18,339.63,332.02,320.18,315.88,306.74,296.08,288.52,276.20,253.62,203.06,232.34,226.25,217.10,201.52
贵州省,94.88,103.40,103.01,112.62,115.52,115.28,114.80,112.89,107.12,103.94,95.32,74.14,98.26,86.81,89.87,68.24,84.89,82.71,72.31,72.48
云南省,63.89,63.09,62.51,60.98,56.26,56.34,55.41,64.68,52.92,62.84,59.03,31.73,47.30,38.83,21.63,24.70,36.22,33.41,29.70,27.54
西藏自治区,4.58,5.08,5.71,5.85,5.94,6.21,6.41,6.38,6.38,6.33,6.35,8.86,5.79,6.03,5.23,5.46,6.13,5.40,4.95,4.53
陕西省,58.33,59.11,60.10,60.96,59.75,57.28,56.91,56.22,55.18,56.98,55.94,53.61,52.74,48.39,38.92,41.36,45.35,46.06,41.33,41.08
