数据库：分省年度数据
指标：花生产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.28,0.25,0.32,0.41,0.44,0.52,0.61,0.91,1.24,1.32,1.50,1.77,2.13,2.17,2.14,2.46,2.86,3.26,4.58
天津市,,0.28,0.36,0.53,0.53,0.43,0.27,0.31,0.41,0.39,0.45,0.45,0.31,0.27,0.27,0.30,0.80,0.85,1.04,1.02
河北省,,96.81,96.46,98.45,103.41,102.68,102.81,105.46,113.99,111.50,113.74,118.33,121.28,131.33,128.00,121.87,140.33,137.85,148.14,140.45
山西省,,1.32,1.35,1.34,1.30,1.26,1.01,1.40,1.58,1.76,1.82,1.73,1.76,1.85,2.04,1.80,2.86,3.53,3.90,3.80
内蒙古自治区,,15.87,10.82,7.73,5.93,5.57,3.37,4.12,3.27,2.67,2.80,2.56,2.65,3.73,2.46,2.40,1.45,2.52,2.37,1.31
辽宁省,,98.74,96.44,76.82,80.02,75.93,55.43,55.36,65.09,65.11,67.53,60.55,42.30,59.11,42.20,24.50,33.01,41.91,54.84,50.79
吉林省,,78.30,76.94,80.28,109.27,86.84,70.78,67.36,67.08,54.65,41.07,41.19,33.01,36.87,22.58,29.67,28.67,20.34,27.45,18.65
黑龙江省,,8.73,6.69,5.14,4.97,4.69,5.21,5.16,7.16,7.04,5.69,4.93,5.87,6.12,5.52,5.80,4.83,3.03,4.05,3.45
上海市,,0.07,0.16,0.16,0.28,0.29,0.29,0.29,0.27,0.26,0.26,0.29,0.31,0.31,0.33,0.38,0.40,0.41,0.43,0.48
江苏省,,40.63,42.71,39.33,34.78,35.24,33.81,33.71,34.29,35.15,36.26,37.09,38.20,35.29,33.70,45.51,55.46,69.12,51.57,83.71
浙江省,,5.18,5.03,4.74,5.10,5.01,5.08,3.86,5.02,5.19,5.23,5.27,5.31,5.16,5.11,3.35,4.85,4.68,4.61,4.49
安徽省,,72.33,70.56,71.05,68.76,68.71,94.43,94.35,88.66,86.86,84.34,86.40,75.09,77.86,61.81,69.37,79.29,95.37,69.44,112.97
福建省,,21.68,21.04,20.32,18.73,18.60,19.24,19.55,19.75,20.14,20.62,20.99,21.57,21.94,20.97,22.15,25.47,25.88,24.25,24.05
江西省,,50.90,48.22,48.06,46.77,45.61,46.41,45.65,45.20,44.81,43.75,40.80,38.20,36.79,36.88,36.88,31.66,31.80,36.83,40.79
山东省,,286.64,284.76,306.67,313.53,312.13,313.38,323.94,336.44,338.23,340.20,343.27,345.01,371.15,365.44,325.26,359.90,365.30,355.63,333.85
河南省,,594.93,576.72,572.44,529.81,494.27,477.12,466.09,469.19,453.73,428.78,429.64,416.27,388.15,375.11,353.10,338.30,306.31,228.24,336.19
湖北省,,87.10,85.71,80.67,78.37,77.98,73.21,73.83,72.21,78.16,71.67,66.64,64.21,50.24,49.01,48.40,60.19,63.19,68.37,72.25
湖南省,,29.90,29.28,28.49,27.59,26.82,27.07,26.54,25.79,25.51,29.93,21.37,23.71,22.15,33.46,17.13,31.69,31.45,30.51,31.18
广东省,,112.05,108.69,104.40,98.42,95.48,94.48,91.77,89.17,86.66,83.72,81.59,79.58,77.93,75.45,76.54,75.86,76.47,80.73,75.19
广西壮族自治区,,69.23,67.20,62.67,60.80,58.40,55.23,52.94,50.27,47.97,45.03,41.72,38.58,34.65,33.06,31.80,55.13,51.45,48.14,48.09
海南省,,7.59,8.57,8.31,8.92,9.48,9.82,10.27,9.64,9.27,9.23,8.84,8.49,8.09,6.46,6.03,8.35,8.80,9.28,9.72
重庆市,,14.09,13.68,13.58,13.42,13.03,12.57,12.19,12.14,11.72,10.41,9.26,8.39,7.75,6.40,4.56,9.71,9.62,8.60,8.35
四川省,,73.78,68.37,67.67,65.99,64.78,64.09,63.13,62.19,60.74,60.56,59.92,58.79,57.97,54.54,43.49,62.00,59.82,59.89,55.44
贵州省,,11.74,11.62,11.46,11.27,10.85,10.72,10.58,9.59,9.73,8.01,10.82,10.99,10.32,8.42,4.12,7.34,7.91,7.48,7.47
云南省,,7.61,6.76,6.96,6.24,6.30,6.44,8.15,7.99,7.49,6.16,7.01,6.58,6.35,2.12,4.07,5.75,5.59,5.34,5.37
西藏自治区,,0.02,0.02,0.03,0.02,0.04,0.03,0.03,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.00,
陕西省,,12.39,12.30,12.60,12.46,12.29,11.33,11.60,10.63,10.82,10.10,9.51,10.22,8.49,7.07,7.11,7.58,7.18,6.90,7.01
甘肃省,,0.19,0.21,0.22,0.21,0.22,0.25,0.25,0.27,0.26,0.21,0.13,0.14,0.20,0.11,0.15,0.18,0.22,0.23,0.21
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
宁夏回族自治区,,0.01,0.01,0.03,0.02,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.04,0.00,0.00,,0.02,0.00,
新疆维吾尔自治区,,0.90,1.03,2.73,1.87,2.66,1.72,1.56,2.65,2.14,1.33,1.74,1.80,1.32,0.82,0.80,0.64,0.67,0.44,0.88
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
