数据库：分省年度数据
指标：芝麻产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
天津市,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.04,0.07,0.10,0.10
河北省,,0.26,0.20,0.22,0.20,0.20,0.29,0.29,0.35,0.41,0.53,0.59,0.68,0.83,0.97,1.32,1.46,1.50,1.64,1.64
山西省,,0.19,0.16,0.19,0.15,0.16,0.18,0.21,0.27,0.27,0.40,0.36,0.34,0.34,0.30,0.43,0.43,0.75,0.82,1.06
内蒙古自治区,,0.08,0.10,0.08,0.18,0.12,0.07,0.07,0.09,0.09,0.10,0.08,0.07,0.26,0.56,0.91,0.86,1.29,0.91,0.84
辽宁省,,0.01,0.02,0.08,0.06,0.01,0.01,0.01,0.04,0.11,0.14,0.13,0.06,0.13,0.16,0.20,0.60,0.73,1.01,1.41
吉林省,,0.16,0.20,0.14,0.02,0.08,0.09,0.13,0.15,0.37,0.46,0.52,0.42,0.88,0.56,2.55,3.53,3.33,7.03,6.52
黑龙江省,,0.01,0.09,0.08,0.01,0.08,0.05,0.12,0.09,0.09,0.07,0.05,0.24,0.38,0.56,0.70,0.79,0.74,1.06,0.77
上海市,,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,,,,0.09
江苏省,,1.14,1.09,0.98,0.77,0.81,0.91,0.97,1.10,1.18,1.26,1.37,1.50,1.65,1.64,1.82,1.83,1.87,1.91,2.42
浙江省,,0.88,1.01,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.61,0.56,0.55
安徽省,,1.99,1.72,1.13,0.71,0.77,7.08,6.66,6.50,6.47,6.24,6.61,6.62,7.34,7.00,10.69,8.96,13.69,8.83,16.92
福建省,,0.04,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.08,0.10,0.11,0.11,0.12,0.12,0.11,0.13,0.11
江西省,,3.89,3.61,3.66,3.29,3.22,3.60,3.70,3.65,3.45,3.17,2.84,2.76,2.64,2.71,2.71,2.53,2.30,2.46,3.08
山东省,,0.15,0.11,0.08,0.07,0.10,0.10,0.09,0.09,0.11,0.11,0.10,0.14,0.20,0.22,0.21,0.24,0.31,0.40,0.44
河南省,,18.44,19.92,18.81,14.07,13.55,14.59,14.81,16.48,17.61,17.03,17.57,21.23,19.35,20.82,25.80,22.08,22.71,10.97,27.64
湖北省,,13.06,12.92,11.42,10.55,9.51,10.78,11.15,10.79,11.78,12.37,12.20,12.87,11.88,11.71,13.52,13.67,15.38,16.28,20.77
湖南省,,1.63,1.57,1.50,1.43,1.50,1.41,1.41,1.25,1.44,1.32,1.19,1.12,0.92,1.07,1.34,0.96,1.04,1.06,1.09
广东省,,0.62,0.60,0.61,0.53,0.52,0.47,0.37,0.31,0.25,0.23,0.20,0.20,0.19,0.20,0.14,0.16,0.16,0.19,0.22
广西壮族自治区,,1.14,1.17,1.18,1.67,1.64,1.47,1.33,1.15,1.01,0.90,0.80,0.70,0.62,0.56,0.50,0.46,0.45,0.47,0.53
海南省,,0.10,0.12,0.13,0.11,0.12,0.14,0.15,0.16,0.17,0.16,0.24,0.23,0.34,0.28,0.20,0.18,0.29,0.33,0.32
重庆市,,0.46,0.48,0.44,0.99,0.99,0.97,0.98,0.96,0.67,0.84,0.80,0.80,0.74,0.68,0.50,0.69,0.66,0.59,0.50
四川省,,0.28,0.26,0.24,0.19,0.22,0.19,0.20,0.20,0.20,0.22,0.23,0.22,0.24,0.26,0.46,0.60,0.53,0.48,0.46
贵州省,,0.07,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02
云南省,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
西藏自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,,1.07,1.22,1.09,1.52,1.44,1.50,0.00,0.00,0.00,0.00,0.00,1.96,1.65,1.45,1.53,1.68,1.82,1.88,1.94
甘肃省,,0.00,,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
宁夏回族自治区,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.00,0.00,,,,
新疆维吾尔自治区,,0.02,0.02,0.04,0.01,0.04,0.91,0.89,0.12,0.77,0.06,0.15,1.16,0.76,0.08,0.05,0.02,0.02,0.11,0.03
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
