数据库：分省年度数据
指标：糖料产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
天津市,,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
河北省,39.60,63.70,64.28,94.11,62.49,60.44,60.57,54.79,56.92,51.05,42.79,48.98,30.73,59.38,53.08,56.82,42.66,20.99,22.03,14.73
山西省,0.42,0.20,0.06,0.12,0.64,3.24,5.48,6.51,20.50,40.72,20.46,25.12,15.39,24.02,21.32,10.80,3.96,4.80,11.36,18.45
内蒙古自治区,362.09,620.70,629.65,515.88,344.34,268.36,200.49,143.94,161.26,149.41,141.42,145.07,103.70,192.77,171.49,105.50,138.28,96.34,99.44,195.02
辽宁省,1.26,9.10,14.58,11.81,10.70,9.35,5.18,10.08,17.07,9.73,7.74,4.89,6.08,7.33,5.05,3.00,6.29,2.74,3.41,39.76
吉林省,1.29,4.20,2.92,2.52,2.59,0.88,0.85,4.35,4.45,15.75,12.83,6.41,5.75,22.07,4.77,3.80,7.35,3.55,7.02,76.18
黑龙江省,16.03,14.10,41.64,52.95,37.37,11.39,7.29,41.06,123.17,273.12,274.98,175.00,110.00,260.00,237.23,107.00,155.00,96.00,71.39,437.56
上海市,0.09,0.20,0.39,0.24,0.21,0.31,0.31,0.34,0.42,0.67,0.77,2.08,1.32,0.87,0.97,8.83,14.51,13.53,13.13,8.70
江苏省,6.56,7.10,7.45,5.28,4.86,4.92,5.54,6.22,6.26,6.79,7.09,8.08,9.71,7.75,6.21,7.89,22.23,29.17,34.40,34.68
浙江省,42.37,46.40,44.68,40.59,37.50,40.98,42.77,44.96,47.77,54.67,57.78,62.92,71.83,78.64,83.46,55.55,89.97,106.29,123.93,113.44
安徽省,9.92,11.10,10.90,10.10,11.21,11.21,20.32,19.67,20.21,20.61,21.64,22.37,21.80,29.52,23.74,24.27,21.32,25.00,26.10,31.37
福建省,28.79,27.00,26.25,26.13,26.37,28.83,34.79,43.49,49.21,48.60,49.39,55.69,61.09,67.45,54.96,58.10,93.33,101.57,118.12,117.91
江西省,60.68,61.20,62.44,64.57,67.28,66.71,65.82,64.52,64.60,61.58,62.85,59.10,62.20,64.21,70.13,52.13,78.31,85.72,118.25,130.85
山东省,,,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.09,0.17,0.01,0.02,,0.00,0.04,0.18
河南省,9.83,10.70,11.93,15.39,16.24,16.67,17.88,20.74,22.28,21.89,22.49,22.78,25.51,19.37,16.04,15.10,25.20,22.35,21.19,27.91
湖北省,27.17,28.20,27.90,27.77,26.99,26.98,23.81,23.37,22.81,25.51,27.55,28.37,31.19,24.78,14.42,16.20,42.90,46.27,75.97,91.91
湖南省,34.98,34.90,34.17,33.81,33.23,31.28,34.23,36.77,40.15,47.68,50.18,27.32,62.82,65.30,111.41,63.12,100.40,110.76,142.30,180.38
广东省,1306.60,1366.80,1434.65,1412.69,1343.47,1293.87,1285.49,1347.12,1405.52,1347.37,1291.02,1224.73,1199.31,1163.00,1162.32,1114.91,1114.25,1110.37,1134.08,1315.47
广西壮族自治区,7365.11,7412.50,7490.65,7292.76,7132.35,6991.45,7078.19,7549.33,7743.53,7530.03,7037.33,6936.77,7364.32,8109.40,7140.87,6376.40,5154.69,5003.87,4861.84,4593.38
海南省,94.39,105.80,114.55,132.53,133.10,171.18,243.88,368.39,389.04,373.71,358.53,358.83,454.21,500.64,398.66,268.00,278.90,417.90,402.08,374.79
重庆市,8.28,8.20,8.05,9.09,8.79,8.91,9.05,9.62,10.30,11.29,11.31,11.29,11.28,11.00,11.17,10.16,11.46,11.77,11.35,12.06
四川省,38.65,37.90,37.24,36.37,34.92,35.74,41.94,43.42,44.81,48.86,62.79,78.19,78.65,98.59,109.34,99.83,133.15,146.32,170.82,171.51
贵州省,53.66,61.50,62.82,62.52,50.31,71.62,95.85,108.95,108.85,92.59,33.40,42.18,54.68,64.42,63.48,63.91,67.80,65.78,75.75,74.00
云南省,1583.89,1597.20,1569.69,1640.08,1516.15,1523.77,1706.93,1892.08,1950.67,1883.07,1773.51,1657.93,1690.75,1847.74,1912.53,1470.60,1415.89,1688.80,1695.24,1733.66
西藏自治区,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,0.29,0.80,0.13,0.13,2.72,2.57,0.15,0.15,0.16,0.17,0.00,0.00,0.01,0.02,0.02,5.21,0.30,0.67,0.80,3.10
甘肃省,15.88,22.40,26.51,25.20,26.69,19.19,18.26,29.61,27.33,26.86,19.43,23.31,21.32,20.67,28.20,19.02,14.54,15.87,19.95,28.85
青海省,,,0.04,0.04,0.03,0.06,0.03,0.10,0.02,0.00,0.01,0.04,0.06,0.00,0.69,0.33,0.04,,,
宁夏回族自治区,0.07,,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.01,0.05,0.31,0.68,0.06,,,
新疆维吾尔自治区,346.54,462.20,445.33,424.73,448.27,476.11,210.12,219.15,217.70,310.06,275.80,275.84,253.09,266.82,380.49,442.80,419.12,344.21,381.65,466.81
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
