数据库：分省年度数据
指标：黄红麻产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.03
河北省,,,,0.00,0.00,0.00,0.05,0.06,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.08,0.08,0.08,0.58,1.01
山西省,,0.18,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
内蒙古自治区,,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
辽宁省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.01
吉林省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
黑龙江省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
上海市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
江苏省,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.01,0.01,0.06,0.05,0.10,0.10
浙江省,,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.05,0.08,0.11,0.12,0.09,0.10,0.14,0.16
安徽省,,0.26,0.22,0.12,0.10,0.10,1.30,1.26,1.30,1.59,1.40,1.24,1.18,1.85,3.00,2.15,1.94,1.82,1.56,3.33
福建省,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.03,0.04
江西省,,0.00,0.01,0.01,0.02,0.06,0.06,0.06,0.07,0.08,0.10,0.11,0.09,0.14,0.10,0.10,0.15,0.18,0.16,0.29
山东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.09,0.13,0.18,0.57,0.61,0.58
河南省,,0.66,1.94,2.03,2.22,2.59,2.68,2.87,3.65,3.67,4.35,3.84,4.56,4.37,4.68,4.07,3.69,3.48,3.08,5.22
湖北省,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.06,0.13,0.21,0.21,0.26,0.34,0.57,1.24,2.43
湖南省,,0.03,0.03,0.03,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.07,0.04,0.06,0.06,0.06,0.06,0.07,0.38,0.42
广东省,,0.02,0.02,0.02,0.02,0.00,0.02,0.03,0.04,0.03,0.04,0.05,0.06,0.10,0.10,0.12,0.14,0.17,0.20,0.22
广西壮族自治区,,0.65,0.64,0.61,0.47,0.48,0.49,0.59,0.37,0.65,0.79,0.84,0.70,0.89,1.01,1.08,0.96,0.97,1.02,1.12
海南省,,,0.00,0.00,0.00,0.05,0.06,0.06,0.10,0.10,0.10,0.10,0.10,0.10,0.08,0.09,0.09,0.12,0.12,0.10
重庆市,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.04
四川省,,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.09,0.12,0.35,0.42,0.47,0.72,0.79
贵州省,,0.06,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02
云南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
西藏自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
陕西省,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,0.00,0.00
甘肃省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
宁夏回族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
新疆维吾尔自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
