数据库：分省年度数据
指标：甜菜产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
河北省,,63.68,64.28,94.11,62.49,60.44,60.57,54.79,56.92,51.05,42.79,48.98,30.73,59.38,53.08,56.82,42.66,20.99,22.03,14.73
山西省,,0.16,0.06,0.12,0.64,3.24,5.48,6.51,20.50,40.72,20.46,25.12,15.39,24.02,21.32,10.80,3.96,4.80,11.36,18.45
内蒙古自治区,,620.22,629.65,515.88,344.34,268.36,200.49,143.94,161.26,149.41,141.42,145.07,103.70,192.77,171.49,105.50,138.28,96.34,99.44,195.02
辽宁省,,9.15,14.58,11.81,10.70,9.35,5.18,10.08,17.07,9.73,7.74,4.89,6.08,7.33,5.05,3.00,6.29,2.74,3.41,39.76
吉林省,,4.15,2.92,2.52,2.59,0.88,0.85,4.35,4.45,15.75,12.83,6.41,5.75,22.07,4.77,3.80,7.35,3.55,7.02,76.18
黑龙江省,,14.07,41.64,52.95,37.37,11.39,7.29,41.06,123.17,273.12,274.98,175.00,110.00,260.00,237.23,107.00,155.00,96.00,71.39,437.56
上海市,,,,0.00,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
江苏省,,1.93,2.02,0.02,0.02,0.02,0.07,0.01,0.03,0.04,0.00,0.10,0.03,0.00,0.00,,0.03,0.28,0.75,0.78
浙江省,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
安徽省,,,,0.00,5.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,,,,0.06,0.34
福建省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
江西省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
山东省,,0.01,,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.02,0.09,0.17,0.01,0.02,,0.00,0.04,0.18
河南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
湖北省,,,,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
湖南省,,,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
广东省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
广西壮族自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
海南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
重庆市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
四川省,,0.06,0.06,0.19,0.18,0.18,0.15,0.13,0.11,0.10,0.08,0.06,0.05,0.06,0.06,0.22,0.27,0.21,0.29,0.30
贵州省,,0.28,0.02,0.00,0.00,0.14,0.29,0.16,0.10,0.34,0.20,0.18,0.11,0.07,0.07,0.03,0.04,0.02,0.01,0.01
云南省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.13,0.14,0.33,0.39,0.32,0.28,0.30
西藏自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,,0.03,0.03,0.03,0.04,0.03,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.02,0.02,0.40,0.08,0.38,0.48,2.70
甘肃省,,22.42,26.51,25.20,26.69,19.19,18.26,29.61,27.33,26.86,19.43,23.31,21.32,20.67,28.20,19.02,14.54,15.87,19.95,28.85
青海省,,,0.04,0.04,0.03,0.06,0.03,0.10,0.02,0.00,0.01,0.04,0.06,0.00,0.69,0.33,0.04,,,
宁夏回族自治区,,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.01,0.05,0.31,0.68,0.06,,0.02,
新疆维吾尔自治区,,462.23,445.33,424.73,448.27,476.11,210.12,219.15,217.70,310.06,275.80,275.84,253.09,266.82,380.49,442.80,419.12,344.21,381.65,466.81
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
