数据库：分省年度数据
指标：烤烟产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
天津市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
河北省,,0.12,0.22,0.32,0.22,0.23,0.28,0.44,0.37,0.35,0.35,0.32,0.36,0.34,0.23,0.23,0.49,0.51,0.44,0.53
山西省,,0.41,0.35,0.35,0.52,0.61,0.63,0.74,0.70,0.73,0.70,0.74,0.74,0.69,0.68,0.70,0.61,0.62,0.61,0.77
内蒙古自治区,,0.44,0.42,0.41,0.53,0.80,1.03,0.95,1.11,1.22,1.27,1.23,0.96,1.07,0.97,1.92,1.52,0.94,1.39,0.87
辽宁省,,1.33,1.24,1.49,2.49,2.90,2.42,2.94,3.12,2.96,2.67,2.31,2.84,2.91,2.16,2.42,3.17,2.42,2.29,2.60
吉林省,,0.94,1.24,1.54,0.78,1.09,1.02,1.44,1.67,1.95,1.99,2.24,2.68,2.34,0.91,1.50,2.50,2.25,1.94,1.85
黑龙江省,,2.71,2.51,3.31,4.58,4.93,6.25,7.85,8.13,8.82,7.75,8.49,7.32,7.80,6.85,5.60,7.35,5.60,4.50,6.27
上海市,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
江苏省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,,,,
浙江省,,0.03,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
安徽省,,2.02,1.78,1.97,2.05,1.94,4.17,4.27,4.22,3.50,3.02,2.91,2.89,2.40,2.43,2.32,2.47,2.72,2.11,3.13
福建省,,10.03,10.52,10.68,11.62,11.80,12.04,13.16,14.08,13.09,12.90,11.52,13.64,13.32,12.17,12.20,11.51,11.31,10.13,10.72
江西省,,2.61,2.19,3.42,5.41,6.20,5.34,5.75,4.76,5.03,4.45,3.62,4.14,4.67,3.00,3.00,1.98,1.54,1.55,1.72
山东省,,4.68,4.23,4.63,5.70,6.48,6.17,6.88,10.80,10.06,8.48,6.41,11.25,9.45,8.26,8.34,7.34,8.03,9.39,8.30
河南省,,20.82,22.10,24.95,26.37,27.61,23.34,29.67,34.65,30.68,29.24,28.74,29.73,26.72,23.54,22.46,28.06,25.52,21.74,27.25
湖北省,,5.34,5.23,5.57,6.18,7.31,6.30,6.04,8.12,8.69,8.64,7.17,10.20,8.35,5.82,4.85,7.88,6.56,6.27,7.22
湖南省,,18.34,18.36,18.82,20.46,21.06,20.67,21.30,23.67,22.73,22.59,15.45,20.59,18.42,18.46,15.58,20.39,17.95,17.66,17.45
广东省,,3.57,3.60,3.75,3.74,3.75,3.95,4.05,4.25,4.48,4.45,4.44,4.43,4.16,3.66,3.42,5.06,5.04,4.79,4.94
广西壮族自治区,,1.53,1.26,1.43,2.10,1.94,2.01,2.59,2.96,2.59,2.12,1.97,3.06,2.37,2.13,2.00,1.97,1.56,1.48,1.11
海南省,,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.21,,0.00,0.01,0.01,0.10
重庆市,,4.01,4.66,5.20,5.89,7.27,7.38,7.09,8.24,7.61,7.59,6.39,8.23,6.90,4.86,7.26,7.17,6.45,6.84,6.44
四川省,,14.62,13.70,13.97,16.56,18.02,18.03,17.94,20.02,21.28,18.79,18.01,19.52,17.07,14.44,15.39,13.23,9.38,8.23,8.85
贵州省,,21.14,21.58,22.77,24.45,27.46,32.89,35.30,41.75,37.28,32.48,37.00,36.90,37.71,31.22,30.71,34.45,29.98,28.72,30.65
云南省,,81.60,81.00,82.29,83.85,87.89,89.70,95.32,103.85,111.05,101.82,95.40,88.03,83.97,76.68,75.78,77.22,69.24,63.68,66.15
西藏自治区,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,,5.26,5.28,3.36,3.82,4.52,5.06,5.25,6.45,7.19,6.29,5.77,6.47,6.58,5.35,5.99,5.88,5.32,4.88,5.10
甘肃省,,0.51,0.51,0.58,0.44,0.57,0.70,0.55,0.93,0.84,0.79,0.85,0.89,0.75,0.77,3.62,3.14,3.27,2.76,1.40
青海省,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
宁夏回族自治区,,0.08,0.12,0.14,0.09,0.11,0.14,0.13,0.14,0.16,0.17,0.19,0.15,0.20,0.15,0.11,0.08,0.06,0.05,0.02
新疆维吾尔自治区,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.00,0.01,0.09
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
