数据库：分省年度数据
指标：夏收粮食单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,5427.60,5274.94,5451.75,5363.79,5352.89,5176.66,5171.87,5257.87,4882.03,4610.05,5118.20,5124.10,4930.84,4758.21,5011.24,5173.65,5136.57,5115.79
天津市,,,5980.00,5154.29,5737.69,5490.16,5478.85,5297.51,5189.35,4929.28,4827.65,4814.10,4903.35,4872.32,4824.99,4825.92,4796.68,4788.58,4586.21,4599.58
河北省,,,6292.10,6148.57,6335.10,6194.44,6184.47,6000.63,5829.91,5545.17,5317.13,5075.76,5164.09,5048.90,4937.80,4745.96,4827.29,4858.10,4636.78,4468.80
山西省,,,4103.60,4038.85,4099.91,4017.51,3974.65,3794.71,3354.49,3685.28,3321.01,3125.40,2836.98,3546.67,3026.05,3545.94,2753.57,3563.48,3461.49,2958.17
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,,,,,,5444.60,5006.45,4415.09,4137.61,3227.21
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,5747.10,6013.29,4742.55,3725.09,4262.69,4103.78,3934.20,3882.96,3995.69,3783.86,3726.89,4074.96,3878.99,3666.59,3376.24,3600.86,3272.96,3332.58
江苏省,,,5534.90,5302.52,5313.11,5068.63,5135.89,5114.33,4901.20,4850.16,4782.03,4756.55,4767.47,4730.21,4686.84,4611.59,4231.98,4199.98,3731.93,3700.41
浙江省,,,3729.00,3937.11,3974.85,3347.00,3883.10,3756.25,3778.64,3750.10,3746.80,3596.09,3575.01,3545.61,3470.21,3219.30,2990.03,2876.84,2622.98,2529.22
安徽省,,,5842.10,5588.79,5825.01,5663.34,5810.57,5633.18,5185.63,5172.64,4782.36,4691.58,4507.65,5017.97,4769.71,4451.55,3813.97,3818.22,3231.79,3391.79
福建省,,,4329.40,4281.51,4192.09,4121.79,4111.94,4033.55,3972.99,3890.30,3848.24,3684.20,3780.15,3706.18,3662.87,3385.27,3426.04,3391.92,3346.11,3206.33
江西省,,,3747.90,3789.17,3600.57,3595.60,3273.58,3206.21,3018.17,3310.74,2527.67,2208.66,2249.80,2381.45,2128.25,1351.33,1300.00,1287.68,1296.73,1180.89
山东省,,,6378.80,6089.30,6108.41,6120.33,5927.24,5925.19,5909.92,5904.10,5799.80,5779.53,5774.52,5713.06,5670.26,5659.28,5491.15,5338.23,5039.44,4552.65
河南省,,,6549.40,6262.79,6472.35,6331.87,6262.96,6055.48,5907.74,5881.57,5776.14,5805.34,5792.30,5719.15,5642.71,5627.33,5190.05,5104.57,4771.41,4626.88
湖北省,,,3645.10,3538.86,3581.63,3700.10,3686.88,3730.46,3645.58,3352.77,3287.52,3342.64,3263.39,3208.06,3159.45,2964.90,2875.05,2878.73,2649.17,2142.12
湖南省,,,4034.70,4154.41,3572.16,3509.09,3361.63,3217.79,3221.32,3151.64,3053.13,3034.06,2802.83,3155.55,3117.29,2801.50,2610.13,2410.20,2351.77,2261.79
广东省,,,4684.20,4667.45,4663.95,4610.10,4762.88,4763.20,4732.20,4689.90,4666.10,4637.43,4497.91,4371.77,4383.53,4324.47,4259.96,4196.19,4119.72,4065.08
广西壮族自治区,,,1915.90,1985.09,1991.80,2022.33,2270.02,2346.83,2665.72,2549.04,2439.97,2326.44,2213.98,2202.65,2353.37,2175.48,2107.23,2024.69,1970.31,1923.52
海南省,,,4359.80,4258.00,4228.12,4104.13,4026.89,3835.56,3949.14,4043.58,3997.17,3871.41,3784.17,3630.75,3449.73,3322.34,3306.01,3255.30,3202.68,0.00
重庆市,,,3197.70,3170.74,3147.78,3128.33,3175.29,3112.09,3094.92,3100.23,3103.40,3044.77,3045.22,3013.22,2922.15,2835.65,2777.86,2722.68,2568.78,2331.02
四川省,,,3832.30,3768.52,3722.54,3705.16,3682.74,3546.58,3448.15,3443.36,3398.75,3356.87,3249.61,3284.70,3305.47,3205.77,3133.54,3047.76,3009.14,2960.88
贵州省,,,2830.70,2795.43,2838.54,2735.71,3284.21,3215.02,2886.56,2703.22,2555.82,2037.81,2917.08,2804.50,2613.86,2128.90,2026.66,2037.73,1874.47,1967.23
云南省,,,2500.80,2476.61,2447.10,2419.06,2399.40,2325.61,2086.95,1965.03,2089.67,1158.33,1865.14,1857.09,1880.54,1995.57,1869.83,2008.26,2047.35,1977.06
西藏自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
陕西省,,,3806.00,3954.82,3999.40,3908.68,4004.64,3682.09,3416.46,3698.18,3475.54,3406.42,3230.17,3329.44,2957.61,3207.37,3143.50,3388.94,3108.73,2910.33
甘肃省,,,3715.80,3563.45,3465.65,3449.69,3519.58,3374.76,2950.20,3214.33,2949.21,2925.29,2834.05,2979.66,2666.12,2901.51,2778.29,2913.95,2791.21,2828.03
青海省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
宁夏回族自治区,,,3029.90,3028.93,2901.35,3031.09,2904.06,2870.91,2843.55,3148.28,2846.42,2984.85,3034.30,2750.85,2540.43,3309.53,2575.19,2552.91,2027.86,2366.43
新疆维吾尔自治区,,,5419.60,5536.04,5434.86,5603.93,5944.15,5658.10,5846.09,5402.15,5615.65,5431.27,5447.79,4950.10,5259.18,5253.49,5315.57,5103.34,5121.89,5036.44
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
