数据库：分省年度数据
指标：秋粮单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,6345.10,6328.71,6296.95,6351.95,6156.43,5355.45,6307.95,6093.37,6174.64,5392.59,5658.24,5707.60,5231.14,5057.82,4911.38,4328.45,3754.98,4773.66
天津市,,,6835.40,6373.42,6176.59,5555.28,5135.44,5068.80,5372.19,5136.27,5485.62,5342.02,5243.24,5212.79,5169.47,5084.84,4771.19,4603.18,4637.37,4351.32
河北省,,,5488.60,5379.38,5421.55,5227.33,4840.02,4970.34,5187.27,5075.53,5056.53,4701.69,4535.86,4686.65,4499.42,4221.54,3745.51,3710.44,3644.36,3311.27
山西省,,,4410.60,4480.40,4295.05,4333.13,4048.54,4363.38,4391.98,4085.34,3872.90,3540.35,3131.31,3334.49,3489.05,3638.39,3377.41,3650.31,3355.99,3117.83
内蒙古自治区,,,5349.80,5233.23,4799.56,4796.54,5003.95,4871.57,4910.35,4473.86,4304.06,4009.99,3771.83,3967.48,3505.12,3659.96,3800.43,3600.25,3358.61,3237.23
辽宁省,,,6965.20,6292.84,6721.71,6587.83,6065.08,5382.26,6896.33,6474.28,6435.48,5562.86,5125.01,6169.64,5880.96,5824.95,5738.78,5959.61,5515.51,5414.45
吉林省,,,6869.80,6487.36,7492.83,7489.01,7181.12,7021.87,7332.95,7053.84,6780.34,5967.20,5436.14,6358.37,5450.66,6433.93,6010.50,5820.86,5629.65,5485.44
黑龙江省,,,5232.90,5281.07,5235.41,5221.96,5332.03,5300.48,5196.92,4994.31,4841.89,4526.17,3950.61,4032.81,3471.27,3651.53,3574.24,3548.12,3095.99,3547.38
上海市,,,8417.70,8417.72,8116.68,8413.32,8329.00,8318.41,8271.63,8252.58,8118.26,8055.91,7926.20,7852.32,7498.18,7830.24,7323.24,7741.67,7568.89,8071.04
江苏省,,,8017.80,7846.40,7550.28,7418.58,7551.30,7441.72,7445.42,7483.00,7366.68,7215.04,7188.90,7039.13,7042.40,7155.76,6829.33,7087.69,6441.33,7583.35
浙江省,,,6447.00,6488.68,6353.87,6406.02,6352.11,6448.44,6278.24,6687.52,6831.61,6691.09,6635.20,6586.33,6302.84,6499.63,5658.42,6060.89,5964.34,6223.95
安徽省,,,5356.80,5372.23,5240.47,5183.94,5447.73,5110.37,4881.19,4966.88,4670.65,4519.29,4534.70,4431.07,4288.09,4350.75,4123.47,4604.61,3741.50,5240.80
福建省,,,6091.70,6049.86,5917.20,5789.39,5767.16,5793.46,5721.04,5645.96,5621.19,5512.49,5518.35,5484.66,5370.69,5285.40,4996.08,4964.53,4834.04,4803.26
江西省,,,6022.00,6016.71,6070.11,5991.64,5992.76,5985.10,5890.42,5841.04,5783.36,5670.74,5623.56,5544.64,5479.50,5471.39,5183.65,4953.67,4812.09,5052.19
山东省,,,6505.00,6553.18,6587.37,6388.80,6316.31,6232.23,6271.64,6505.40,6525.36,6296.34,6394.54,6456.96,6143.85,6042.72,6166.79,6023.07,5651.45,4967.06
河南省,,,5881.30,5909.71,5427.85,5227.78,5353.56,5129.87,5333.46,5398.19,5392.86,5289.42,5303.09,5338.35,5352.33,5131.58,4781.27,4313.69,3062.27,4769.18
湖北省,,,6798.00,6766.49,6806.93,6717.46,7112.31,6851.11,6915.26,6932.00,6904.74,6629.03,6706.20,6619.96,6416.82,6643.54,6646.37,6739.78,6549.85,6656.41
湖南省,,,6644.90,6544.62,6417.27,6283.23,6330.15,6310.92,6112.46,6480.74,6325.87,6241.38,6323.93,6330.30,6166.19,6116.49,5749.40,5803.74,5690.88,5749.20
广东省,,,5788.30,5358.50,5390.75,5312.98,5355.20,5368.40,5061.53,5570.68,5355.76,5180.86,5097.27,5006.32,5228.37,5151.00,4982.24,4607.66,5025.90,5014.81
广西壮族自治区,,,4584.50,4626.33,4544.51,4597.39,4553.23,4646.81,4510.26,4420.76,4213.15,4227.76,4398.76,4424.63,4358.94,4283.26,3932.24,3469.31,3739.80,3682.01
海南省,,,4859.40,4362.01,4324.23,4582.38,4599.89,4328.03,4091.61,4234.49,3932.46,3622.11,4103.97,4205.42,4469.93,4068.84,3296.00,3745.74,3496.33,3377.67
重庆市,,,5882.20,5862.67,5834.12,5803.67,5702.66,5636.00,5655.96,5612.90,5629.28,5741.12,5731.78,5883.14,5614.80,4057.97,5297.43,5137.39,5069.04,4879.02
四川省,,,5942.20,5966.54,5946.23,5919.39,5805.29,5774.12,5826.61,5730.01,5792.19,5692.07,5605.24,5387.87,5223.79,4903.42,5556.08,5554.06,5461.17,5433.52
贵州省,,,4340.30,4287.40,4494.54,4491.35,4112.08,3973.73,3707.92,4279.91,3243.98,4143.43,4115.57,4185.06,4206.67,4461.09,4653.33,4700.31,4630.12,4116.10
云南省,,,5090.60,5055.36,5027.92,4896.65,4839.58,4833.81,4755.11,4658.99,4448.53,4441.32,4303.96,4330.96,4293.24,4208.72,4185.37,4224.65,4216.97,3986.62
西藏自治区,,,5624.20,5652.78,5738.33,5511.87,5625.24,5553.85,5465.97,5553.67,5508.67,5359.98,4852.92,5569.69,5463.97,5381.30,5256.64,5339.56,5195.78,5039.48
陕西省,,,4279.70,4150.79,3929.53,4081.95,3981.80,4041.79,4228.96,4177.06,4073.50,3907.90,3889.43,3711.24,3811.46,3515.07,3234.16,3266.64,3094.69,3000.00
