数据库：分省年度数据
指标：谷物单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6406.76,6389.94,6361.96,6350.04,6291.75,6171.65,5489.20,6190.42,5991.22,5943.12,5297.09,5675.95,5713.98,5332.88,5138.72,5120.61,4776.97,4455.20,5166.20
天津市,,6572.58,6655.43,6056.42,6090.39,5577.07,5283.67,5214.87,5393.21,5197.63,5402.73,5328.04,5280.44,5217.79,5175.61,5182.37,5149.59,5058.73,5000.89,4816.49
河北省,,5993.58,5826.68,5688.45,5780.48,5616.82,5424.12,5452.68,5538.73,5374.17,5293.79,4984.07,4965.36,5009.49,4867.16,4589.91,4371.32,4357.40,4255.51,4010.56
山西省,,4818.33,4663.19,4768.86,4641.44,4668.10,4421.74,4690.08,4642.80,4457.67,4192.24,3887.68,3473.94,3743.84,3769.19,4133.07,3780.20,4222.04,3817.86,3495.90
内蒙古自治区,,6344.99,6353.87,6232.50,5660.88,5620.77,5817.01,5648.19,5843.09,5390.81,5348.30,5016.21,4822.05,4928.36,4594.36,4786.52,4908.24,4569.17,4488.61,4039.52
辽宁省,,6828.41,7192.05,6437.59,6869.51,6732.55,6138.12,5431.68,7047.72,6619.16,6556.02,5681.50,5317.83,6433.78,6071.84,6024.15,6314.13,6653.39,6042.38,5869.83
吉林省,,7053.31,7257.18,6782.94,7847.95,7806.57,7510.60,7437.73,7793.81,7530.22,7349.06,6466.96,6105.54,7205.21,6137.77,6767.52,6618.53,6358.68,6073.92,5872.46
黑龙江省,,6968.29,6786.28,6543.14,6605.47,6351.23,6182.00,6257.00,6133.22,5981.99,6124.96,5971.56,5471.44,5718.36,5013.21,5283.94,5384.12,5246.55,4633.99,4916.03
上海市,,8033.16,8213.94,8023.02,7562.23,7168.91,7075.25,6986.90,6892.48,6676.18,6688.60,6764.16,6492.44,6882.51,6705.56,6928.65,6503.15,7089.57,6895.46,7044.05
江苏省,,7127.40,7111.00,6892.49,6733.32,6534.29,6644.11,6586.05,6497.13,6500.67,6427.73,6336.23,6343.87,6253.98,6232.99,6298.79,6041.33,6184.45,5566.95,6207.31
浙江省,,6665.19,6679.98,6782.40,6541.72,6582.08,6428.18,6544.40,6424.24,6721.01,6798.35,6629.55,6736.43,6720.86,6405.86,6582.32,5919.82,6313.44,6165.95,6174.83
安徽省,,5926.30,6006.60,5921.14,5922.80,5792.05,6036.44,5849.47,5517.64,5604.56,5281.68,5193.81,5163.03,5376.13,5155.42,5101.68,4723.14,4956.89,4133.93,4972.47
福建省,,6385.99,6368.45,6317.48,6154.34,6031.54,6046.66,6080.01,6039.87,5987.53,5983.49,5843.48,5863.44,5803.84,5659.71,5499.37,5421.06,5428.55,5315.23,5007.34
江西省,,5915.22,6071.10,6049.17,6026.11,6028.12,6052.54,6050.83,5979.55,5897.25,5856.47,5603.77,5827.25,5723.45,5646.45,5560.35,5298.59,5177.39,5023.93,5152.45
山东省,,6632.84,6503.09,6374.54,6391.85,6294.83,6156.83,6118.22,6142.33,6265.79,6210.04,6092.72,6134.84,6139.37,5942.38,5912.28,5908.21,5704.14,5403.18,4864.28
河南省,,6522.02,6404.68,6253.78,6129.96,5995.79,6030.85,5831.88,5851.19,5887.16,5808.23,5815.62,5832.88,5817.82,5759.27,5704.90,5284.85,4980.65,4279.21,4909.65
湖北省,,6329.47,6375.58,6300.49,6269.97,6209.95,6442.57,6238.69,6187.78,6145.72,6095.55,5867.21,5918.40,5810.52,5573.12,5669.19,6040.12,6235.27,5999.60,5886.36
湖南省,,6508.12,6642.83,6555.07,6354.40,6264.48,6313.92,6284.36,6165.07,6327.52,6237.65,6135.85,6281.07,6330.45,6135.41,6049.54,5869.81,5923.17,5802.06,5720.98
广东省,,5910.98,5904.19,5693.39,5712.16,5668.87,5668.33,5664.66,5411.52,5694.94,5569.25,5358.32,5327.46,5103.12,5331.77,5180.54,5171.09,5168.64,5385.18,5352.93
广西壮族自治区,,5428.30,5394.97,5447.21,5327.31,5429.78,5360.69,5420.80,5337.20,5230.61,4986.15,5022.59,5130.20,5018.11,5011.45,4879.86,4679.66,4390.86,4686.59,4671.01
海南省,,5548.72,5507.12,5310.85,4996.02,5156.34,5155.11,5008.30,4799.23,4763.21,4566.39,4292.47,4577.91,4612.13,4509.64,4465.70,3695.54,4356.30,4104.54,3987.00
