数据库：分省年度数据
指标：早稻单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
天津市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
河北省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
山西省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
内蒙古自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
辽宁省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
吉林省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
黑龙江省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上海市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
江苏省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
浙江省,,,6104.30,6398.55,6104.71,6389.61,5806.21,6143.67,6229.69,6037.22,6111.31,5393.64,5908.42,5689.64,5598.35,5577.14,5545.45,5639.20,5403.94,5301.09
安徽省,,,6136.80,6163.66,6094.07,5558.02,5748.88,5694.63,5554.14,5556.96,5355.19,5326.50,5489.72,5293.23,5334.78,5289.36,5212.80,4987.90,4613.61,4709.01
福建省,,,6326.40,6357.11,6136.74,6026.50,6059.62,6020.45,5996.30,6020.39,6014.55,5782.86,5874.30,5747.81,5573.47,5356.70,5461.60,5577.88,5516.96,4876.18
江西省,,,5714.20,5746.11,5605.52,5757.21,5749.29,5736.87,5719.64,5601.73,5571.35,5078.88,5634.48,5531.66,5450.38,5321.94,5185.58,5192.84,4924.34,4817.78
山东省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
河南省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
湖北省,,,5911.00,5929.01,5795.58,5244.86,5964.30,5787.34,5776.56,5937.69,5689.29,5566.93,5829.09,5817.13,5666.52,5607.80,5667.36,5653.59,5447.99,5116.31
湖南省,,,6042.40,6101.60,5845.19,5873.06,5944.50,5881.53,5947.51,5746.50,5774.96,5625.01,5864.98,5924.98,5700.02,5513.68,5545.15,5560.82,5294.76,5126.91
广东省,,,5850.00,5958.01,5964.00,5980.52,5902.52,5857.48,5755.28,5710.47,5683.53,5429.53,5496.68,5092.66,5313.28,5041.06,5200.89,5715.26,5593.25,5568.43
广西壮族自治区,,,5894.00,5951.98,5799.02,5994.99,5954.44,5921.74,5984.17,5861.04,5635.44,5509.32,5596.00,5306.98,5414.18,5262.00,5056.13,5217.04,5353.60,5383.53
海南省,,,6049.00,6137.24,5623.22,5609.14,5602.07,5650.48,5499.05,5326.45,5259.60,5083.50,5078.04,5022.04,4871.38,4905.21,4446.80,4745.72,4538.94,4429.31
重庆市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6451.61,5000.00,6000.00,5454.55
四川省,,,,,,,,,,,,,,,,6331.86,6875.00,6875.00,7339.45,6578.95
贵州省,,,,,,,,,,0.00,0.00,0.00,,,,5482.22,6250.00,6250.00,5000.00,5000.00
云南省,,,5521.60,5593.56,5548.90,5406.24,5313.74,5293.91,5259.93,6313.94,6280.48,6479.85,6427.28,6417.62,6507.53,6572.57,5794.48,6610.14,6694.51,5801.23
西藏自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
陕西省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
甘肃省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
青海省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
宁夏回族自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
新疆维吾尔自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
