数据库：分省年度数据
指标：中稻和一季晚稻单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,6752.67,5992.01,6720.98,6971.44,6943.11,6911.96,6443.91,6534.54,6327.35,6273.50,6727.94,6142.40,6231.88,5750.00,6097.56,6273.29,6444.44
天津市,,,,9376.49,8636.87,7557.12,7378.30,7414.50,7685.90,7657.53,7528.09,7093.10,7018.09,6997.34,6968.64,7320.54,7293.41,8103.87,8071.43,7515.07
河北省,,,,6692.59,6722.31,6712.47,6405.19,6332.78,6767.73,5798.25,7248.80,6804.72,6750.80,6814.30,6783.99,5770.31,5881.82,5659.04,5432.65,5018.91
山西省,,,,6960.00,6810.00,7000.00,6645.00,6885.00,6840.00,5940.00,4530.00,4440.00,4365.00,1230.70,4162.84,4761.90,3358.21,4050.00,3987.14,5677.97
内蒙古自治区,,,,8100.00,6974.98,6415.07,5745.39,5910.18,6495.22,6800.00,7267.44,7092.37,6270.85,7017.30,7246.24,7192.45,7358.51,6736.71,6719.43,6238.44
辽宁省,,,,8559.75,8566.50,8614.52,8582.70,8032.38,7807.92,7673.01,7600.06,6754.24,7705.19,7675.72,7644.57,6826.69,7327.59,7377.80,7019.11,7300.50
吉林省,,,,7696.96,8338.34,8378.70,8272.29,7865.08,7751.07,7587.42,9019.24,8440.98,7646.88,8790.04,7463.80,7424.96,7236.85,7292.45,5882.24,5554.72
黑龙江省,,,,7098.79,7139.57,7040.48,6943.93,7048.59,7021.38,7161.80,7093.93,7254.40,7047.72,7042.01,7234.30,6826.62,6795.73,7116.77,6528.78,5887.24
上海市,,,,8492.47,8221.72,8599.95,8598.03,8544.30,8521.10,8481.30,8378.58,8327.65,8296.62,8223.43,7883.40,8108.84,7591.72,8019.32,7761.00,8076.65
江苏省,,,,8840.98,8457.59,8416.32,8520.23,8416.65,8484.29,8428.94,8290.21,8091.90,8073.00,7936.66,7904.14,8022.83,7725.78,7920.21,7631.84,8631.72
浙江省,,,,7755.90,7590.07,7619.82,7461.91,7554.87,7417.03,7717.93,7661.96,7503.05,7475.01,7376.02,7055.70,7248.17,6480.00,7028.82,6926.87,7279.96
安徽省,,,,6762.61,6459.26,6363.00,6755.21,6485.89,6366.68,6553.80,6540.36,6493.54,6609.65,6601.99,6512.38,6383.20,6129.40,6459.88,4950.06,7032.11
福建省,,,,6546.30,6361.04,6236.49,6251.81,6332.86,6336.10,6284.02,6326.23,6220.94,6320.38,6224.18,6080.10,5865.65,5850.93,5701.84,5544.98,5534.70
江西省,,,,6533.30,6573.02,6529.44,6666.16,6831.82,6628.64,6610.63,6529.14,5707.70,6388.16,6236.01,6210.85,6708.86,6426.92,6066.70,5798.35,6397.54
山东省,,,,8661.00,8280.59,8328.29,8178.53,8253.27,8416.10,8345.98,8347.40,8294.33,8321.29,8448.44,8440.28,8247.03,7996.66,7280.40,6916.18,7040.95
河南省,,,,8081.91,7889.85,8277.10,8110.32,8143.47,7580.61,7604.13,7441.32,7506.27,7380.11,7330.04,7275.79,7081.68,7039.54,7044.23,4774.75,7167.66
湖北省,,,,8523.13,8479.04,8379.06,8794.77,8520.24,8369.38,8579.75,8381.06,8021.67,8180.76,8143.32,7863.44,8221.76,8386.82,8656.87,8329.99,8732.28
湖南省,,,,7379.97,7221.90,6899.16,6982.49,6957.01,6574.46,7244.97,7095.02,6929.99,7035.01,7080.00,6764.97,6762.95,6773.35,6780.68,7643.56,7271.03
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,6961.78,6864.79,6613.58,6490.24,6549.65,6144.87,5882.20,5415.78,5359.56,5833.28,5812.01,5751.01,5638.50,5691.80,5488.27,5564.26,5609.41
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,7417.50,7390.52,7377.39,7364.73,7305.99,7314.30,7259.90,7237.40,7585.10,7496.98,7851.00,7530.01,5130.15,6973.01,6802.08,6626.17,6493.83
四川省,,,,7890.07,7860.00,7830.00,7798.87,7664.99,7785.15,7690.00,7606.42,7545.19,7500.86,7357.86,6974.56,6421.46,7215.07,7366.81,7215.62,7246.34
贵州省,,,,6262.91,6407.30,6384.48,6225.95,5986.99,5375.67,6035.45,4594.35,4586.11,4652.81,4778.57,4669.13,6241.23,6551.96,6657.77,6376.39,4733.52
云南省,,,,6296.09,6151.30,6015.24,5882.37,5892.27,5859.92,5969.49,6259.18,6045.11,6117.75,6101.70,5940.09,5937.60,6208.44,5867.56,6095.84,4995.34
西藏自治区,,,,5592.72,5606.54,5279.97,4787.23,4747.47,5789.47,5567.01,6000.00,6020.41,5200.00,5204.08,5500.00,6020.41,5392.16,5238.10,5544.55,3515.15
陕西省,,,,7656.11,7626.78,7491.04,7479.64,7362.66,7351.28,7082.43,6987.32,6662.01,6582.45,6667.74,6331.31,5890.78,6063.90,5967.08,5412.19,6153.26
甘肃省,,,,6468.92,7216.04,6709.68,6979.87,7514.00,7224.33,7131.90,6578.41,7032.59,6878.31,6871.61,6439.39,7570.62,8058.82,7881.87,7473.90,8769.72
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,8530.96,8490.57,8394.40,8172.05,7922.93,8387.10,8456.93,8429.05,8416.02,8250.13,8267.81,7857.14,8677.92,8569.82,8148.49,7929.78,8730.37
新疆维吾尔自治区,,,,9268.16,8818.96,8626.77,9003.40,8924.74,7653.99,7987.53,8425.45,8759.50,8561.19,8880.40,8730.54,8716.18,7765.27,5887.37,7553.60,7913.55
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
