数据库：分省年度数据
指标：双季晚稻单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,,,,,,,,,,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,7382.55,7566.27,7470.76,10925.62
江苏省,,,,,,,,,,,,,,,,8481.97,7058.82,6894.20,7190.86,6357.31
浙江省,,,,6303.75,6179.96,6357.85,6121.64,6209.94,5692.73,6425.93,6317.70,6254.20,6393.07,6427.11,5758.75,6282.64,6030.00,6301.98,6262.35,6135.26
安徽省,,,,5242.52,5125.59,5140.81,5313.05,5408.81,5231.39,5242.36,5014.32,4925.00,4933.06,4955.85,4880.66,4823.08,4800.00,5056.59,4794.41,5479.10
福建省,,,,6334.95,6203.21,6075.56,6095.57,6122.21,6041.56,5940.38,5894.75,5783.60,5680.41,5715.73,5612.54,5396.67,5334.60,5254.70,5187.17,4886.76
江西省,,,,6095.69,6179.94,6079.24,6118.21,6068.79,6028.71,5973.81,5955.60,6118.92,5888.46,5804.62,5722.61,5515.54,5137.79,4957.20,4891.28,5167.22
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,6983.92,6797.26,6906.35,6830.98,6828.15,6674.52,6575.33,6126.75,6121.23,6026.04,6006.79,5845.97,5821.16,5883.24,5933.11,6288.48,6154.99
湖南省,,,,6406.92,6411.96,6414.98,6461.99,6445.52,6346.50,6420.01,6224.96,6164.99,6300.02,6315.00,6224.99,6233.89,5976.32,6212.85,5784.49,5985.79
广东省,,,,5611.47,5644.56,5554.95,5646.36,5684.05,5221.47,5842.49,5622.01,5432.99,5308.61,5209.20,5471.53,5410.02,5248.46,4822.21,5402.41,5395.79
广西壮族自治区,,,,5461.25,5327.62,5495.28,5414.24,5474.26,5252.16,5205.84,4785.48,5199.93,5125.43,5056.59,4969.23,4944.00,4767.23,4245.33,4800.04,4659.37
海南省,,,,4430.65,4357.67,4680.00,4690.31,4410.05,4201.95,4385.33,3999.55,3648.41,4220.67,4367.88,4358.41,4234.87,3083.24,4091.49,3868.39,3701.32
重庆市,,,,,,,,,,,,,,,,,6060.61,5000.00,5944.44,3448.28
四川省,,,,,,,,,,,,,,,,5299.63,4347.83,4000.00,3965.30,4375.00
贵州省,,,,,,,,,,,,,,,,4934.00,,5925.93,3333.33,5194.81
云南省,,,,4813.71,4813.83,4748.34,4577.78,4444.97,4498.78,5024.97,5224.40,5275.22,5076.33,5078.63,4968.83,5315.63,4793.62,4752.22,4490.36,3904.45
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
