数据库：分省年度数据
指标：小麦单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,5485.30,5367.43,5492.35,5373.93,5352.89,5176.66,5171.87,5257.87,4882.03,4610.05,5118.20,5124.10,4930.84,4758.21,5016.89,5174.97,5143.89,5126.58
天津市,,,5980.00,5154.29,5737.69,5490.16,5478.85,5297.51,5189.35,4929.28,4827.65,4814.10,4903.35,4872.32,4824.99,4825.92,4796.68,4788.58,4586.21,4599.58
河北省,,,6297.40,6154.50,6337.51,6194.09,6193.30,6007.88,5834.57,5550.86,5325.91,5085.18,5179.00,5057.40,4948.23,4750.31,4839.13,4872.56,4646.00,4488.65
山西省,,,4137.00,4080.00,4146.00,4062.92,4020.68,3840.59,3405.65,3765.75,3390.89,3195.26,2895.43,3627.81,3090.82,3443.00,2805.43,3654.24,3552.56,3046.53
内蒙古自治区,,,3395.30,3390.00,2805.15,2849.50,2902.56,2823.11,2981.32,2826.65,2869.11,2955.16,3404.01,3260.28,3137.13,3560.79,3117.01,2639.12,2485.99,2614.94
辽宁省,,,5775.00,5749.50,3516.38,3793.10,4655.17,4827.59,4857.14,4705.88,5362.32,4933.33,5113.64,4757.28,4274.19,3875.00,3542.60,4320.39,3079.47,2309.24
吉林省,,,3775.50,,,3703.70,3846.15,3888.89,,3084.11,4213.84,3463.69,2439.02,3140.35,2875.70,2727.27,2821.05,2956.14,2714.93,3452.17
黑龙江省,,,3643.10,3306.56,3741.62,3639.24,3065.19,3198.64,2923.25,3333.32,3485.44,3303.41,3968.61,3747.91,2952.36,3819.77,3782.70,3254.90,1729.09,3427.91
上海市,,,5801.20,6081.98,4846.44,3709.73,4380.57,4244.08,3975.66,3983.75,4031.10,3896.76,3837.61,4119.51,3900.29,3612.62,3317.73,3631.80,3413.39,3301.50
江苏省,,,5613.80,5362.49,5369.25,5112.45,5180.98,5161.78,4959.07,4917.83,4843.50,4816.37,4834.51,4815.00,4775.64,4713.94,4325.00,4294.98,3756.43,3755.86
浙江省,,,3917.00,4192.83,4043.43,3315.05,3908.71,3768.87,3685.12,3638.07,3720.23,3729.79,3849.59,3903.20,3731.22,3461.71,3248.92,3198.39,2915.50,2698.43
安徽省,,,5843.20,5589.46,5825.69,5663.90,5812.01,5641.80,5214.11,5206.00,4828.33,4743.36,4558.11,5068.26,4819.38,4502.22,3832.95,3835.62,3194.83,3323.99
福建省,,,2661.70,2807.88,2844.60,2827.20,2919.23,2930.57,2940.02,2874.19,2883.38,2840.08,2929.86,3330.28,3332.14,3299.98,3316.33,3106.80,3158.49,2851.06
江西省,,,2111.10,2168.26,2137.10,2113.82,1994.92,2047.99,2047.50,1934.32,2001.92,1846.66,1873.71,1789.87,1772.70,1734.69,1715.90,1537.25,1402.23,1514.94
山东省,,,6379.50,6090.00,6109.67,6121.21,5927.69,5925.29,5909.90,5904.57,5800.74,5779.55,5774.84,5714.36,5670.72,5659.80,5491.65,5338.20,5040.14,4553.55
河南省,,,6556.90,6276.91,6483.70,6342.99,6272.12,6065.32,5919.43,5893.57,5791.59,5817.80,5805.43,5726.56,5652.02,5637.94,5194.16,5109.00,4771.50,4630.41
湖北省,,,3838.70,3713.89,3701.82,3863.88,3849.63,3924.31,3807.09,3479.87,3401.51,3430.32,3338.87,3290.02,3221.98,3059.21,2916.13,2924.15,2742.42,2159.26
湖南省,,,3370.60,3430.41,3390.97,3071.97,3183.24,3377.29,3396.28,2430.14,2520.53,2520.71,2249.66,2355.31,2357.76,2148.15,2039.57,1912.02,1910.11,1838.04
广东省,,,3571.40,3571.43,3192.50,3296.64,3308.82,3214.29,3428.57,3214.29,3020.13,2871.58,2857.14,2884.62,3000.00,2500.00,2850.00,2850.00,2805.00,2999.06
广西壮族自治区,,,1584.20,1666.67,1654.71,1640.63,1653.19,1345.06,1403.74,1313.62,1384.72,1330.91,1478.20,1338.23,1538.87,1557.00,1682.24,1623.93,1415.00,1406.25
海南省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,0.00
重庆市,,,3287.70,3289.35,3245.75,3283.09,3221.94,3072.19,3098.29,3029.69,3012.05,2989.87,3000.25,2994.84,2966.98,2888.35,2811.89,2795.01,2596.60,2401.13
四川省,,,4028.20,3894.49,3855.00,3795.00,3809.65,3659.93,3539.64,3548.23,3469.29,3385.59,3294.47,3400.77,3440.73,3446.24,3385.80,3310.50,3232.05,3151.21
贵州省,,,2403.40,2342.89,2641.15,2471.78,3624.65,3448.89,2784.34,2648.74,2478.28,2171.22,3054.57,2887.02,2901.48,1850.00,1777.76,1789.50,1572.84,1745.48
云南省,,,2186.10,2190.00,2143.85,2077.62,2093.83,1924.49,1841.53,1996.83,2257.82,1072.04,2134.60,1954.12,2137.12,2124.60,2007.40,2239.59,2191.58,2219.56
