数据库：分省年度数据
指标：春小麦单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,4677.51,3749.35,2510.23,4381.10,4446.43,4623.21,4637.76,3988.47,3973.96,4022.69,4663.87,4132.65,,,,,
天津市,,,,4920.20,5188.88,4907.35,4886.64,4534.48,4503.75,4357.05,4191.26,4449.21,4409.15,4404.04,4274.03,4262.30,4254.03,3908.43,,4655.17
河北省,,,,5010.80,5109.89,5049.61,4841.33,4726.95,2247.20,1914.54,5258.42,4419.50,4366.57,4287.72,4740.08,3745.58,4185.11,7228.92,3949.58,3293.41
山西省,,,,,,,5400.00,4950.00,4500.00,4800.00,4695.00,3495.00,3405.00,2951.67,3962.00,3600.00,2153.85,2689.08,3548.39,3109.24
内蒙古自治区,,,,3390.00,2805.15,2849.50,2902.56,2823.11,2981.32,2826.65,2869.11,2955.16,3404.01,3260.28,3137.13,3560.79,3117.01,2639.12,2485.99,2614.94
辽宁省,,,,5749.50,3516.38,3793.10,4655.17,4827.59,4857.14,4705.88,5362.32,4933.33,5113.64,4757.28,4274.19,3875.00,3474.18,4593.02,3050.85,2321.43
吉林省,,,,326.11,613.77,3703.70,3846.15,3888.89,,3084.11,4213.84,3463.69,2439.02,3140.35,2875.70,2727.27,2821.05,2956.14,2714.93,3452.17
黑龙江省,,,,3306.56,3741.62,3639.24,3065.19,3198.64,2923.25,3333.32,3485.44,3303.41,3968.61,3747.91,2952.36,3819.77,3782.70,3254.90,1729.09,3427.91
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,,,,,,,,,,,,,,2058.82,4531.91,2977.91,4509.80,4242.42
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,2805.00,2999.06
广西壮族自治区,,,,,,,,,,,,,,,,,1682.24,1623.93,1415.00,1406.25
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,2600.00,2599.01,2580.36,2539.57,2418.28,2314.27,2280.50,2208.42,2145.55,2078.22,2125.68,2113.35,1693.80,,,,
贵州省,,,,,,,,,,,,,,,,,,,,1699.72
云南省,,,,,,,,,,,,,,,,3000.00,2307.69,2727.27,3000.00,
西藏自治区,,,,6047.34,4677.33,5346.53,4923.39,5489.36,5435.01,6497.35,5923.63,4994.45,5136.23,7234.04,4978.50,4874.02,6000.00,4154.41,4269.42,4351.62
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,4893.00,4835.59,4857.41,4763.57,4602.31,3644.19,3655.14,4207.36,3591.27,3300.03,3678.79,3167.92,3598.96,3318.52,3645.77,3624.97,3563.11
青海省,,,,3820.79,4003.91,4137.07,4232.67,4319.03,4286.13,4052.64,3836.03,3830.74,4027.75,4198.50,3970.99,3914.33,4061.98,3631.12,3439.25,3171.93
宁夏回族自治区,,,,4407.50,4328.61,4400.43,4355.03,4279.66,4187.19,4664.11,4192.52,4476.94,4530.66,4219.96,3545.95,3501.89,3519.01,3356.32,2803.76,1823.72
新疆维吾尔自治区,,,,5445.18,5484.39,5735.73,5666.71,4878.44,5398.39,4791.42,4931.27,5016.26,4826.48,4072.61,4523.13,4576.95,4576.95,4526.71,4449.55,4943.36
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
