数据库：分省年度数据
指标：玉米单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,6781.70,6770.24,6676.80,6620.55,6481.65,5646.45,6567.00,6330.90,6429.60,5620.50,5953.80,6017.40,5507.10,5367.74,5228.07,4651.49,4281.35,5286.70
天津市,,,6371.70,5919.22,5922.53,5406.50,4998.40,5000.00,5329.00,5155.30,5584.28,5489.85,5348.68,5275.38,5246.02,5282.69,5269.37,5061.74,5188.95,4851.49
河北省,,,5829.00,5646.59,5743.35,5495.50,5192.98,5360.78,5608.21,5585.65,5584.04,5213.98,5127.24,5311.65,5091.70,4817.37,4458.92,4400.49,4313.59,4015.47
山西省,,,5477.30,5616.75,5412.00,5470.93,5145.00,5595.00,5715.00,5415.00,5190.00,4950.00,4515.00,4953.03,5040.34,5284.04,5205.03,5613.45,5210.01,4885.68
内蒙古自治区,,,7209.00,7215.00,6720.15,6668.54,6734.41,6538.39,6784.34,6349.89,6285.58,6065.89,5812.98,6004.70,5665.94,5895.67,5904.31,5657.67,5584.99,5258.74
辽宁省,,,7044.60,6129.00,6647.31,6488.20,5807.27,5023.45,6961.17,6450.81,6372.62,5496.89,4903.52,6308.03,5843.09,6109.14,6334.73,6753.19,6322.45,5993.29
吉林省,,,7217.00,6616.80,7806.85,7747.06,7383.50,7394.63,7827.69,7682.07,7163.45,6204.35,5955.61,7127.46,6168.97,7071.55,6488.61,6238.20,6148.37,5970.15
黑龙江省,,,6706.50,6303.05,6316.27,5993.50,5814.57,5857.56,5683.66,5382.88,5652.09,5285.16,4614.32,4976.16,3921.01,4589.83,4697.32,4310.62,4045.67,4683.67
上海市,,,6794.90,6930.18,6924.63,6843.00,6117.81,6632.91,6997.25,6596.86,6603.33,6659.14,5755.40,5882.35,6410.26,6854.22,6612.15,6139.09,6818.18,6592.92
江苏省,,,6169.20,5815.58,5855.29,5265.75,5583.11,5479.80,5075.92,5495.25,5458.56,5412.00,5406.30,5092.80,5041.94,5208.46,4720.99,5565.64,4364.90,5994.55
浙江省,,,4229.10,4183.20,4440.44,4381.93,4473.96,4523.45,4220.82,4700.66,4715.58,4455.45,4310.03,4290.12,4229.47,4262.37,4124.43,4124.77,4140.19,4275.86
安徽省,,,5372.50,5231.26,5264.00,5272.77,5629.20,5459.88,5040.82,5197.36,4428.32,4108.53,4169.97,4064.67,3519.14,4295.57,3952.55,4843.58,4153.65,5477.43
福建省,,,4407.40,4361.50,4251.32,4183.08,4169.61,4103.19,4017.05,3970.90,3903.67,3793.28,3845.99,3683.21,3410.52,3336.84,3369.12,3350.99,3152.47,3093.92
江西省,,,4258.10,4471.43,4319.16,4290.43,3906.77,3948.49,4071.28,4068.93,4061.14,3678.93,3956.05,3693.10,3662.44,4128.81,3785.58,3342.62,3582.86,3301.49
山东省,,,6594.50,6626.10,6655.18,6439.02,6352.74,6271.10,6333.49,6608.58,6604.67,6381.44,6477.77,6566.70,6189.06,6150.01,6353.46,6106.64,5864.86,5201.56
河南省,,,5912.10,6000.01,5426.80,5263.77,5461.94,5209.95,5535.28,5642.52,5612.09,5552.21,5645.70,5728.51,5694.93,5603.15,5174.80,4338.64,3210.75,5128.50
湖北省,,,4222.70,4139.53,4488.61,4482.57,4839.60,4571.28,4721.26,4762.19,5024.92,4912.12,4812.33,4813.66,4700.00,4718.36,5002.70,5010.77,4910.44,4795.55
湖南省,,,5698.40,5646.44,5444.68,5399.09,5421.07,5456.93,5374.40,5774.97,5759.98,5759.92,5669.92,5310.00,5280.25,5109.64,4832.31,4580.58,4436.28,4366.64
广东省,,,4626.70,4541.97,4517.74,4474.66,4350.13,4337.80,4620.52,4620.29,4559.67,4442.80,4481.10,4424.66,4454.82,4517.42,4500.00,4065.00,3915.00,3767.53
广西壮族自治区,,,4502.50,4678.06,4594.54,4571.60,4496.84,4551.43,4516.32,4309.72,4318.54,3870.45,4208.96,4228.79,4162.43,3844.85,3682.47,3002.05,3007.00,3094.37
海南省,,,,,,,,,4361.96,4121.04,4375.53,4322.83,4247.80,4003.55,3967.21,3749.23,4181.78,3406.27,3086.98,3151.03
重庆市,,,5692.90,5681.88,5647.23,5569.37,5507.33,5457.35,5520.01,5455.36,5492.77,5433.46,5313.51,5387.97,5148.54,4551.65,5064.30,4947.87,4544.46,4139.23
四川省,,,5760.00,5745.15,5730.00,5670.00,5461.48,5443.82,5457.66,5114.87,5147.09,4935.81,4818.65,4811.91,4755.74,4281.84,4853.75,4753.54,4454.36,4347.21
贵州省,,,4378.10,4300.80,4383.80,4381.62,3311.00,3215.28,3196.69,3814.19,2765.27,4093.89,4273.01,4514.86,4538.46,4581.90,4785.00,4726.45,4661.23,4876.32
云南省,,,5161.60,5187.09,5175.87,4999.34,4925.20,4871.86,4626.67,4535.24,3978.75,4072.06,3750.30,3739.60,3889.15,3820.33,3799.34,3830.87,3748.63,4088.23
西藏自治区,,,5457.70,6517.84,6153.85,5843.30,1854.30,5745.19,5763.89,6022.99,6626.51,6540.28,6343.28,5572.14,5030.30,5014.75,4940.12,4969.70,4924.01,4732.39
陕西省,,,5178.90,4952.64,4604.87,4741.64,4715.55,4676.74,5031.00,4856.09,4675.67,4501.01,4519.76,4177.61,4279.90,4037.45,4190.14,3885.81,3935.46,3745.37
甘肃省,,,6014.00,5825.70,5539.77,5601.01,5615.86,5639.67,5775.86,5541.65,5201.97,4871.86,5066.29,4763.02,4932.93,4222.36,5126.14,5023.89,4983.59,4352.73
青海省,,,6762.00,6249.32,6479.64,6788.13,6774.55,6907.41,7054.53,7379.91,7420.62,8702.35,8190.48,8786.41,8674.70,7407.41,8165.14,7405.06,0.00,6666.67
宁夏回族自治区,,,7688.10,7549.15,7014.45,7038.45,7518.27,7760.21,7871.26,7774.72,7461.09,7421.70,7270.95,7190.51,7116.51,6965.53,6809.69,6265.11,6801.07,6724.69
新疆维吾尔自治区,,,8607.80,8009.10,7575.28,7459.53,10210.73,9952.40,9970.66,9344.12,9209.26,9400.42,8990.58,8611.67,7619.02,7160.75,7160.75,6978.40,6782.22,6632.40
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
