数据库：分省年度数据
指标：高粱单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,3317.93,3494.03,3255.00,2659.50,1510.98,3110.38,3032.71,3066.18,2706.74,2890.41,3011.92,2317.68,3090.91,3333.33,3478.26,1720.43,3571.43
天津市,,,,4769.66,5795.73,3993.52,6437.25,2429.90,1853.02,1135.27,1431.56,1875.00,1794.87,1692.18,,214.29,625.00,738.04,4097.01,3238.48
河北省,,,,3895.71,3536.70,3520.60,3217.29,3370.17,3312.53,2747.73,3547.10,2802.51,2800.45,1878.87,2186.56,2227.98,2425.24,1665.90,2349.71,1889.49
山西省,,,,3502.50,2935.50,2760.00,2490.00,2475.00,2430.00,2160.00,1830.00,1560.00,1455.00,,2375.22,3161.41,2902.72,3154.99,3122.90,3501.71
内蒙古自治区,,,,3945.00,3494.04,3675.90,4074.92,3901.18,4488.27,4045.26,4507.54,2975.85,2189.96,3348.78,4591.72,4060.59,3788.41,3181.82,3524.05,3158.28
辽宁省,,,,7517.55,6821.97,5821.10,5619.91,5026.98,6258.76,5968.69,6162.99,4985.84,2405.46,4387.90,4547.59,4281.53,5577.26,6846.15,4717.43,4674.16
吉林省,,,,7024.38,7281.30,7207.97,8346.65,7316.65,7426.09,4121.18,4010.52,2966.97,2432.02,2764.99,2085.08,2017.07,7745.31,5236.94,6439.08,6274.44
黑龙江省,,,,4993.48,6296.07,6109.75,4578.67,6301.35,4771.86,4507.03,4518.53,6443.54,6023.25,5447.07,3053.09,3373.73,3593.31,3817.62,3871.60,4210.95
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,7692.31,8350.00,7250.00,7495.24,6944.44,1428.57,2500.00,2500.00,2600.00,2883.33,3633.33,,2000.00,1666.67,2460.00,1142.86,1818.18
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,5000.00,4782.61,5127.52,8500.00,,1818.18,2000.00,2000.00,2000.00,1818.18,1818.18,2600.00,2857.14,7500.00,5590.91,1323.18,3901.17
福建省,,,,4128.96,4240.31,4130.47,3988.16,3901.48,3750.61,3863.59,4036.86,4304.79,4194.41,3929.17,4030.17,4024.50,4082.40,4061.43,3856.21,3888.89
江西省,,,,1250.00,1400.00,1372.55,1629.94,1623.17,1594.20,1150.55,2316.20,3147.20,3540.05,2343.75,2145.43,3856.92,4144.14,3613.45,3214.29,2611.46
山东省,,,,3234.00,3269.23,3141.49,3461.54,3316.19,3192.63,3292.08,3379.11,3064.23,3190.22,3361.54,3270.06,3366.01,3534.92,3787.68,3057.02,3132.59
河南省,,,,3711.34,1557.04,1022.73,1262.61,1229.92,1208.49,999.69,1014.84,1010.76,1009.12,1074.22,1085.80,868.82,3010.92,3022.97,2087.91,2706.52
湖北省,,,,3529.41,3529.02,3511.21,4038.46,4093.57,4126.98,4725.74,4782.61,4793.10,4082.28,3824.18,3801.84,3971.43,3386.58,4189.19,4122.62,2500.00
湖南省,,,,3791.67,3888.89,3836.07,3624.48,3548.55,3398.79,4411.76,4234.83,4005.45,4011.63,3839.29,3505.43,3157.89,2818.18,2927.93,2818.63,3272.44
广东省,,,,2500.00,3350.00,3633.33,3333.33,5000.00,4615.38,4285.71,3750.00,3750.00,2500.00,2988.05,2941.18,2307.69,2670.00,2595.00,2370.00,2500.00
广西壮族自治区,,,,2810.81,2857.14,3000.00,2883.84,2927.75,2839.48,2669.01,2843.06,2828.39,2787.86,2791.28,2540.29,2709.92,2222.22,1034.48,1921.00,1842.11
海南省,,,,,,,4732.98,2684.82,3113.21,1735.71,2300.00,3294.93,4185.63,16324.30,4875.00,,832.00,2777.78,3076.92,4000.00
重庆市,,,,3916.71,3833.27,3811.78,3801.34,3709.71,3834.37,2911.52,2914.69,2809.16,2774.74,3322.63,2713.49,2236.84,2994.77,2133.33,2499.07,2337.66
四川省,,,,5277.78,5400.00,5400.00,5327.46,5335.43,5233.37,4976.47,4585.88,4654.92,4446.88,4236.78,3904.36,3487.56,4511.85,4366.20,3821.20,3884.30
贵州省,,,,2846.90,2777.61,2726.40,5467.41,5194.32,3653.88,4058.91,3463.28,6192.49,5828.15,5552.76,5033.16,1481.12,1697.02,1819.91,1641.79,1741.97
云南省,,,,2939.39,2861.45,2903.91,3163.61,3057.49,3009.57,2817.61,2766.71,2301.15,2627.33,2802.97,3658.86,1990.29,1915.71,2226.56,1490.07,1818.18
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,3444.03,3374.15,3401.85,3207.99,3926.66,3231.71,3337.50,3255.56,3200.00,3186.13,2768.14,2844.83,1755.45,2600.00,2745.10,2898.55,2710.84
甘肃省,,,,4633.46,3772.52,3797.55,4284.33,4546.22,4757.28,4320.27,4953.07,5048.54,5075.76,4557.82,4709.68,4175.59,4171.75,4005.15,4205.10,3705.48
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,2462.69,,,,,0.00,,,,,,8108.11,7272.73,8333.33,4042.55,2000.00
新疆维吾尔自治区,,,,4381.75,3325.11,3305.76,6054.08,8518.93,6022.60,4644.44,5349.35,7238.77,8088.28,7773.10,5758.50,5873.02,5428.86,4756.55,4807.02,5024.07
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
