数据库：分省年度数据
指标：其他谷物单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,1690.29,1523.29,2353.50,2552.77,1744.24,2435.31,2066.19,2098.31,1985.71,2232.90,2287.95,1406.63,1666.67,2500.00,2307.69,877.19,2222.22
天津市,,,,2589.29,2511.83,2514.43,,,2000.00,2500.00,1010.19,4069.50,1574.86,713.59,464.62,434.78,,,,
河北省,,,,1695.81,1647.51,1857.88,1125.18,1160.36,1463.14,998.24,583.00,595.07,576.57,663.49,714.69,172.73,259.13,533.55,740.19,536.00
山西省,,,,1372.50,1254.34,1171.30,977.23,955.12,913.40,691.04,630.00,555.00,480.00,186.16,772.41,863.35,782.56,965.63,945.68,1144.11
内蒙古自治区,,,,1524.85,1499.07,1401.95,1666.57,1389.41,1561.22,1933.84,1517.95,1386.23,1339.54,1269.71,1118.23,1187.03,1245.60,1302.22,1231.79,1079.17
辽宁省,,,,1775.85,3031.38,2721.46,2452.36,2752.02,2754.45,2949.12,4949.49,2358.08,1538.46,2246.58,1975.31,2049.75,2384.26,2982.11,1879.56,2068.97
吉林省,,,,1950.26,2737.76,2742.69,896.17,1000.00,,3675.97,2663.83,2426.96,1426.81,3092.11,703.67,3256.75,3136.61,2289.02,6250.00,5721.65
黑龙江省,,,,3171.67,3832.38,3724.90,3393.47,3457.02,3543.66,2655.87,4103.17,5926.16,4167.52,4923.11,3620.41,3882.12,3795.05,2474.07,2090.40,3042.90
上海市,,,,5229.08,4433.42,4079.37,4349.08,4213.99,4021.33,3885.22,4276.09,3997.52,3712.57,4559.30,4322.73,3954.55,3468.47,3969.36,4824.56,3707.22
江苏省,,,,5209.67,5177.45,5196.22,5240.70,5072.13,4892.45,4842.27,5080.85,5116.91,4887.80,4822.69,4543.78,4453.29,4342.87,4266.72,4137.28,3947.78
浙江省,,,,4623.83,4130.49,4063.39,4514.78,4149.50,3989.11,4162.36,4338.15,4128.50,4217.58,4223.10,4211.95,3927.45,3883.64,3743.50,3401.20,3289.18
安徽省,,,,7799.23,3007.97,2708.22,664.64,1627.70,1683.17,1794.82,1542.36,2017.12,1967.08,2011.91,2445.67,2668.75,4967.05,5107.14,8543.37,4651.72
福建省,,,,3786.69,3597.91,3509.44,3310.15,2909.43,2619.35,2542.82,2155.52,2409.07,2758.45,2829.17,2571.36,2808.65,2871.29,2713.94,2645.40,2727.27
