数据库：分省年度数据
指标：豆类单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,1937.20,1965.36,2022.83,1800.47,1740.84,1348.47,1822.41,1761.61,1872.22,1574.92,1695.22,1947.11,1563.69,2004.49,1951.22,2097.63,1638.83,2173.91
天津市,,,2001.50,2175.87,2246.71,2322.24,1985.00,1323.00,1236.25,1217.32,1348.40,1323.23,1318.00,1262.63,1207.08,1212.34,1379.68,1528.00,1931.89,1529.92
河北省,,,2404.40,2425.63,2311.29,2223.14,1938.23,2150.25,1880.46,1893.13,2001.68,1716.17,1585.85,1749.93,1714.52,1736.55,1538.23,1600.13,1578.55,1339.53
山西省,,,1517.10,1420.49,1187.92,1139.91,962.60,972.16,951.79,854.12,773.02,718.42,643.25,990.66,1145.45,1123.89,1059.06,1399.00,1372.11,1165.87
内蒙古自治区,,,1804.70,1573.01,1589.56,1551.04,1469.38,1430.21,1464.34,1497.32,1404.09,1422.03,1256.32,1525.05,977.52,1304.29,1522.53,1263.09,867.75,1337.76
辽宁省,,,2445.70,2414.88,2468.37,2046.66,2371.77,2190.56,2339.82,2449.12,2587.18,2456.29,1745.75,2590.19,2387.99,2677.79,1480.48,1667.17,2064.75,1791.00
吉林省,,,1907.80,1826.68,2039.03,1910.54,1654.50,1507.35,1686.76,1424.04,2116.75,1977.83,1694.92,1710.64,1573.26,3720.77,2414.76,2635.98,3144.64,3173.10
黑龙江省,,,1803.50,1813.25,1807.12,1718.48,1838.47,1818.01,1706.23,1812.26,1764.12,1598.68,1449.27,1506.04,1112.84,1515.71,1686.51,1772.03,1615.79,1806.16
上海市,,,2739.70,2699.84,1971.13,2293.28,2136.48,2369.79,2531.22,2554.98,2468.32,2160.84,2227.57,2024.41,2250.85,3232.53,3397.64,3035.51,2635.93,4734.69
江苏省,,,2642.90,2527.52,2354.43,2364.03,2402.41,2310.15,2273.34,2568.22,2542.34,2570.78,2597.04,2506.83,2539.50,2572.07,2387.12,2682.13,2446.25,2751.72
浙江省,,,2575.50,2494.65,2529.44,2373.02,2619.25,2690.96,2717.94,2952.27,2892.46,2862.46,2593.07,2517.73,2523.31,2292.55,2266.42,2217.96,2156.01,2171.68
安徽省,,,1498.50,1497.75,1474.70,1468.91,1500.11,1293.36,1204.48,1249.12,1177.66,1188.58,1207.44,1212.31,1195.88,1281.08,946.86,1221.08,1189.82,1827.88
福建省,,,2848.30,2855.69,2760.37,2720.36,2669.01,2627.09,2552.36,2541.62,2480.19,2404.44,2397.78,2359.62,2260.03,2182.51,2182.06,2141.93,2088.45,2088.61
江西省,,,2248.70,2305.70,2294.05,2218.90,2112.60,2072.66,2062.99,2188.45,1930.96,1749.40,1798.70,1741.91,1699.16,1560.82,1612.53,1496.76,1453.13,1471.99
山东省,,,2847.60,2816.17,2689.81,2683.50,2548.06,2391.74,2409.49,2381.41,2549.81,2411.63,2403.61,2395.72,2409.12,2423.08,2707.48,2969.68,2542.15,2220.19
河南省,,,2383.20,2398.58,1368.65,1337.36,1318.81,1306.78,1581.39,1619.05,1887.50,1824.03,1749.91,1735.87,1749.20,1308.73,1207.40,1885.54,1187.25,1841.37
湖北省,,,1623.00,1554.49,1613.45,1552.00,2021.36,2220.02,2058.38,1891.65,2171.62,2369.12,2346.01,2174.89,2236.13,2244.08,2241.65,2162.49,2064.89,1833.14
湖南省,,,2502.80,2452.26,2267.95,2217.59,2183.25,2167.30,2164.08,2304.27,2428.53,2369.65,2299.18,2272.30,2250.60,2116.84,2048.41,2015.73,1912.02,2106.13
广东省,,,2835.50,2747.87,2750.11,2746.79,2675.44,2652.25,2596.55,2510.49,2354.91,2318.56,2273.52,2231.19,2201.19,2304.76,2251.00,2222.64,2055.00,2184.40
广西壮族自治区,,,1615.90,1683.40,1652.21,1588.41,1542.67,1489.82,1490.22,1514.78,1696.87,1397.16,1608.07,1584.16,1542.40,1485.00,1437.75,1319.69,1365.00,1324.35
海南省,,,3162.90,3104.03,3135.22,3146.33,3243.80,3126.41,3048.03,2900.63,2809.70,2773.86,2432.54,2346.81,1999.23,1877.93,1884.64,2105.26,2104.25,1964.83
重庆市,,,2044.40,2028.35,2009.14,1999.09,2022.76,2037.10,1977.27,2013.41,2030.92,2003.39,2000.39,1881.30,1799.87,1570.10,1797.56,1698.77,1541.15,1269.41
四川省,,,2320.80,2314.73,2299.95,2277.62,2296.70,2317.18,2283.23,2337.42,2322.54,2277.23,2304.83,2242.76,2260.01,2075.67,2245.45,2150.31,2183.50,2109.95
贵州省,,,926.60,901.06,857.27,1060.30,733.79,928.87,954.12,1244.03,1338.82,1668.20,2052.29,2012.91,2001.57,1106.02,1162.63,1249.73,1223.92,1249.04
云南省,,,2538.00,2515.49,2525.70,2510.68,2452.69,2510.37,2309.62,2091.05,2044.45,1462.54,1847.76,1964.91,1563.80,1751.87,1612.75,1243.16,1851.10,1546.20
西藏自治区,,,3581.40,4929.39,8528.57,3510.36,3972.33,3870.40,3732.88,3613.31,3643.41,3549.85,3648.65,3742.94,4094.99,3925.47,3612.04,3433.33,3373.62,3104.69
陕西省,,,1491.90,1518.95,1513.66,1538.11,1114.00,1536.71,1584.45,2015.79,2040.38,2068.38,2094.32,2224.78,2219.04,1935.04,970.44,1047.52,647.54,859.22
甘肃省,,,2310.20,2223.50,1967.51,1812.56,2160.34,1979.92,2091.36,2245.25,1814.11,1819.28,1673.68,1599.82,1523.56,1754.95,1699.65,1621.53,1690.21,1648.07
青海省,,,2364.30,2264.89,2114.78,2288.82,2093.80,2102.08,2082.21,2145.74,2185.70,2358.75,2554.69,2782.12,2693.73,2219.32,2874.97,2680.80,2241.81,2261.41
宁夏回族自治区,,,1315.90,1243.36,925.05,1063.87,534.82,603.57,621.32,553.52,560.76,554.09,562.78,605.46,1050.23,951.57,850.01,983.45,776.83,966.18
新疆维吾尔自治区,,,2972.50,3136.61,3441.46,2566.15,2860.94,2260.36,2547.52,2213.07,2695.38,2733.32,2562.46,2614.59,2586.97,2601.41,2587.24,2453.26,2587.87,2462.90
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
