数据库：分省年度数据
指标：绿豆单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,985.55,1091.44,1026.71,778.97,618.18,977.70,961.80,886.63,900.90,803.02,1000.91,634.27,0.00,0.00,1111.11,833.33,2500.00
天津市,,,,1942.42,1629.05,1737.80,1720.14,1642.86,1250.00,1000.00,1071.43,833.33,952.38,769.23,833.33,1176.47,1176.47,1267.35,800.00,826.45
河北省,,,,1711.28,1548.98,1680.48,1338.99,1344.38,1133.28,1270.56,1221.44,1023.69,932.10,918.14,965.07,971.04,831.67,991.62,926.41,810.89
山西省,,,,1101.30,990.00,960.00,801.63,902.38,1008.76,978.66,931.22,840.00,780.00,688.35,953.80,1057.19,759.05,1198.41,1174.73,1062.99
内蒙古自治区,,,,1200.00,1281.45,999.55,841.59,853.73,754.48,915.41,715.35,739.19,702.43,1212.33,851.09,1005.67,1263.86,761.34,915.53,811.29
辽宁省,,,,2147.66,1537.08,1518.30,2500.00,2402.77,2489.88,2364.73,2903.23,2704.92,776.47,1654.21,1006.71,1496.46,958.08,705.13,1556.02,1235.29
吉林省,,,,1200.27,1507.65,1732.63,1524.95,1127.91,947.56,950.87,1354.12,1182.26,1175.04,870.78,786.32,2494.91,1613.64,997.53,2158.42,2272.60
黑龙江省,,,,1193.14,1110.81,1295.29,903.84,1106.49,1303.01,1103.98,1104.77,900.69,1066.23,922.02,943.40,1003.73,1345.71,506.33,507.73,519.32
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,2537.69,2357.06,2361.00,2392.84,2373.71,2328.77,2392.63,2370.88,2400.00,2212.53,2386.86,2350.00,2447.82,2326.04,2386.36,2357.62,2606.84
浙江省,,,,,,,,,,,,,,,,2014.93,1894.27,1908.64,1761.66,2600.00
安徽省,,,,1404.66,779.57,787.78,960.20,856.27,871.49,905.11,476.70,355.31,324.25,318.47,756.84,1220.63,1090.57,1241.30,952.98,1297.07
福建省,,,,2453.37,2340.69,2214.83,2159.99,2214.56,2160.09,2216.41,2106.93,2003.28,1968.58,1916.17,1910.80,1827.00,2194.62,2057.14,1969.23,2222.22
江西省,,,,1437.50,1394.23,1379.31,1325.82,1240.40,1267.07,2707.58,1294.70,1610.35,1669.63,1755.06,1833.14,1503.24,1354.28,1423.88,1187.62,1237.82
山东省,,,,2423.10,2409.59,2380.95,2272.73,2328.77,2347.22,2457.98,2472.69,2248.74,2289.64,2217.96,2195.86,2090.73,2162.46,1809.13,1756.21,1574.00
河南省,,,,1594.28,750.00,828.95,779.48,791.85,960.16,1047.61,1168.16,1175.01,1082.34,1127.49,1127.66,1621.15,1511.49,1255.84,875.17,1452.00
湖北省,,,,1351.74,1349.56,1300.38,1324.17,1317.83,1296.30,1429.38,1533.14,1703.06,1975.95,1707.69,1695.94,1596.59,1723.54,1702.04,1819.13,1996.36
湖南省,,,,2077.59,2028.04,2000.00,2095.59,2065.28,2384.62,2472.99,2552.39,2490.16,2445.60,2053.02,2011.10,1767.07,1822.03,1830.45,1702.62,1902.44
广东省,,,,2479.34,2514.08,2569.33,2448.28,2482.76,2361.11,2417.22,2373.85,2323.94,2214.53,2008.03,2116.18,2070.55,2055.00,2055.00,1980.00,1943.01
广西壮族自治区,,,,1455.98,1411.76,1518.22,1372.74,1418.36,1255.44,1310.72,1447.60,1408.95,1979.21,1899.21,1867.40,1795.72,1374.05,1374.05,1313.00,1324.50
海南省,,,,1666.67,1940.13,1720.83,1844.70,1789.47,1834.13,2137.21,1480.51,1875.06,2191.84,1767.99,,,828.75,1923.08,1855.67,1811.59
重庆市,,,,1991.60,1957.20,1941.45,1941.96,1894.11,1875.37,1848.59,1784.66,1814.36,1815.85,1723.43,1686.56,1328.04,1753.47,1682.24,1667.54,676.38
四川省,,,,2033.90,1995.00,1995.00,1945.57,1904.98,1838.01,1771.15,1676.72,1590.52,1513.55,1438.85,1353.39,1133.73,2027.79,2208.33,1887.50,1954.55
贵州省,,,,1054.22,911.67,858.76,1985.48,1616.51,1280.39,1973.62,1172.31,4217.18,5828.15,5552.76,5033.16,1040.79,780.78,810.06,810.81,1190.48
云南省,,,,1973.68,1904.76,1875.00,1832.61,1780.13,1639.34,1505.14,1593.74,1578.41,1722.11,1657.58,1334.79,1498.47,1827.96,1611.11,1493.06,1128.05
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,994.27,982.91,949.17,537.95,952.87,963.86,1023.76,1020.54,1034.27,1030.53,968.59,1217.59,1201.83,756.30,1095.89,860.76,650.07
甘肃省,,,,1717.22,3015.87,1337.79,1344.69,1351.63,1358.61,1365.62,1372.67,1379.75,1386.87,1394.03,1401.22,1126.76,800.00,1666.67,1200.00,1162.79
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,0.00,,,,4000.00,
新疆维吾尔自治区,,,,6199.90,6380.34,2500.00,1835.31,,3258.18,1746.90,4086.36,2787.44,2567.61,2162.33,2982.57,3406.11,2650.60,2439.02,1823.90,2111.37
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
