数据库：分省年度数据
指标：红小豆单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,1191.45,1208.33,1117.41,987.41,695.94,1145.94,1056.18,1055.26,880.75,971.73,1113.43,1011.47,1376.15,1111.11,1287.13,1134.02,1550.00
天津市,,,,1918.40,1760.20,1853.18,1495.96,1586.54,1428.57,1250.00,909.09,1428.57,769.23,769.23,833.33,714.29,1034.48,1509.38,1500.00,1489.36
河北省,,,,1731.60,1678.73,1633.80,1363.30,1390.78,1393.05,1259.26,1259.96,911.94,703.10,987.04,850.96,1174.84,950.00,1088.39,1030.93,943.51
山西省,,,,1209.00,1087.50,1035.00,1022.18,1105.86,1335.00,1332.57,1166.45,915.00,750.00,607.87,942.50,821.33,635.99,1252.24,1245.59,1333.90
内蒙古自治区,,,,1470.00,1759.95,1470.19,1355.51,1225.86,846.49,1345.99,1293.39,1003.85,1073.13,1377.22,647.86,1156.02,1264.57,940.77,1117.90,986.44
辽宁省,,,,2174.81,1996.17,2391.30,2000.00,1891.59,1910.73,2001.90,2000.00,1923.08,928.57,1833.33,2325.58,1528.21,1464.97,932.20,1401.10,1100.00
吉林省,,,,1070.73,2136.36,2146.48,1711.34,1666.67,1439.39,1106.56,1271.98,2486.83,1960.78,2761.90,1833.33,2532.77,2233.33,1773.97,2519.08,3647.73
黑龙江省,,,,1396.12,1560.58,1554.24,1474.00,1556.09,1826.60,2257.57,2478.27,1501.13,1559.32,1596.09,1620.06,1889.68,1490.45,1390.89,1405.87,1197.60
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,2360.10,2352.05,2350.05,2427.40,2391.33,2351.60,2397.01,2392.01,2430.78,2249.11,2580.02,2417.79,2368.42,2188.80,2343.43,1871.88,2436.84
浙江省,,,,,,,,,,,,,,,,1980.91,1877.64,1798.18,1597.80,1750.00
安徽省,,,,1714.52,986.99,992.37,1145.16,1666.67,2200.00,2549.02,784.31,384.62,400.00,408.16,1739.13,1690.14,1038.96,1250.00,1238.10,1607.14
福建省,,,,2498.41,2253.17,2258.61,2208.66,2191.90,1977.72,2131.57,2059.81,1844.47,1899.23,1777.47,1827.07,1740.00,1754.39,2000.00,1827.96,1666.67
江西省,,,,2666.67,2499.99,2285.71,1799.03,1542.56,1463.55,3057.98,,,,,,,,,,
山东省,,,,2395.50,2353.33,2298.85,2500.00,2666.67,2318.18,2375.00,2395.21,1992.06,1851.43,1867.97,1868.16,1956.52,2358.49,2131.15,2026.14,1794.87
河南省,,,,,,,,,,,,,,,,2320.92,1674.21,1113.74,639.34,921.88
湖北省,,,,1192.98,503.05,458.72,1143.00,1140.00,1429.05,1147.65,1304.35,1327.27,1746.99,1260.87,1200.98,1164.66,948.08,1053.98,1666.67,1214.29
湖南省,,,,1967.21,1818.18,2125.00,1858.41,1794.87,1541.10,1530.61,1530.61,2027.03,2542.37,2500.00,2000.00,2000.00,1818.18,1978.02,1747.57,1847.83
广东省,,,,2777.78,2759.54,2785.71,2443.44,2600.00,2417.06,2592.59,2435.90,2467.53,2168.67,2101.45,2136.75,2116.56,2070.00,2070.00,2355.00,1889.76
广西壮族自治区,,,,1428.57,1413.00,1500.00,1593.17,1351.70,1325.22,1501.37,1780.60,1546.21,2000.26,2151.46,2379.95,1590.91,0.00,0.00,0.00,0.00
海南省,,,,3428.57,4249.35,4382.97,3141.12,2647.81,2338.39,2737.97,2278.48,2816.19,2237.58,2869.19,,,1905.66,2352.94,2160.00,2285.71
重庆市,,,,1855.83,1896.41,1877.00,1723.64,1671.61,1617.95,1588.23,1704.39,1428.40,1481.82,1396.88,1409.24,707.40,1242.60,1639.34,2024.29,1639.86
四川省,,,,1538.46,1605.00,1605.00,1577.47,1560.11,1538.06,1530.11,1498.74,1441.48,1401.40,1331.92,1276.65,1051.98,1781.88,1759.26,1730.50,1538.46
贵州省,,,,820.11,822.62,758.62,707.29,753.64,716.94,692.76,627.33,2765.21,4191.74,4457.43,4509.50,2172.86,960.00,1294.12,909.09,1562.50
云南省,,,,2045.45,2000.00,1928.57,6271.20,1807.04,1569.48,1401.52,1508.93,1386.68,1307.03,1209.09,1521.15,1533.48,1306.93,1344.54,790.60,796.30
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,1244.48,1235.42,1188.08,677.14,1209.79,1131.60,1378.38,1363.64,1340.00,1383.93,1219.51,1488.20,583.33,900.00,1153.85,882.35,857.14
甘肃省,,,,1720.37,2539.06,1278.22,1227.98,1224.16,1220.35,1216.55,1212.77,1209.00,1205.24,1201.49,1197.75,1313.43,1288.52,2030.46,689.66,693.64
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,6523.17,,,1932.72,,2317.96,,,1650.00,1589.53,1245.00,1258.36,2135.92,1640.63,2282.61,1941.18,2155.69
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
