数据库：分省年度数据
指标：油料单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,2637.53,2471.75,2523.05,2674.29,2597.70,2856.09,2958.29,2852.29,2881.30,2970.45,3025.57,3104.53,3007.78,2898.02,2675.23,2394.84,2958.92
天津市,,,,2992.29,2259.72,2393.56,3214.52,3099.76,3214.10,2979.27,2946.88,2918.29,2709.28,2656.99,2613.72,2475.25,2562.97,2553.57,1950.06,1796.20
河北省,,,,3299.62,3279.34,3293.83,3283.05,3221.03,3212.63,3145.73,3128.84,3021.07,2885.00,2952.26,2769.20,2753.31,2732.00,2644.19,2572.61,2356.00
山西省,,,,1382.74,1318.60,1351.09,1107.96,1322.46,1357.75,1319.58,1195.03,1077.74,991.69,1042.38,974.18,852.33,777.75,945.66,1125.93,1081.60
内蒙古自治区,,,,2261.56,2162.41,2057.78,2073.33,1954.77,1907.04,1785.22,1933.24,1881.91,2023.11,1896.84,1685.15,1708.41,1758.66,1545.00,1413.96,1581.80
辽宁省,,,,2685.31,2925.97,2854.53,2303.79,2317.90,2802.62,2800.55,2784.58,2620.75,2079.03,2747.57,2589.78,2411.52,1812.15,1836.46,1835.90,1845.47
吉林省,,,,3117.13,3143.96,2802.41,2839.32,3218.16,3037.90,3028.03,2838.45,2324.31,2074.44,2441.60,1180.00,2027.82,1887.59,1715.65,1892.88,2922.00
黑龙江省,,,,2176.65,1868.32,1676.74,1938.44,1965.12,1947.12,1919.18,1566.42,1647.07,1387.02,1302.27,1362.24,1465.97,1476.66,1118.75,964.66,1412.90
上海市,,,,2573.95,2356.85,2144.24,2331.71,2225.93,2188.16,2116.50,2178.26,2226.12,2192.82,2329.74,2207.65,2215.53,2161.11,2357.81,1620.15,1846.80
江苏省,,,,3274.44,3190.07,3128.87,3055.27,2958.27,2910.45,2797.35,2622.93,2649.50,2734.35,2648.66,2682.71,2641.52,2550.40,2589.27,2189.48,2392.20
浙江省,,,,2291.09,2199.63,2061.90,2144.04,2063.97,2045.94,2009.60,2021.16,1875.29,2043.72,2087.48,2121.99,2028.01,2011.51,2055.68,1744.34,1624.90
安徽省,,,,3037.80,2983.88,2938.31,2951.06,2901.99,2810.84,2698.94,2433.74,2410.41,2480.83,2434.49,2305.87,2249.01,2077.24,2171.14,1638.36,1942.70
福建省,,,,2816.56,2698.19,2641.61,2628.57,2591.39,2540.64,2504.51,2467.01,2407.04,2394.32,2376.02,2299.81,2231.97,2240.62,2223.56,2107.64,2121.60
江西省,,,,1776.16,1725.93,1686.45,1675.36,1641.46,1605.20,1573.26,1550.97,1470.14,1424.08,1384.19,1368.59,1368.59,1319.22,1316.19,1200.81,1170.43
山东省,,,,4370.48,4389.16,4310.25,4301.32,4353.98,4386.71,4403.66,4366.14,4317.33,4347.92,4282.07,4189.03,4135.89,4043.71,3913.25,3571.72,3457.80
河南省,,,,4318.04,4200.01,4221.74,4108.69,3968.70,3980.77,3848.74,3549.06,3601.76,3566.20,3397.21,3265.43,3089.58,2799.80,2656.04,1974.09,2736.99
湖北省,,,,2408.65,2382.71,2327.88,2279.49,2260.89,2235.71,2161.57,2158.71,2174.21,2174.83,2087.02,2179.71,2044.00,2012.73,2129.99,1810.88,1627.33
湖南省,,,,1743.49,1723.67,1701.94,1700.78,1627.69,1582.35,1509.99,1635.08,1431.52,1555.02,1266.96,1597.98,1586.04,1569.40,1590.81,1448.59,1333.92
广东省,,,,3115.95,3052.36,3015.22,2962.62,2895.13,2819.89,2756.75,2684.82,2619.26,2558.32,2522.36,2503.07,2454.53,2422.08,2451.34,2449.16,2349.50
广西壮族自治区,,,,2738.89,2713.50,2680.61,2612.99,2592.09,2583.44,2535.58,2477.46,2376.99,2324.55,2299.88,2243.10,2162.16,2011.68,1906.14,1849.47,1793.70
海南省,,,,2675.63,2739.34,2795.61,2805.38,2861.35,2702.10,2608.33,2458.70,2331.01,2238.56,2162.57,2080.00,2080.37,1908.34,1916.96,1932.74,1878.30
重庆市,,,,1959.57,1958.97,1960.20,1929.83,1892.63,1784.81,1847.68,1806.12,1753.69,1727.73,1710.72,1674.92,1545.36,1692.10,1710.16,1616.86,1482.90
四川省,,,,2431.18,2420.00,2403.34,2374.19,2347.58,2302.92,2307.44,2269.07,2214.05,2185.64,2179.34,2145.20,2031.49,2124.48,2077.94,1997.54,1921.50
贵州省,,,,1727.53,1747.18,1740.08,1715.09,1684.89,1633.17,1597.22,1472.07,1141.54,1535.29,1504.85,1611.04,1584.20,1527.41,1555.94,1441.12,1436.10
云南省,,,,1970.45,1947.80,1925.20,1852.74,2062.88,1696.70,2018.33,1901.60,1029.47,1580.86,1615.52,1008.44,1744.98,1607.84,1630.62,1564.61,1479.40
西藏自治区,,,,2596.33,3033.82,2748.28,2690.96,2605.88,2599.98,2635.69,2644.10,3689.92,2363.22,2438.70,2259.51,2263.58,2348.46,2216.46,2286.51,2219.30
