数据库：分省年度数据
指标：花生单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,2966.02,2830.10,2771.48,2834.68,2981.81,2904.50,2767.37,3003.34,3070.32,2987.58,2991.21,3050.42,3078.72,3134.70,3054.42,2964.46,2716.16,2446.02,2993.30
天津市,,4000.76,3989.97,3694.93,3594.41,3397.58,3511.69,3340.45,3483.57,3282.14,3558.22,3572.86,3578.95,3486.42,3470.89,3225.81,3431.90,3461.82,2973.14,2905.70
河北省,,3934.69,3855.05,3814.83,3876.03,3793.97,3716.09,3666.85,3657.76,3580.53,3578.94,3517.35,3438.00,3417.41,3337.64,3227.48,3198.06,3071.23,3026.39,2927.00
山西省,,2774.15,2609.51,2483.41,2263.09,2022.19,1715.79,2164.99,2204.02,2113.19,2064.84,2132.48,2094.05,1984.68,2144.31,1941.75,1961.77,2282.52,2201.13,2015.40
内蒙古自治区,,2968.93,2924.61,2706.51,2539.12,2566.45,2508.11,2350.38,2023.14,1923.17,1927.06,1765.16,1585.14,2055.79,1904.38,2127.66,1451.96,1772.75,1875.28,1180.10
辽宁省,,3224.57,3335.31,2685.22,2945.46,2814.53,2240.13,2303.60,2792.06,2805.37,2822.08,2661.53,2133.92,2830.22,2706.29,2549.88,1914.75,1985.36,2019.17,2084.10
吉林省,,3273.61,3281.90,3278.22,3284.88,3232.16,3223.27,3630.18,3765.49,3300.78,3040.60,2738.66,2490.77,2757.70,2196.50,2625.56,2562.36,2451.00,2483.75,4314.90
黑龙江省,,4417.89,3326.56,2950.51,2654.71,2034.99,3090.06,2911.33,2875.15,2844.05,2540.74,2175.10,1894.97,1505.38,1883.36,2436.97,2023.19,2149.36,1781.38,2014.90
上海市,,2890.34,2960.97,2785.51,2820.45,2721.37,2753.06,2725.86,2669.33,2589.87,2662.67,2761.80,2745.54,2800.59,2765.49,3248.72,3333.33,3473.11,2804.52,3252.00
江苏省,,4074.82,4124.92,3997.61,3945.77,3909.55,3870.80,3800.00,3745.00,3756.00,3692.00,3645.88,3665.00,3502.00,3535.38,3485.00,3181.83,3162.21,2404.04,3743.20
浙江省,,3042.56,3022.68,2992.30,2975.50,2890.38,2896.24,2810.68,2813.90,2873.75,2812.84,2822.21,2814.49,2788.18,2777.17,2745.82,2676.06,2668.47,2630.31,2644.80
安徽省,,4960.03,4962.26,4929.16,4951.10,4955.10,4940.86,4954.69,4734.33,4633.52,4464.92,4439.76,4152.09,4003.68,3572.86,3889.06,3323.96,3749.58,2543.37,3969.20
