数据库：分省年度数据
指标：胡麻籽单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,1500.00,,,,,,,,,,,,,,
河北省,,,,958.17,1000.99,1022.36,944.97,790.01,1031.08,831.64,805.19,662.01,322.01,802.58,270.05,911.33,531.24,1024.78,882.37,288.00
山西省,,,,1084.00,998.81,1071.08,962.16,1173.75,1206.73,1218.89,1000.50,899.32,860.97,949.90,886.27,697.16,461.50,662.86,838.82,742.15
内蒙古自治区,,,,1256.33,937.29,1038.26,879.27,626.12,605.15,551.83,560.22,585.03,583.59,1009.79,716.94,981.76,817.48,1237.04,1025.64,854.30
辽宁省,,,,,,,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,,,,1320.00,
吉林省,,,,4666.67,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,933.33,300.00,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,3000.00,,,4375.00,4285.71,7500.00,7500.00,,,,,,,,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,1800.00,1500.00,1433.33,1500.00
湖南省,,,,,311.71,324.64,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,0.00
贵州省,,,,2765.96,3250.00,3250.00,2812.49,1879.99,2999.97,4285.66,1466.64,1999.96,838.69,1322.00,1442.58,1380.95,1444.44,1000.00,791.67,533.33
云南省,,,,976.92,956.00,645.45,657.14,665.00,657.89,734.21,817.50,618.75,703.23,640.00,885.00,,1200.00,300.00,1400.00,1008.82
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,1206.47,2010.09,1672.57,1084.34,,,,,,1157.48,830.97,,644.31,820.89,822.71,693.95,661.49
甘肃省,,,,1859.27,1759.98,1806.61,1766.72,1732.50,1632.17,1558.85,1369.85,1436.62,1276.09,1271.07,1229.92,1219.82,1247.62,1185.28,1170.06,1149.65
青海省,,,,1586.91,1546.45,1602.24,1522.08,1724.13,1542.99,1565.36,1286.15,1886.83,1867.27,1433.03,1391.06,970.87,1320.75,3011.43,1724.14,1599.34
宁夏回族自治区,,,,1636.83,1541.47,1674.67,1793.88,1576.90,1544.10,1544.05,,1326.94,1123.33,1118.70,960.31,948.26,1033.06,847.29,763.94,901.84
新疆维吾尔自治区,,,,1701.49,1854.40,1827.93,2040.10,1833.75,1696.49,1607.88,1574.79,1520.00,1518.57,1292.14,1283.86,1766.11,1375.99,1531.66,1565.65,1549.87
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
