数据库：分省年度数据
指标：黄红麻单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
天津市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,900.78,866.67,10666.67
河北省,,,,,,1727.27,2211.98,2294.57,2381.88,2236.36,2233.77,2257.84,2262.14,2142.36,2199.39,2076.92,2324.24,2161.11,3102.14,3002.99
山西省,,5707.57,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
内蒙古自治区,,2250.12,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
辽宁省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2258.06
吉林省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
黑龙江省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上海市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
江苏省,,3800.00,,,,,,,,0.00,4600.00,0.00,3640.00,3000.00,3000.00,3000.00,3216.67,3362.50,3103.23,3278.13
浙江省,,5333.33,3633.33,3243.24,7500.00,4285.71,3750.00,3000.00,1428.57,3750.00,3000.00,3214.29,4166.67,4615.38,4714.29,5008.33,2681.25,2823.53,3492.31,3533.33
安徽省,,3751.81,3214.49,4017.24,3894.02,3772.39,3047.64,2961.87,2948.47,3412.42,2997.86,2903.06,2848.51,3357.21,3529.86,3015.97,2979.29,2619.62,2108.13,2713.69
福建省,,3360.00,3240.00,3196.72,3012.61,3042.57,,,,,,,,,,2888.89,2948.32,2837.50,2563.64,2637.05
江西省,,3800.00,4533.33,4217.39,4757.58,5708.74,5754.72,5607.14,4868.15,4757.40,4490.91,5347.62,4505.00,4011.43,1801.89,1801.89,3093.88,1559.13,2544.26,3033.68
山东省,,,,,,,,3006.52,3150.00,2130.00,2992.93,3000.00,3592.72,3029.40,2845.64,3400.00,3020.69,6416.85,3912.26,2900.50
河南省,,4228.07,6895.71,6858.11,6848.81,6682.23,6350.71,6158.80,5582.42,5562.22,5357.14,5224.49,6221.01,3846.79,3172.88,3035.87,2780.21,2830.49,2189.00,2800.38
湖北省,,2800.00,2900.00,2800.00,3187.98,3681.89,4037.50,4405.72,2895.53,4019.85,4746.42,8051.67,4923.25,5103.88,3857.92,3823.19,3429.59,4158.82,4190.91,4743.27
湖南省,,2085.11,2080.34,2010.67,2640.47,2609.30,5710.66,2642.47,2708.10,2620.88,2591.72,3847.14,1414.75,3330.56,2401.21,1962.07,1979.31,2022.22,2934.88,3233.08
广东省,,3333.33,2892.31,2772.37,2241.51,,2559.71,2513.15,2479.65,2435.18,2403.15,2464.96,2416.18,2036.56,2077.26,2283.01,2616.58,2589.06,2636.36,2752.68
广西壮族自治区,,3052.79,2973.03,3077.79,2828.76,2702.92,2600.72,2618.16,1467.59,2332.19,2570.85,2335.34,1830.39,2000.00,2047.42,2005.39,1981.82,2010.97,2015.75,1994.30
海南省,,,1428.94,3000.00,3000.00,6362.78,6580.90,6578.56,6971.26,6794.64,6705.27,6388.87,5807.98,5550.17,5151.20,5272.22,8820.00,5373.91,5975.00,5400.00
重庆市,,1853.93,1847.65,1834.71,1844.26,1766.02,1575.43,1549.02,1616.22,1551.66,1390.38,1416.67,1036.29,984.62,816.67,729.41,726.67,725.00,922.73,1125.00
四川省,,1892.22,1893.49,1881.66,1869.05,1849.71,2005.29,1839.02,1823.79,1971.89,1778.18,1837.75,1787.80,1804.08,1928.10,2043.81,2288.26,2243.27,2065.62,2103.74
贵州省,,6000.00,,,1000.00,1500.00,1500.00,666.67,600.00,769.23,666.67,1000.00,1437.50,2857.14,3956.52,4000.00,3148.15,2350.00,1351.72,1193.33
云南省,,,,,,,,1966.67,2066.67,1950.00,0.00,2200.00,1666.67,1666.67,0.00,0.00,0.00,800.00,0.00,893.33
西藏自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
陕西省,,,,,,,,,,,0.00,0.00,0.00,,0.00,1000.00,1077.26,0.00,1277.78,0.00
甘肃省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
青海省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
宁夏回族自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
新疆维吾尔自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
