数据库：分省年度数据
指标：烟叶单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,2250.00,2000.00,1175.00,1425.00,1500.00,1520.83,1563.38,1267.24,1285.71,750.00,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,2459.07,1655.91,1660.85,2182.81,3001.01,2252.52,2210.71,2339.29,2205.83,2224.08,2029.88,2212.57,2609.42,2637.57,2477.83,2255.91,2248.07
山西省,,,,2895.62,3485.72,3139.43,3194.89,3009.12,2786.76,2965.15,2705.91,2648.24,2583.06,2568.10,2733.40,4069.36,2378.57,2101.00,2232.26,1864.73
内蒙古自治区,,,,4054.67,3738.68,3492.04,3770.13,3554.07,4269.70,3880.75,3851.10,3804.80,2893.87,2991.48,3225.02,5809.30,2391.14,2403.94,2398.79,2031.76
辽宁省,,,,2772.39,3280.18,3213.46,2630.58,2762.39,2862.15,2831.46,2775.94,2474.00,2499.94,2741.69,2804.97,3229.29,1728.99,1896.62,1938.07,2033.97
吉林省,,,,2750.86,2868.76,2729.31,2850.71,2620.64,2692.76,3244.95,3249.44,3011.40,2845.08,2965.50,2903.50,2965.46,2643.73,2673.22,2383.86,2408.88
黑龙江省,,,,2822.21,3107.70,2639.23,2737.27,2546.74,2514.02,2551.03,2439.11,2561.58,2221.28,2340.23,2158.84,2947.37,1746.26,1776.09,1256.08,1664.87
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,1700.00,1700.00,1700.00,2025.00,1985.29,2158.33,2216.67,2188.00,1216.67,2191.05,1301.79,2289.83,2010.59,1973.13
浙江省,,,,2171.96,2282.61,2234.04,2250.00,2339.45,1229.51,2422.36,2377.05,2364.53,2466.67,2686.57,2591.62,2322.08,2273.71,2395.79,2256.48,2244.86
安徽省,,,,2480.73,2527.26,2259.24,2612.59,2490.16,2599.73,2708.10,2710.13,2731.40,2827.45,2619.04,2542.01,2394.82,2402.49,2371.57,1876.75,2256.20
福建省,,,,2204.68,2207.61,2118.59,2128.45,2152.98,2140.03,2113.87,2110.04,1936.98,2108.88,2067.80,1982.32,1887.52,1746.75,1832.00,1725.53,1668.09
江西省,,,,2074.73,2169.53,2050.45,1979.98,2114.51,2134.84,2203.22,2272.98,2131.01,2390.13,2329.14,2008.73,2008.73,1820.75,1901.58,1550.13,1473.34
山东省,,,,2587.07,2662.83,2735.75,2580.11,2542.11,2643.82,2587.92,2616.94,2765.46,2563.36,2431.91,2546.16,2566.66,2182.05,1949.47,2230.90,2086.35
河南省,,,,2667.62,2568.16,2588.00,2524.72,2422.46,2526.77,2445.88,2345.63,2353.66,2340.39,2388.85,2339.26,2355.00,2180.37,1964.47,1625.15,1855.10
湖北省,,,,1762.41,1723.70,1827.12,1618.47,1718.32,1798.58,1870.68,1963.78,1885.60,1959.29,1875.51,1822.52,1911.01,1908.81,1766.56,1697.42,1778.03
湖南省,,,,2201.35,2195.37,2168.40,2129.96,2212.32,2351.69,2056.26,2186.89,1583.40,2955.79,1998.82,2191.68,2116.37,2128.23,2142.76,1989.06,1991.24
广东省,,,,2479.34,2448.39,2470.38,2475.15,2451.12,2417.44,2429.55,2320.54,2303.26,2170.60,2102.73,2132.34,2098.06,1992.18,1984.40,2004.61,1968.84
广西壮族自治区,,,,1721.73,2126.78,1772.26,1735.80,1634.23,1760.74,1833.61,1760.43,1690.29,1866.10,1661.30,1714.29,1713.00,1579.11,1690.55,1638.09,1610.88
海南省,,,,987.73,815.26,816.43,932.89,1497.99,1200.00,800.00,750.00,,,0.00,0.00,,0.00,750.00,1175.00,4262.50
重庆市,,,,1927.10,1978.37,1931.38,1893.08,1836.02,1958.61,2058.63,2027.67,1896.10,1900.00,1790.85,1642.09,1881.04,1750.59,1604.45,1503.28,1554.22
四川省,,,,2122.63,2090.42,2201.52,2254.61,2233.14,2144.79,2204.98,2090.07,2219.19,2073.99,2017.59,2081.10,2253.31,2284.74,2169.39,2014.21,2010.92
贵州省,,,,1724.47,1720.97,1770.97,1802.41,1636.41,1635.06,1576.30,1617.21,1997.25,1973.04,1915.22,1738.40,1704.10,1656.82,1574.82,1503.62,1519.96
云南省,,,,2048.77,2030.84,2070.16,2106.35,1943.27,1982.60,2109.40,2131.35,2260.86,2260.00,2156.19,2075.30,2000.50,2014.44,1949.26,1905.33,2005.77
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,2352.20,2264.92,2249.27,2352.85,2205.02,2355.91,2279.44,2144.32,2162.13,2037.53,2130.12,1814.28,1830.11,1801.07,1761.19,1584.59,1637.54
甘肃省,,,,3009.28,3224.72,3197.67,3132.30,3079.67,3356.61,3139.35,3255.65,3017.49,2803.86,2591.36,2068.25,2480.30,2386.94,2483.84,2338.80,1681.41
青海省,,,,,,,,3750.00,4184.21,7860.00,9500.00,4293.10,9568.97,3965.39,5859.28,4780.00,4886.67,4842.86,5400.00,4070.00
宁夏回族自治区,,,,4482.76,4459.46,4696.72,4878.59,4912.50,4815.72,5000.00,5112.98,5093.81,4936.62,3860.42,3295.69,3059.46,5776.92,4369.23,4383.33,2000.00
新疆维吾尔自治区,,,,,,,,,,,,,,,,1400.00,1522.92,1816.67,3025.44,2206.51
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
