数据库：分省年度数据
指标：甘蔗单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
天津市,,45000.05,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
河北省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
山西省,,25000.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
内蒙古自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
辽宁省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
吉林省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
黑龙江省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
上海市,,54000.00,55535.21,33356.45,63527.50,54201.37,51996.35,48480.91,48328.57,63375.00,64082.35,66951.22,67758.33,66500.00,61088.24,62617.02,51278.09,47657.39,41160.50,57600.70
江苏省,,64341.98,62354.02,61917.65,60548.30,61327.21,61360.39,61953.37,60760.51,60019.14,58940.49,59848.24,58072.50,55047.80,55883.05,56601.67,54146.10,59082.41,56280.43,55755.30
浙江省,,64675.18,64582.02,65993.98,65635.94,65393.62,62529.24,62099.45,61985.29,63767.50,62804.35,61726.62,62029.36,61309.77,60361.62,58658.82,57270.40,58689.67,64515.72,61653.90
安徽省,,43217.26,40105.10,58058.65,32756.77,21365.60,39688.67,39506.13,40120.51,39735.49,39924.71,39074.06,37820.58,43001.03,44095.10,41136.27,37212.57,38463.08,33557.22,39369.30
福建省,,55002.11,54303.93,53273.71,53388.09,54533.24,58090.40,61891.52,61153.08,60662.04,60904.12,62490.74,64228.98,66236.45,61828.69,61908.34,62535.19,63920.45,64722.30,63882.00
江西省,,45078.25,44752.02,45025.73,45966.81,45322.29,45553.22,45124.97,44643.33,44747.04,44891.07,43582.67,45736.91,45861.86,46477.14,43957.84,44270.60,46134.66,48423.01,50344.90
山东省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
河南省,,70995.61,73770.56,75833.50,70346.15,68866.20,68728.81,70647.67,71677.72,67708.56,67398.99,66632.65,56540.00,59425.50,54785.48,52674.42,53042.32,50790.91,42891.90,54830.30
湖北省,,42430.49,43060.49,42940.31,41047.49,42043.25,37819.57,40096.50,38302.85,40049.93,41737.24,40270.41,33303.79,40018.94,41405.88,43784.05,43112.96,46225.37,44064.44,47921.20
湖南省,,45975.03,46039.04,45780.72,45994.65,46627.68,47607.79,48253.55,48834.31,50769.21,49089.53,24854.50,89281.37,48888.29,83207.34,54084.78,51329.14,52074.47,49684.36,55416.30
广东省,,86005.97,84551.09,81868.06,79421.43,78156.81,77619.13,78566.15,80310.20,80819.42,80158.95,78790.40,78736.17,77604.92,78724.67,79054.77,75556.88,73408.09,72660.21,76640.80
广西壮族自治区,,84730.37,84142.89,82274.30,81408.64,78455.27,77073.26,73530.00,72031.87,69410.88,66599.16,66583.29,70835.71,75367.47,75123.01,76036.25,68949.83,69147.61,68608.09,68487.40
海南省,,59021.70,62094.25,63814.84,62696.77,63307.47,62955.67,68609.79,68509.80,66604.34,64071.39,64171.53,64199.71,66014.62,59430.92,58008.86,46483.05,59785.06,58196.53,57704.10
重庆市,,43619.17,42956.73,41572.52,41392.21,41054.55,40961.84,38713.21,37091.30,35198.61,34902.73,37314.92,37699.58,37531.54,38973.36,36406.45,41078.14,42047.86,40091.87,41870.10
四川省,,39171.64,38680.85,38735.15,38386.85,38880.60,42217.32,42435.89,42214.60,43090.04,48295.24,50186.74,49622.22,52676.34,52591.96,47293.89,49692.06,50766.09,53508.16,53736.80
贵州省,,59908.71,59355.20,59046.57,60778.50,58902.30,58257.22,60439.07,57057.23,58945.67,36406.72,38128.79,39112.21,40700.44,39218.10,35607.58,34860.98,35393.06,39561.22,39268.80
云南省,,67773.90,63776.98,63068.09,63198.88,61608.07,61965.83,62122.60,62690.00,62370.44,61901.83,59328.30,59467.88,61309.46,73055.48,58462.27,55507.50,60187.01,58036.64,58322.20
西藏自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
陕西省,,42611.76,25000.00,25250.00,19420.29,16008.40,35000.00,35000.00,34285.71,34285.71,,,,,,34335.13,36116.67,36662.50,38903.61,15070.40
甘肃省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
青海省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
宁夏回族自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
新疆维吾尔自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
