数据库：分省年度数据
指标：甜菜单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
天津市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
河北省,,50470.86,51760.99,51913.76,51237.99,49784.27,52015.46,49574.05,45583.84,41910.93,37245.90,34812.78,24539.89,37850.64,33850.77,40786.29,40703.63,24290.97,19105.12,12654.04
山西省,,36824.21,35403.41,46407.84,50526.32,61518.99,46118.37,37077.77,44341.08,47692.61,27516.18,44938.78,33203.96,36792.18,40566.89,31764.71,32472.95,26090.22,39295.85,27500.60
内蒙古自治区,,49292.88,49419.75,42270.81,41626.75,39874.98,46625.67,41810.83,39575.16,38579.37,39452.67,43531.43,33294.35,41063.44,42130.19,35726.38,36331.03,26547.04,26580.94,27661.91
辽宁省,,61404.70,60291.44,59203.01,52663.55,51135.05,29957.52,49591.93,53835.23,52068.07,44699.06,45813.08,33589.08,37037.06,38412.76,37500.00,29962.38,22855.83,30058.24,28397.93
吉林省,,37936.01,33547.76,39503.91,38245.18,47908.47,23440.43,34174.73,27261.21,31442.94,32481.84,23479.10,28130.73,34192.90,17857.10,24836.60,26350.90,27327.69,27000.77,27814.75
黑龙江省,,45627.98,46773.34,43995.72,39958.00,34932.57,35540.94,40098.74,31932.47,37439.01,33526.34,22476.24,17222.48,28761.06,26358.89,18448.28,19264.23,12710.18,6011.54,21998.87
上海市,,,,,,54201.37,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
江苏省,,7396.17,7400.00,7500.00,10000.00,10000.00,15966.67,10000.00,10000.00,10000.00,0.00,11775.00,15000.00,0.00,0.00,10050.00,12750.00,23375.00,25744.83,20597.37
浙江省,,9000.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
安徽省,,,,,,,,,,0.00,8000.00,8000.00,1500.00,0.00,0.00,0.00,0.00,0.00,11840.00,26407.69
福建省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
江西省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
山东省,,22500.00,,,44714.63,28125.00,,29505.00,26340.00,28500.00,26785.71,28227.27,25345.71,24079.88,18000.00,16100.00,0.00,0.00,3481.82,4390.48
河南省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
湖北省,,,,34450.00,6407.28,2423.64,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
湖南省,,,,,,4507.91,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
广东省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
广西壮族自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
海南省,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
重庆市,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
四川省,,33117.65,32470.59,17351.85,6478.57,6386.76,5772.20,5536.17,5071.43,4852.94,4121.05,3061.61,3147.24,5310.92,8626.87,11708.99,15215.91,14286.67,22000.00,15095.00
贵州省,,11399.75,18075.00,2266.03,,2362.46,3701.84,3915.06,2110.00,4515.68,4773.35,7574.76,6693.01,7230.30,6372.94,4285.71,5554.05,4000.00,1881.36,2880.00
云南省,,,,,,,,,,16533.33,0.00,10247.92,13753.33,10327.78,13915.00,15823.81,16921.74,15028.57,12291.30,13486.55
西藏自治区,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
陕西省,,9033.33,5840.00,5420.00,10000.00,4090.91,1875.00,3000.00,,7500.00,0.00,0.00,15000.00,10000.00,10000.00,9440.45,19097.56,24237.18,19248.00,26978.00
甘肃省,,64956.00,63987.58,66840.32,62177.42,57344.83,55722.57,52882.91,50350.92,49300.60,37360.95,43594.06,45683.45,43800.87,47225.37,37509.47,32682.70,34422.56,37921.86,40129.65
青海省,,,20700.00,18100.00,28682.43,21914.06,30000.00,24500.00,22500.00,16406.25,15000.00,15000.00,19438.44,0.00,33199.42,41762.50,21850.00,0.00,0.00,0.00
宁夏回族自治区,,,69619.05,,,,,,,44000.00,45000.00,14920.00,6666.67,19071.43,34076.92,25159.26,59200.00,0.00,0.00,0.00
新疆维吾尔自治区,,74169.88,74338.42,74175.08,73418.67,74459.49,65584.00,68824.59,66095.10,68472.24,64988.93,61517.53,62861.42,60094.20,60410.22,58828.22,59960.14,57483.33,56700.25,54713.22
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
