数据库：分省年度数据
指标：蔬菜单位面积产量(公斤/公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,36254.16,38897.97,39806.91,38968.10,42162.11,43970.84,44472.76,45075.03,45289.20,46788.33,47438.92,48731.41,47746.96,47843.43,49013.28,45347.12,44687.39
天津市,,,,51051.30,54710.64,58521.76,55043.25,54363.35,53494.03,52781.05,51496.33,50992.33,47363.45,44188.85,43617.12,43216.35,41852.41,44397.69,44769.48,45514.11
河北省,,,,65444.89,67574.61,67046.49,66512.03,65790.23,64870.28,64053.67,63854.25,62109.99,63293.64,64018.82,61983.01,59194.36,58542.06,57174.92,55249.63,53235.50
山西省,,,,46448.15,47496.43,48997.44,50733.95,50657.99,49232.80,45865.07,42983.64,41160.31,39386.16,38961.88,41979.04,32512.70,36807.95,36847.55,37115.28,39561.36
内蒙古自治区,,,,53041.70,50812.03,54753.75,52115.20,52190.92,53914.94,50814.09,54089.17,53319.64,50256.74,49429.94,53291.46,68238.07,45565.44,42975.01,44076.84,36363.04
辽宁省,,,,59096.10,58251.74,55698.24,60959.05,63328.33,64932.02,60816.62,62131.44,60223.92,65852.12,59461.24,61334.92,60163.28,47251.25,47974.14,45850.40,44177.59
吉林省,,,,39510.36,43051.16,43196.13,43958.09,42296.82,44124.30,40660.76,41961.20,59134.99,60561.13,58837.53,53660.72,34007.77,39727.00,29706.69,32738.99,29522.85
黑龙江省,,,,39277.74,38890.92,38810.65,32923.04,32940.58,35613.57,34677.39,35402.29,39236.07,37377.14,36770.94,36357.56,36234.00,34600.51,36626.48,29987.81,30668.90
上海市,,,,31224.58,31600.53,31099.42,32008.98,30954.29,30218.34,30377.76,29984.19,30174.44,30770.62,30696.43,31330.53,30755.32,31252.09,31464.18,30627.17,29665.13
江苏省,,,,39480.20,39360.37,39108.43,38339.07,38636.28,37838.05,36888.74,35684.76,34429.20,33441.36,32419.62,31831.00,31500.00,30180.95,30216.19,27746.39,30613.30
浙江省,,,,29552.68,29661.07,29454.68,29235.20,29088.94,28496.43,28789.00,28637.75,28483.20,25904.68,25578.09,26785.90,27106.35,26466.51,26761.41,25660.81,25559.99
安徽省,,,,32480.03,32150.94,31703.42,30163.75,29591.46,28924.28,28456.02,28061.32,27557.17,27210.63,26766.51,26038.31,25823.18,25136.25,25495.02,23109.12,26959.11
福建省,,,,26740.71,26531.78,25927.57,25588.49,25158.34,24723.19,24417.83,23975.25,23582.39,23396.23,23091.10,22794.43,22204.59,22192.24,22006.87,21802.47,21470.61
江西省,,,,24285.41,24060.71,23385.57,23214.88,22933.99,22326.88,22075.85,21664.80,21290.81,21431.56,21197.55,21333.30,21079.85,21079.93,20234.35,20062.50,19342.98
山东省,,,,55368.44,55633.00,55247.00,53976.79,53266.76,52472.07,51506.68,51043.08,50696.62,51890.46,50844.32,50841.05,47804.43,46582.38,45092.01,43062.20,42292.01
河南省,,,,42186.45,43373.28,43030.19,41716.81,41382.39,40079.95,40792.35,39473.49,39300.50,38082.06,38594.15,38303.77,36955.77,36847.11,32918.03,29553.92,34098.80
湖北省,,,,32378.01,32191.92,31763.02,32037.80,31547.66,31473.60,30976.95,31727.36,30957.44,29203.03,28319.05,28003.43,32398.87,29029.19,29342.08,28906.11,28549.09
湖南省,,,,30216.17,28884.57,28542.83,28990.11,28191.67,27980.35,28011.94,27891.58,27510.19,26702.40,25683.57,27771.31,26865.90,24061.44,23950.12,23810.43,24303.40
广东省,,,,26176.08,25891.83,25519.32,25199.73,24538.51,24488.35,24459.26,23749.95,23172.14,22648.91,21922.52,22130.43,21937.41,22327.14,22305.07,21627.80,21653.66
广西壮族自治区,,,,23839.89,23451.69,23038.10,20937.96,20634.82,20283.57,20145.45,21592.45,19497.40,21220.79,21115.81,21246.29,20564.92,19469.00,18971.93,18583.43,18481.79
海南省,,,,21990.92,21869.54,21500.01,21610.87,22074.70,21870.66,21716.73,20775.16,20570.65,20058.74,19954.58,20324.36,20250.11,18103.61,19505.76,18435.01,17388.95
重庆市,,,,26146.76,25614.76,25123.30,24372.48,23887.80,22704.74,22122.69,22693.71,22427.01,22086.55,21797.45,19683.53,19162.98,22263.47,22044.17,21710.41,22473.65
